assists,gamesPlayed,gamesStarted,goalieFullName,goals,goalsAgainst,goalsAgainstAverage,lastName,losses,otLosses,penaltyMinutes,playerId,points,savePct,saves,seasonId,shootsCatches,shotsAgainst,shutouts,teamAbbrevs,ties,timeOnIce,wins
0,38,38,Ken Wregget,0,118,3.20584,Wregget,9,,14,8452535,0,0.90319,1101,19941995,L,1219,0,PIT,2,132508,25
3,42,42,Ed Belfour,0,93,2.27762,Belfour,15,,11,8445386,3,0.90606,897,19941995,L,990,5,CHI,3,146995,22
1,43,41,Trevor Kidd,0,107,2.6067,Kidd,14,,2,8456830,1,0.90854,1063,19941995,L,1170,3,CGY,6,147773,22
1,36,36,Curtis Joseph,0,89,2.79026,Joseph,10,,0,8448382,1,0.90154,815,19941995,L,904,1,STL,1,114828,20
0,30,29,Mike Vernon,0,76,2.52324,Vernon,6,,8,8452217,0,0.89295,634,19941995,L,710,1,DET,4,108432,19
1,35,34,Blaine Lacher,0,79,2.41221,Lacher,11,,4,8460318,1,0.90186,726,19941995,L,805,4,BOS,2,117900,19
2,40,39,Martin Brodeur,0,89,2.44458,Brodeur,11,,2,8455710,2,0.90198,819,19941995,L,908,3,NJD,6,131065,19
0,41,41,Dominik Hasek,0,85,2.11053,Hasek,14,,2,8447687,0,0.93038,1136,19941995,L,1221,5,BUF,7,144987,19
0,28,28,Jim Carey,0,57,2.13263,Carey,6,,0,8458968,0,0.91284,597,19941995,L,654,4,WSH,3,96219,18
1,40,40,Kirk McLean,0,109,2.75484,McLean,12,,4,8449474,1,0.90438,1031,19941995,L,1140,1,VAN,10,142440,18
0,31,31,Ron Hextall,0,88,2.89547,Hextall,9,,13,8447775,0,0.89013,713,19941995,L,801,1,PHI,4,109412,17
3,32,30,Stephane Fiset,0,87,2.77866,Fiset,10,,2,8446831,3,0.91012,881,19941995,L,968,2,QUE,3,112716,17
1,42,40,Sean Burke,0,108,2.68014,Burke,19,,8,8445769,1,0.9124,1125,19941995,L,1233,0,HFD,4,145067,17
1,43,42,Patrick Roy,0,127,2.96954,Roy,20,,20,8451033,1,0.90641,1230,19941995,L,1357,1,MTL,6,153963,17
0,36,36,Felix Potvin,0,104,2.91006,Potvin,13,,4,8457714,0,0.90714,1016,19941995,L,1120,0,TOR,7,128657,15
