assists,gamesPlayed,gamesStarted,goalieFullName,goals,goalsAgainst,goalsAgainstAverage,lastName,losses,otLosses,penaltyMinutes,playerId,points,savePct,saves,seasonId,shootsCatches,shotsAgainst,shutouts,teamAbbrevs,ties,timeOnIce,wins
3,53,53,Andrei Vasilevskiy,0,128,2.39719,Vasilevskiy,10,4,6,8476883,3,0.92527,1585,20182019,L,1713,6,TBL,,192225,39
0,62,61,Sergei Bobrovsky,0,153,2.58106,Bobrovsky,24,1,2,8475683,0,0.91287,1603,20182019,L,1756,9,CBJ,,213400,37
1,60,60,Frederik Andersen,0,162,2.76903,Andersen,16,7,2,8475883,1,0.91726,1796,20182019,L,1958,1,TOR,,210615,36
1,62,62,Martin Jones,0,176,2.9356,Jones,19,5,2,8474889,1,0.8964,1523,20182019,L,1699,3,SJS,,215833,36
2,61,61,Marc-Andre Fleury,0,152,2.50884,Fleury,21,5,4,8470594,2,0.91289,1593,20182019,L,1745,8,VGK,,218108,35
1,66,64,Carey Price,0,161,2.48953,Price,24,6,2,8471679,1,0.91752,1791,20182019,L,1952,4,MTL,,232815,35
3,63,62,Connor Hellebuyck,0,179,2.89948,Hellebuyck,23,3,4,8476945,3,0.91272,1872,20182019,L,2051,2,WPG,,222246,34
2,59,58,Braden Holtby,0,160,2.81808,Holtby,19,5,2,8474651,2,0.91086,1635,20182019,L,1795,3,WSH,,204394,32
2,67,66,Devan Dubnyk,0,163,2.53678,Dubnyk,28,6,2,8471227,2,0.91315,1714,20182019,L,1877,2,MIN,,231316,31
0,56,55,Pekka Rinne,0,130,2.42256,Rinne,19,4,4,8471469,0,0.91777,1451,20182019,L,1581,4,NSH,,193184,30
0,50,50,Matt Murray,0,129,2.68728,Murray,14,6,4,8476899,0,0.91907,1465,20182019,L,1594,4,PIT,,172814,29
3,60,60,Jacob Markstrom,0,166,2.76742,Markstrom,23,9,2,8474593,3,0.91244,1730,20182019,L,1896,1,VAN,,215941,28
0,45,42,David Rittich,0,109,2.61251,Rittich,9,5,4,8479496,0,0.91123,1119,20182019,L,1228,1,CGY,,150200,27
2,46,45,Tuukka Rask,0,109,2.48183,Rask,13,5,4,8471695,2,0.91244,1136,20182019,L,1245,4,BOS,,158109,27
2,46,45,Ben Bishop,0,87,1.97929,Bishop,15,2,2,8471750,2,0.93424,1236,20182019,L,1323,7,DAL,,158238,27
2,55,55,Darcy Kuemper,0,126,2.32525,Kuemper,20,8,14,8475311,2,0.92486,1551,20182019,L,1677,5,ARI,,195075,27
0,58,57,John Gibson,0,153,2.83943,Gibson,22,8,2,8476434,0,0.91675,1685,20182019,L,1838,2,ANA,,193982,26
1,46,43,Robin Lehner,0,93,2.13317,Lehner,13,5,0,8475215,1,0.9297,1230,20182019,L,1323,6,NYI,,156949,25
