assists,gamesPlayed,gamesStarted,goalieFullName,goals,goalsAgainst,goalsAgainstAverage,lastName,losses,otLosses,penaltyMinutes,playerId,points,savePct,saves,seasonId,shootsCatches,shotsAgainst,shutouts,teamAbbrevs,ties,timeOnIce,wins
3,76,76,Miikka Kiprusoff,0,209,2.83839,Kiprusoff,24,5,2,8462147,3,0.90301,1946,20082009,L,2155,4,CGY,,265079,45
1,62,62,Evgeni Nabokov,0,150,2.44138,Nabokov,12,8,12,8460705,1,0.9098,1513,20082009,L,1663,7,SJS,,221186,41
1,68,68,Cam Ward,0,160,2.44396,Ward,23,5,4,8470320,1,0.91583,1741,20082009,L,1901,6,CAR,,235683,39
2,70,70,Henrik Lundqvist,0,168,2.42729,Lundqvist,25,7,0,8468685,2,0.91629,1839,20082009,L,2007,3,NYR,,249166,38
0,71,71,Niklas Backstrom,0,159,2.33363,Backstrom,24,8,6,8473404,0,0.92277,1900,20082009,L,2059,8,MIN,,245283,37
1,54,54,Tim Thomas,0,114,2.09892,Thomas,11,7,6,8460703,1,0.9327,1580,20082009,L,1694,5,BOS,,195529,36
1,62,61,Marc-Andre Fleury,0,162,2.6696,Fleury,18,7,8,8470594,1,0.91243,1688,20082009,L,1850,4,PIT,,218459,35
0,59,58,Ryan Miller,0,145,2.52656,Miller,18,6,4,8468011,0,0.91821,1628,20082009,L,1773,5,BUF,,206605,34
1,54,54,Roberto Luongo,0,124,2.33882,Luongo,13,7,4,8466141,1,0.91958,1418,20082009,L,1542,9,VAN,,190865,33
0,61,61,Steve Mason,0,140,2.29281,Mason,20,7,2,8473461,0,0.91556,1518,20082009,R,1658,10,CBJ,,219817,33
5,74,74,Marty Turco,0,203,2.81472,Turco,31,10,18,8460612,5,0.89814,1790,20082009,L,1993,3,DAL,,259635,33
3,57,55,Jose Theodore,0,157,2.86618,Theodore,17,5,6,8460535,3,0.90012,1415,20082009,R,1572,2,WSH,,197196,32
1,52,49,Pekka Rinne,0,119,2.38063,Rinne,15,4,6,8471469,1,0.91707,1316,20082009,L,1435,7,NSH,,179952,29
4,55,53,Martin Biron,0,146,2.75773,Biron,19,5,0,8462047,4,0.91501,1572,20082009,L,1718,2,PHI,,190591,29
1,63,62,Dwayne Roloson,0,166,2.76908,Roloson,24,9,10,8460806,1,0.915,1787,20082009,L,1953,1,EDM,,215811,28
1,57,51,Chris Mason,0,129,2.40753,Mason,21,7,0,8462152,1,0.91645,1415,20082009,L,1544,6,STL,,192894,27
2,46,44,Chris Osgood,0,137,3.08707,Osgood,9,8,8,8458568,2,0.88658,1071,20082009,L,1208,2,DET,,159763,26
