assists,gamesPlayed,gamesStarted,goalieFullName,goals,goalsAgainst,goalsAgainstAverage,lastName,losses,otLosses,penaltyMinutes,playerId,points,savePct,saves,seasonId,shootsCatches,shotsAgainst,shutouts,teamAbbrevs,ties,timeOnIce,wins
0,2,1,Curtis McElhinney,0,2,1.67208,McElhinney,0,0,0,8470147,0,0.94444,34,20112012,L,36,0,PHX,,4306,1
0,3,2,Sebastien Caron,0,7,3.11881,Caron,1,0,0,8467959,0,0.87719,50,20112012,L,57,0,TBL,,8080,1
0,4,3,Anders Nilsson,0,10,2.75482,Nilsson,2,0,0,8475195,0,0.91071,102,20112012,L,112,1,NYI,,13068,1
1,5,5,Dustin Tokarski,0,14,3.44851,Tokarski,3,1,2,8474682,1,0.87931,102,20112012,L,116,0,TBL,,14615,1
0,7,7,Leland Irving,0,21,3.19459,Irving,3,3,0,8473414,0,0.91213,218,20112012,L,239,0,CGY,,23665,1
0,9,7,Henrik Karlsson,0,24,3.17064,Karlsson,4,2,0,8475431,0,0.89958,215,20112012,L,239,0,CGY,,27250,1
0,10,8,Brian Boucher,0,31,3.40441,Boucher,6,1,0,8462052,0,0.88076,229,20112012,L,260,0,CAR,,32781,1
1,10,5,Dan Ellis,0,19,2.72271,Ellis,5,0,0,8468540,1,0.91121,195,20112012,L,214,0,ANA,,25122,1
0,1,0,Yann Danis,0,2,3.69989,Danis,0,0,0,8471186,0,0.83333,10,20112012,L,12,0,EDM,,1946,0
0,1,0,Brian Foster,0,0,0.0,Foster,0,0,0,8471822,0,1.0,1,20112012,L,1,0,FLA,,292,0
0,1,0,Peter Mannino,0,0,0.0,Mannino,0,0,0,8474771,0,1.0,4,20112012,L,4,0,WPG,,1191,0
0,1,0,Shawn Hunwick,0,0,0.0,Hunwick,0,0,0,8476803,0,,0,20112012,L,0,0,CBJ,,153,0
0,2,0,Drew MacIntyre,0,1,1.37983,MacIntyre,0,0,0,8469569,0,0.94444,17,20112012,L,18,0,BUF,,2609,0
0,2,0,Mike Murphy,0,0,0.0,Murphy,1,0,0,8474729,0,1.0,9,20112012,L,9,0,CAR,,2166,0
0,2,1,Jussi Rynnas,0,7,4.24671,Rynnas,1,0,0,8475680,0,0.825,33,20112012,L,40,0,TOR,,5934,0
