assists,gamesPlayed,gamesStarted,goalieFullName,goals,goalsAgainst,goalsAgainstAverage,lastName,losses,otLosses,penaltyMinutes,playerId,points,savePct,saves,seasonId,shootsCatches,shotsAgainst,shutouts,teamAbbrevs,ties,timeOnIce,wins
2,50,47,Chris Osgood,1,106,2.16844,Osgood,6,,4,8458568,3,0.91092,1084,19951996,L,1190,5,DET,5,175979,39
1,71,70,Jim Carey,0,153,2.25598,Carey,24,,6,8458968,1,0.90619,1478,19951996,L,1631,9,WSH,9,244151,35
0,61,60,Patrick Roy,0,165,2.77671,Roy,24,,10,8451033,0,0.90818,1632,19951996,L,1797,2,"MTL,COL",2,213922,34
3,77,76,Bill Ranford,0,237,3.2902,Ranford,30,,2,8450651,3,0.88461,1817,19951996,L,2054,2,"EDM,BOS",9,259315,34
1,77,75,Martin Brodeur,0,173,2.34136,Brodeur,30,,6,8455710,1,0.91146,1781,19951996,L,1954,6,NJD,12,265999,34
1,53,51,Ron Hextall,0,112,2.16605,Hextall,13,,28,8447775,1,0.91331,1180,19951996,L,1292,4,PHI,7,186145,31
0,69,66,Felix Potvin,0,192,2.8737,Potvin,26,,4,8457714,0,0.91007,1943,19951996,L,2135,2,TOR,11,240526,30
1,79,78,Grant Fuhr,0,209,2.87277,Fuhr,28,,8,8446991,1,0.9031,1948,19951996,R,2157,3,STL,16,261907,30
3,49,48,Tom Barrasso,0,160,3.42977,Barrasso,16,,18,8445275,3,0.90159,1466,19951996,R,1626,2,PIT,2,167941,29
1,57,55,Daren Puppa,0,131,2.46437,Puppa,16,,4,8450627,1,0.91838,1474,19951996,R,1605,5,TBL,9,191367,29
0,59,58,Guy Hebert,0,157,2.8323,Hebert,23,,6,8447715,0,0.91373,1663,19951996,L,1820,4,ANA,5,199555,28
6,66,63,Sean Burke,0,190,3.10714,Burke,28,,16,8445769,6,0.90658,1844,19951996,L,2034,4,HFD,6,220138,28
0,50,49,Jocelyn Thibault,0,138,2.86242,Thibault,17,,2,8459432,0,0.90675,1342,19951996,L,1480,3,"COL,MTL",5,173559,26
0,53,53,Nikolai Khabibulin,0,152,3.13016,Khabibulin,20,,12,8459140,0,0.90821,1504,19951996,L,1656,2,WIN,3,174815,26
2,57,54,John Vanbiesbrouck,0,142,2.68114,Vanbiesbrouck,20,,10,8452157,2,0.90359,1331,19951996,L,1473,2,FLA,7,190665,26
1,41,40,Mike Richter,0,107,2.67927,Richter,13,,4,8450833,1,0.91236,1114,19951996,L,1221,3,NYR,3,143770,24
1,37,35,Stephane Fiset,0,103,2.93359,Fiset,6,,2,8446831,1,0.89822,909,19951996,L,1012,1,COL,7,126398,22
2,50,49,Ed Belfour,0,135,2.74001,Belfour,17,,36,8445386,2,0.90167,1238,19951996,L,1373,1,CHI,10,177371,22
1,59,58,Dominik Hasek,0,161,2.82706,Hasek,30,,6,8447687,1,0.91994,1850,19951996,L,2011,2,BUF,6,205018,22
0,32,32,Mike Vernon,0,70,2.26449,Vernon,7,,2,8452217,0,0.90318,653,19951996,L,723,3,DET,2,111283,21
2,37,34,Ken Wregget,0,115,3.23601,Wregget,13,,8,8452535,2,0.90456,1090,19951996,L,1205,3,PIT,2,127935,20
2,43,38,Rick Tabaracci,0,117,2.93596,Tabaracci,16,,8,8451834,2,0.89236,970,19951996,L,1087,3,CGY,3,143462,19
1,35,33,Jeff Hackett,0,80,2.39946,Hackett,11,,8,8447449,1,0.91561,868,19951996,L,948,4,CHI,4,120027,18
2,41,38,Corey Hirsch,0,114,2.92607,Hirsch,14,,2,8458680,2,0.90281,1059,19951996,L,1173,1,VAN,6,140256,17
1,44,42,Glenn Healy,0,124,2.90141,Healy,14,,8,8447709,1,0.89975,1113,19951996,L,1237,2,NYR,11,153856,17
5,50,48,Chris Terreri,0,164,3.60889,Terreri,29,,4,8451860,5,0.88401,1250,19951996,L,1414,0,"NJD,SJS",1,163596,16
0,34,28,Mark Fitzpatrick,0,88,2.95654,Fitzpatrick,11,,12,8446829,0,0.89135,722,19951996,L,810,0,FLA,3,107152,15
1,34,34,Curtis Joseph,0,111,3.4407,Joseph,16,,4,8448382,1,0.88568,860,19951996,L,971,0,EDM,2,116139,15
2,45,44,Kirk McLean,0,156,3.53899,McLean,21,,6,8449474,2,0.87925,1136,19951996,L,1292,2,VAN,9,158689,15
2,47,44,Trevor Kidd,0,119,2.77864,Kidd,21,,4,8456830,2,0.89469,1011,19951996,L,1130,3,CGY,8,154176,15
0,47,46,Byron Dafoe,0,172,3.87065,Dafoe,24,,6,8455994,0,0.88823,1367,19951996,L,1539,1,LAK,8,159973,14
2,47,46,Damian Rhodes,0,127,2.7741,Rhodes,27,,4,8457791,2,0.90536,1215,19951996,L,1342,2,"TOR,OTT",5,164810,14
0,41,39,Andy Moog,0,111,2.98927,Moog,19,,28,8449681,0,0.89963,995,19951996,L,1106,1,DAL,7,133678,13
0,26,23,Garth Snow,0,69,2.88053,Snow,8,,18,8458075,0,0.89351,579,19951996,L,648,0,PHI,4,86234,12
0,51,41,Tommy Soderstrom,0,167,3.86937,Soderstrom,22,,7,8458080,0,0.8781,1203,19951996,L,1370,2,NYI,6,155374,11
0,27,24,Craig Billington,0,79,3.43552,Billington,13,,2,8445470,0,0.867,515,19951996,L,594,1,BOS,3,82782,10
0,26,22,Jeff Reese,0,68,3.21618,Reese,10,,0,8450743,0,0.89274,566,19951996,L,634,1,"HFD,TBL",1,76115,9
0,37,30,Darcy Wakaluk,0,106,3.392,Wakaluk,16,,6,8452248,0,0.89128,869,19951996,L,975,1,DAL,5,112500,9
0,22,18,Andrei Trefilov,0,64,3.51016,Trefilov,8,,4,8458800,0,0.90303,596,19951996,L,660,0,BUF,1,65638,8
0,30,26,Tim Cheveldae,0,111,3.93024,Cheveldae,18,,0,8446082,0,0.88291,837,19951996,L,948,0,WIN,3,101673,8
1,24,21,Eric Fichaud,0,68,3.30649,Fichaud,12,,0,8460506,1,0.89681,591,19951996,L,659,1,NYI,2,74036,7
2,30,24,Mikhail Shtalenkov,0,85,3.11507,Shtalenkov,16,,2,8459365,2,0.89557,729,19951996,L,814,0,ANA,3,98232,7
0,36,31,Kelly Hrudey,0,113,3.26484,Hrudey,15,,4,8448020,0,0.90691,1101,19951996,L,1214,0,LAK,10,124600,7
2,41,36,Don Beaupre,0,136,3.87427,Beaupre,28,,31,8445381,2,0.87193,926,19951996,L,1062,1,"OTT,TOR",0,126372,6
0,11,8,Scott Bailey,0,31,3.25772,Bailey,1,,0,8459048,0,0.88257,233,19951996,L,264,0,BOS,2,34257,5
1,24,19,Pat Jablonski,0,63,2.97255,Jablonski,9,,2,8448207,1,0.90748,618,19951996,R,681,0,"STL,MTL",6,76298,5
0,10,10,Allan Bester,0,30,2.99318,Bester,5,,2,8445458,0,0.89898,267,19951996,L,297,0,DAL,1,36082,4
0,16,11,Dominic Roussel,0,38,3.07436,Roussel,5,,2,8457866,0,0.8782,274,19951996,L,312,1,"PHI,WIN",2,44497,4
0,18,12,Olie Kolzig,0,46,3.07686,Kolzig,8,,2,8448535,0,0.88669,360,19951996,L,406,0,WSH,2,53821,4
0,22,20,Arturs Irbe,0,85,4.58722,Irbe,12,,4,8456692,0,0.85996,522,19951996,L,607,0,SJS,4,66707,4
0,22,14,Jason Muzzatti,0,49,2.90332,Muzzatti,8,,33,8457463,0,0.91107,502,19951996,L,551,1,HFD,3,60758,4
0,5,5,Jamie Storr,0,12,2.75124,Storr,1,,0,8460497,0,0.91836,135,19951996,L,147,0,LAK,0,15702,3
0,12,10,Blaine Lacher,0,44,3.93589,Lacher,5,,4,8460318,0,0.84507,240,19951996,L,284,0,BOS,2,40245,3
0,13,12,Jamie McLennan,0,39,3.67674,McLennan,9,,2,8458562,0,0.88596,303,19951996,L,342,0,NYI,1,38186,3
0,24,15,Wade Flaherty,0,92,4.85481,Flaherty,12,,0,8456264,0,0.86647,597,19951996,L,689,0,SJS,1,68221,3
0,4,3,Kevin Hodson,0,3,1.10249,Hodson,0,,0,8459357,0,0.95522,64,19951996,L,67,1,DET,0,9796,2
0,5,4,John Blue,0,15,3.52411,Blue,2,,0,8455633,0,0.89051,122,19951996,L,137,0,BUF,0,15323,2
0,9,3,Jon Casey,0,25,3.79666,Casey,3,,0,8446011,0,0.86111,155,19951996,L,180,0,STL,0,23705,2
0,12,7,Jean Claude Bergeron,0,42,4.23493,Bergeron,6,,0,8445438,0,0.832,208,19951996,L,250,0,TBL,2,35703,2
