assists,gamesPlayed,gamesStarted,goalieFullName,goals,goalsAgainst,goalsAgainstAverage,lastName,losses,otLosses,penaltyMinutes,playerId,points,savePct,saves,seasonId,shootsCatches,shotsAgainst,shutouts,teamAbbrevs,ties,timeOnIce,wins
2,58,58,Andrei Vasilevskiy,0,132,2.30853,Vasilevskiy,15,4,11,8476883,2,0.91233,1353,20252026,L,1483,2,TBL,,205845,39
2,64,63,Karel Vejmelka,0,169,2.74592,Vejmelka,20,3,2,8478872,2,0.89667,1458,20252026,R,1626,2,UTA,,221565,38
1,54,54,Jake Oettinger,0,138,2.59221,Oettinger,12,6,0,8479979,1,0.89941,1234,20252026,L,1372,4,DAL,,191651,35
1,39,39,Brandon Bussi,0,97,2.46524,Bussi,6,2,2,8483548,1,0.89473,816,20252026,R,912,2,CAR,,141649,31
1,45,43,Scott Wedgewood,0,86,2.02427,Wedgewood,6,6,2,8475809,1,0.92131,1007,20252026,L,1093,4,COL,,152944,31
0,55,54,Jeremy Swayman,0,146,2.70764,Swayman,18,4,11,8480280,0,0.9077,1426,20252026,L,1571,2,BOS,,194117,31
1,58,58,Logan Thompson,0,140,2.43828,Thompson,21,6,0,8480313,1,0.91178,1447,20252026,R,1587,4,WSH,,206703,31
1,56,55,Lukas Dostal,0,169,3.10287,Dostal,20,4,8,8480843,1,0.8883,1344,20252026,L,1513,0,ANA,,196076,30
0,43,42,Jakub Dobes,0,117,2.77955,Dobes,10,4,2,8482487,0,0.90143,1070,20252026,L,1187,0,MTL,,151535,29
0,52,51,Dan Vladar,0,121,2.42386,Vladar,14,7,4,8478435,0,0.90568,1162,20252026,L,1283,0,PHI,,179713,29
1,55,54,Ilya Sorokin,0,144,2.6781,Sorokin,24,2,4,8478009,1,0.90588,1386,20252026,L,1530,7,NYI,,193570,29
1,57,57,John Gibson,0,144,2.71592,Gibson,22,4,4,8476434,1,0.90143,1317,20252026,L,1461,4,DET,,190874,29
1,49,49,Linus Ullmark,0,131,2.72588,Ullmark,12,8,2,8476999,1,0.89065,1067,20252026,L,1198,3,OTT,,173008,28
2,50,49,Filip Gustavsson,0,133,2.68875,Gustavsson,15,6,0,8479406,2,0.90413,1245,20252026,L,1377,4,MIN,,178075,28
0,59,59,Juuse Saros,0,181,3.16382,Saros,22,8,2,8477424,0,0.89352,1519,20252026,L,1700,0,NSH,,205953,28
2,52,51,Sergei Bobrovsky,0,154,3.07012,Bobrovsky,23,1,9,8475683,2,0.8768,1096,20252026,L,1250,4,FLA,,180579,27
1,55,53,Jet Greaves,0,142,2.60065,Greaves,19,9,0,8482982,1,0.90773,1397,20252026,L,1539,2,CBJ,,196566,26
0,51,51,Igor Shesterkin,0,126,2.49982,Shesterkin,19,6,11,8478048,0,0.91157,1299,20252026,L,1425,1,NYR,,181453,25
0,46,43,Joel Hofer,0,114,2.60606,Hofer,13,5,4,8480981,0,0.9096,1137,20252026,L,1250,6,STL,,157479,24
0,39,36,Mackenzie Blackwood,0,90,2.505,Blackwood,10,2,0,8478406,0,0.90353,843,20252026,L,933,3,COL,,129341,23
4,44,43,Jacob Markstrom,0,130,3.06601,Markstrom,19,1,13,8474593,4,0.88319,983,20252026,L,1113,1,NJD,,152641,23
1,50,50,Stuart Skinner,0,142,2.91586,Skinner,17,9,0,8479973,1,0.88792,1125,20252026,L,1267,2,"EDM,PIT",,175317,23
0,57,57,Connor Hellebuyck,0,162,2.8576,Hellebuyck,23,11,4,8476945,0,0.89528,1385,20252026,L,1547,0,WPG,,204087,23
0,57,55,Dustin Wolf,0,158,3.01025,Wolf,29,3,4,8481692,0,0.89922,1401,20252026,L,1558,2,CGY,,188954,23
1,35,34,Ukko-Pekka Luukkonen,0,85,2.51508,Luukkonen,9,3,4,8480045,1,0.90967,846,20252026,L,930,1,BUF,,121666,22
0,47,47,Yaroslav Askarov,0,157,3.62798,Askarov,20,4,2,8482137,0,0.88366,1185,20252026,R,1341,0,SJS,,155789,21
1,36,34,Alex Lyon,0,92,2.77106,Lyon,10,4,4,8479312,1,0.90704,888,20252026,L,979,3,BUF,,119521,20
3,47,46,Joey Daccord,0,136,3.02983,Daccord,20,6,4,8478916,3,0.89747,1173,20252026,L,1307,2,SEA,,161593,20
3,39,38,Arturs Silovs,0,115,3.07137,Silovs,12,8,4,8481668,3,0.88823,906,20252026,L,1020,2,PIT,,134793,19
1,50,50,Darcy Kuemper,0,134,2.78402,Kuemper,14,15,6,8475311,1,0.89141,1100,20252026,L,1234,3,LAK,,173274,19
1,55,55,Spencer Knight,0,155,2.82395,Knight,25,11,0,8481519,1,0.90208,1428,20252026,L,1583,3,CHI,,197595,19
1,33,29,Tristan Jarry,0,98,3.31525,Jarry,9,3,0,8477465,1,0.88221,734,20252026,L,832,2,"PIT,EDM",,106417,18
1,35,33,Jesper Wallstedt,0,87,2.61437,Wallstedt,9,6,2,8482661,1,0.91568,934,20252026,L,1020,4,MIN,,119799,18
1,40,34,Alex Nedeljkovic,0,109,2.87098,Nedeljkovic,14,4,9,8477968,1,0.89609,940,20252026,L,1049,0,SJS,,136678,18
1,37,36,Jake Allen,0,100,2.74402,Allen,17,2,0,8474596,1,0.90397,932,20252026,L,1031,1,NJD,,131194,17
2,32,30,Connor Ingram,0,77,2.59808,Ingram,10,3,2,8478971,2,0.89908,686,20252026,L,763,2,EDM,,106694,16
1,34,29,Akira Schmid,0,85,2.59438,Schmid,10,6,0,8481033,1,0.89254,706,20252026,L,791,2,VGK,,117947,16
1,35,35,Frederik Andersen,0,107,3.05442,Andersen,14,5,4,8475883,1,0.87396,742,20252026,L,849,0,CAR,,126112,16
0,36,31,Anton Forsberg,0,87,2.56877,Forsberg,12,5,4,8476341,0,0.90966,866,20252026,L,952,3,LAK,,121926,16
0,30,28,Casey DeSmith,0,71,2.42735,DeSmith,8,6,2,8479193,0,0.90657,689,20252026,L,760,1,DAL,,105300,15
1,39,38,Joseph Woll,0,124,3.33622,Woll,16,7,2,8479361,1,0.89918,1097,20252026,L,1220,2,TOR,,133804,15
2,30,29,Elvis Merzlikins,0,95,3.39565,Merzlikins,11,3,0,8478007,2,0.883,717,20252026,L,812,1,CBJ,,100717,14
0,30,28,David Rittich,0,76,2.76137,Rittich,10,3,0,8479496,0,0.89444,644,20252026,L,720,2,NYI,,99081,14
0,31,28,Joonas Korpisalo,0,90,3.15221,Korpisalo,9,6,2,8476914,0,0.89424,761,20252026,L,851,1,BOS,,102785,14
1,33,29,Samuel Ersson,0,97,3.11799,Ersson,11,5,2,8481035,1,0.86962,647,20252026,L,744,0,PHI,,111995,14
2,32,28,Philipp Grubauer,0,79,2.64641,Grubauer,12,4,0,8475831,2,0.90877,787,20252026,L,866,0,SEA,,107466,13
0,33,31,Daniil Tarasov,0,97,3.05404,Tarasov,15,3,0,8480193,0,0.89513,828,20252026,L,925,0,FLA,,114340,13
2,41,39,Jordan Binnington,0,128,3.32784,Binnington,20,7,4,8476412,2,0.87326,882,20252026,L,1010,1,STL,,138468,13
0,25,24,Eric Comrie,0,72,3.12703,Comrie,11,1,0,8477480,0,0.8899,582,20252026,L,654,0,WPG,,82890,12
1,34,25,Cam Talbot,0,93,3.18823,Talbot,9,6,0,8475660,1,0.88331,704,20252026,L,797,0,DET,,105011,12
0,18,18,Carter Hart,0,46,2.70645,Hart,3,3,2,8479394,0,0.89099,376,20252026,L,422,0,VGK,,61187,11
0,25,23,Jonas Johansson,0,78,3.28763,Johansson,10,2,0,8477992,0,0.88358,592,20252026,L,670,0,TBL,,85411,11
2,47,43,Kevin Lankinen,0,160,3.7032,Lankinen,27,5,4,8480947,2,0.87548,1125,20252026,L,1285,0,VAN,,155541,11
0,20,19,Ville Husso,0,62,3.24711,Husso,8,2,2,8478024,0,0.88389,472,20252026,L,534,0,ANA,,68738,10
0,25,23,Samuel Montembeault,0,81,3.42687,Montembeault,8,4,0,8478470,0,0.87244,554,20252026,L,635,0,MTL,,85092,10
