assists,gamesPlayed,gamesStarted,goalieFullName,goals,goalsAgainst,goalsAgainstAverage,lastName,losses,otLosses,penaltyMinutes,playerId,points,savePct,saves,seasonId,shootsCatches,shotsAgainst,shutouts,teamAbbrevs,ties,timeOnIce,wins
0,48,48,Turk Broda,0,99,2.0,Broda,14,,0,8449837,0,,,19401941,L,,5,TOR,6,178200,28
0,48,48,Frank Brimsek,0,102,2.01315,Brimsek,8,,0,8449836,0,,,19401941,L,,6,BOS,13,182400,27
0,48,48,Dave Kerr,0,125,2.49169,Kerr,19,,0,8450009,0,,,19401941,R,,2,NYR,8,180600,21
0,48,48,Johnny Mowers,0,102,2.01315,Mowers,16,,0,8450047,0,,,19401941,L,,4,DET,11,182400,21
0,42,42,Bert Gardiner,0,119,2.74615,Gardiner,23,,0,8449960,0,,,19401941,L,,1,MTL,6,156000,13
0,27,27,Sam LoPresti,0,84,3.01796,LoPresti,15,,0,8450018,0,,,19401941,L,,1,CHI,3,100200,9
0,21,21,Paul Goodman,0,55,2.5,Goodman,10,,0,8449982,0,,,19401941,L,,2,CHI,4,79200,7
0,36,36,Earl Robertson,0,142,3.76991,Robertson,22,,0,8450105,0,,,19401941,L,,1,NYA,8,135600,6
0,3,3,Wilf Cude,0,13,4.33333,Cude,1,,0,8449861,0,,,19401941,L,,0,MTL,0,10800,2
0,12,12,Chuck Rayner,0,44,3.41622,Rayner,7,,0,8450096,0,,,19401941,L,,0,NYA,3,46367,2
0,4,3,Paul Bibeault,0,15,4.28571,Bibeault,2,,0,8449823,0,,,19401941,L,,0,MTL,0,12600,1
0,1,0,Andy Branigan,0,0,0.0,Branigan,0,,0,8445155,0,,,19401941,L,,0,NYA,0,433,0
