assists,gamesPlayed,gamesStarted,goalieFullName,goals,goalsAgainst,goalsAgainstAverage,lastName,losses,otLosses,penaltyMinutes,playerId,points,savePct,saves,seasonId,shootsCatches,shotsAgainst,shutouts,teamAbbrevs,ties,timeOnIce,wins
2,63,62,Alexandar Georgiev,0,183,3.01818,Georgiev,18,5,4,8480382,2,0.89717,1588,20232024,L,1770,2,COL,,218277,38
0,60,60,Connor Hellebuyck,0,142,2.38833,Hellebuyck,19,4,2,8476945,0,0.92102,1656,20232024,L,1798,5,WPG,,214040,37
1,55,55,Igor Shesterkin,0,141,2.58155,Shesterkin,17,2,6,8478048,1,0.91282,1466,20232024,L,1606,4,NYR,,196626,36
2,58,58,Sergei Bobrovsky,0,135,2.37242,Bobrovsky,17,4,4,8475683,2,0.91477,1449,20232024,L,1584,6,FLA,,204854,36
0,59,57,Stuart Skinner,0,147,2.62394,Skinner,16,5,0,8479973,0,0.90534,1406,20232024,L,1553,2,EDM,,201681,36
1,51,51,Thatcher Demko,0,123,2.44704,Demko,14,2,0,8477967,1,0.91756,1369,20232024,L,1492,5,VAN,,180953,35
0,54,53,Jake Oettinger,0,140,2.72322,Oettinger,14,4,2,8479979,0,0.90514,1336,20232024,L,1476,3,DAL,,185075,35
2,64,64,Juuse Saros,0,173,2.86373,Saros,24,5,2,8477424,2,0.90623,1672,20232024,L,1845,3,NSH,,217478,35
2,52,52,Andrei Vasilevskiy,0,148,2.89924,Vasilevskiy,20,2,2,8476883,2,0.89979,1329,20232024,L,1477,2,TBL,,183772,30
3,57,55,Jordan Binnington,0,156,2.8437,Binnington,21,5,8,8476412,3,0.91265,1630,20232024,L,1786,3,STL,,197489,28
3,54,52,Cam Talbot,0,130,2.50311,Talbot,20,6,4,8475660,3,0.91342,1361,20232024,L,1490,3,LAK,,186967,27
1,54,51,Ukko-Pekka Luukkonen,0,132,2.57039,Luukkonen,22,4,8,8480045,1,0.9102,1338,20232024,L,1470,5,BUF,,184874,27
1,44,43,Jeremy Swayman,0,108,2.52547,Swayman,10,8,0,8480280,1,0.91608,1179,20232024,L,1287,3,BOS,,153951,25
3,46,42,Logan Thompson,0,119,2.69895,Thompson,14,5,0,8480313,3,0.90832,1179,20232024,R,1298,1,VGK,,158728,25
0,50,48,Charlie Lindgren,0,127,2.67145,Lindgren,16,7,0,8479292,0,0.91125,1304,20232024,R,1431,6,WSH,,171143,25
2,56,55,Ilya Sorokin,0,167,3.01264,Sorokin,19,12,0,8478009,2,0.90884,1655,20232024,L,1821,2,NYI,,199559,25
1,40,40,Ilya Samsonov,0,120,3.12911,Samsonov,7,8,0,8478492,1,0.8896,967,20232024,L,1087,3,TOR,,138058,23
