assists,gamesPlayed,gamesStarted,goalieFullName,goals,goalsAgainst,goalsAgainstAverage,lastName,losses,otLosses,penaltyMinutes,playerId,points,savePct,saves,seasonId,shootsCatches,shotsAgainst,shutouts,teamAbbrevs,ties,timeOnIce,wins
1,65,64,Dominik Hasek,0,140,2.1696,Hasek,15,,8,8447687,1,0.91535,1514,20012002,L,1654,5,DET,8,232300,41
4,73,73,Martin Brodeur,0,156,2.15322,Brodeur,26,,8,8455710,4,0.90574,1499,20012002,L,1655,4,NJD,9,260818,38
3,67,67,Evgeni Nabokov,1,149,2.29201,Nabokov,24,,14,8460705,4,0.91804,1669,20012002,L,1818,7,SJS,5,234030,37
1,64,64,Byron Dafoe,0,141,2.21069,Dafoe,26,,27,8455994,1,0.90723,1379,20012002,L,1520,4,BOS,3,229611,35
4,58,58,Brent Johnson,0,127,2.18267,Johnson,20,,2,8462161,4,0.90177,1166,20012002,L,1293,5,STL,4,209468,34
1,60,59,Sean Burke,0,137,2.29175,Burke,21,,14,8445769,1,0.91992,1574,20012002,L,1711,5,PHX,6,215206,33
0,67,66,Jocelyn Thibault,0,159,2.48576,Thibault,23,,2,8459432,0,0.90221,1467,20012002,L,1626,6,CHI,9,230271,33
3,63,63,Patrick Roy,0,122,1.93985,Roy,23,,26,8451033,3,0.9251,1507,20012002,L,1629,9,COL,8,226409,32
4,66,65,Chris Osgood,0,156,2.50081,Osgood,25,,10,8458568,4,0.90966,1571,20012002,L,1727,4,NYI,6,224567,32
0,62,61,Dan Cloutier,0,142,2.4332,Cloutier,22,,20,8460516,0,0.90138,1298,20012002,L,1440,7,VAN,5,210093,31
1,71,70,Olie Kolzig,0,192,2.78853,Kolzig,29,,8,8448535,1,0.90288,1785,20012002,L,1977,6,WSH,8,247872,31
1,71,70,Felix Potvin,0,157,2.31376,Potvin,27,,19,8457714,1,0.90688,1529,20012002,L,1686,6,LAK,8,244277,31
1,72,69,Martin Biron,0,151,2.21789,Biron,28,,8,8462047,1,0.91521,1630,20012002,L,1781,4,BUF,10,245097,31
2,67,64,Jose Theodore,0,136,2.11182,Theodore,24,,2,8460535,2,0.93103,1836,20012002,R,1972,7,MTL,10,231837,30
5,69,68,Roman Turek,0,172,2.52853,Turek,28,,4,8458266,5,0.90647,1667,20012002,R,1839,5,CGY,11,244885,30
1,69,68,Tommy Salo,0,149,2.21565,Salo,28,,2,8459541,1,0.91301,1564,20012002,L,1713,6,EDM,10,242095,30
1,51,51,Curtis Joseph,0,114,2.2317,Joseph,17,,10,8448382,1,0.90578,1096,20012002,L,1210,4,TOR,5,183895,29
1,61,59,Patrick Lalime,0,148,2.47863,Lalime,24,,19,8459579,1,0.90269,1373,20012002,L,1521,7,OTT,8,214957,27
1,66,64,Johan Hedberg,0,178,2.75502,Hedberg,34,,22,8460704,1,0.90383,1673,20012002,L,1851,6,PIT,7,232593,25
0,46,43,Roman Cechmanek,0,89,2.05117,Cechmanek,13,,10,8468651,0,0.9213,1042,20012002,L,1131,4,PHI,6,156203,24
0,55,54,Mike Richter,0,157,2.94823,Richter,26,,4,8450833,0,0.90626,1518,20012002,L,1675,2,NYR,4,191708,24
2,70,66,Nikolai Khabibulin,0,153,2.35632,Khabibulin,32,,6,8459140,2,0.92006,1761,20012002,L,1914,7,TBL,10,233754,24
2,58,58,Mike Dunham,0,144,2.6054,Dunham,24,,2,8456137,2,0.90557,1381,20012002,L,1525,3,NSH,9,198971,23
