assists,gamesPlayed,gamesStarted,goalieFullName,goals,goalsAgainst,goalsAgainstAverage,lastName,losses,otLosses,penaltyMinutes,playerId,points,savePct,saves,seasonId,shootsCatches,shotsAgainst,shutouts,teamAbbrevs,ties,timeOnIce,wins
1,78,78,Martin Brodeur,0,171,2.18458,Brodeur,23,7,12,8455710,1,0.92163,2011,20062007,L,2182,12,NJD,,281793,48
2,76,75,Roberto Luongo,0,171,2.28494,Luongo,22,6,10,8466141,2,0.92116,1998,20062007,L,2169,5,VAN,,269416,47
2,63,61,Ryan Miller,0,168,2.73009,Miller,16,6,2,8468011,2,0.91092,1718,20062007,L,1886,2,BUF,,221531,40
3,67,65,Marc-Andre Fleury,0,184,2.8268,Fleury,16,9,4,8470594,3,0.90583,1770,20062007,L,1954,5,PIT,,234328,40
0,74,74,Miikka Kiprusoff,0,181,2.45743,Kiprusoff,24,9,2,8462147,0,0.91735,2009,20062007,L,2190,7,CGY,,265155,40
2,56,56,Dominik Hasek,0,114,2.04738,Hasek,11,6,20,8447687,2,0.91291,1195,20062007,L,1309,8,DET,,200451,38
4,67,64,Marty Turco,0,140,2.23174,Turco,20,5,18,8460612,4,0.91048,1424,20062007,L,1564,6,DAL,,225832,38
0,70,69,Henrik Lundqvist,0,160,2.33653,Lundqvist,22,8,0,8468685,0,0.91696,1767,20062007,L,1927,5,NYR,,246519,37
1,72,71,Andrew Raycroft,0,205,2.99393,Raycroft,25,9,8,8467453,1,0.89383,1726,20062007,L,1931,2,TOR,,246498,37
2,56,53,Jean-Sebastien Giguere,0,122,2.25603,Giguere,10,8,0,8462044,2,0.91812,1368,20062007,L,1490,4,ANA,,194678,36
1,68,66,Kari Lehtonen,0,183,2.79105,Lehtonen,24,9,6,8470140,1,0.9118,1892,20062007,L,2075,4,ATL,,236040,34
1,58,56,Ray Emery,0,138,2.47074,Emery,16,6,30,8469548,1,0.91839,1553,20062007,L,1691,5,OTT,,201073,33
2,62,62,Rick DiPietro,0,156,2.58079,DiPietro,19,9,24,8468481,2,0.91862,1761,20062007,R,1917,5,NYI,,217607,32
2,57,53,Peter Budaj,0,143,2.68245,Budaj,16,6,0,8469514,2,0.9046,1356,20062007,L,1499,3,COL,,191914,31
1,60,59,Cam Ward,0,167,2.92811,Ward,21,6,6,8470320,1,0.89723,1458,20062007,L,1625,2,CAR,,205320,30
0,66,62,Tim Thomas,0,189,3.13318,Thomas,29,4,6,8460703,0,0.90478,1796,20062007,L,1985,3,BOS,,217159,30
2,44,44,Tomas Vokoun,0,104,2.39903,Vokoun,12,4,4,8460712,2,0.91993,1195,20062007,R,1299,5,NSH,,156063,27
3,48,43,Johan Holmqvist,0,121,2.84938,Holmqvist,15,3,4,8466303,3,0.89329,1013,20062007,L,1134,1,TBL,,152875,27
2,58,54,Ed Belfour,0,152,2.77264,Belfour,17,10,10,8445386,2,0.90193,1398,20062007,L,1550,1,FLA,,197357,27
3,68,66,Dwayne Roloson,0,180,2.747,Roloson,34,6,12,8460806,3,0.90858,1789,20062007,L,1969,4,EDM,,235893,27
3,38,33,Vesa Toskala,0,84,2.35343,Toskala,10,1,0,8462117,3,0.90819,831,20062007,L,915,4,SJS,,128493,26
0,50,49,Evgeni Nabokov,0,106,2.28948,Nabokov,16,4,6,8460705,0,0.91361,1121,20062007,L,1227,7,SJS,,166675,25
0,60,57,Nikolai Khabibulin,0,163,2.85579,Khabibulin,26,5,8,8459140,0,0.90227,1505,20062007,L,1668,1,CHI,,205477,25
1,40,38,Chris Mason,0,93,2.3829,Mason,11,4,4,8462152,1,0.92524,1151,20062007,L,1244,5,NSH,,140501,24
0,55,50,Fredrik Norrena,0,137,2.78442,Norrena,23,3,6,8470090,0,0.90352,1283,20062007,L,1420,3,CBJ,,177128,24
1,41,36,Niklas Backstrom,0,73,1.96719,Backstrom,8,6,2,8473404,1,0.92898,955,20062007,L,1028,5,MIN,,133591,23
0,45,43,Manny Legace,0,109,2.59367,Legace,15,5,2,8459308,0,0.90739,1068,20062007,L,1177,5,STL,,151291,23
0,44,42,Manny Fernandez,0,103,2.55203,Fernandez,16,1,12,8458988,0,0.91105,1055,20062007,L,1158,2,MIN,,145296,22
3,54,53,Olie Kolzig,0,159,2.99607,Kolzig,24,6,10,8448535,3,0.91022,1612,20062007,L,1771,1,WSH,,191050,22
1,42,39,Cristobal Huet,0,107,2.80809,Huet,16,3,0,8469658,1,0.9164,1173,20062007,L,1280,2,MTL,,137175,19
0,35,34,Martin Biron,0,101,3.02725,Biron,12,3,25,8462047,0,0.90307,941,20062007,L,1042,0,"BUF,PHI",,120109,18
0,55,50,Curtis Joseph,0,159,3.18711,Joseph,31,2,10,8448382,0,0.89264,1322,20062007,L,1481,4,PHX,,179598,18
