assists,gamesPlayed,gamesStarted,goalieFullName,goals,goalsAgainst,goalsAgainstAverage,lastName,losses,otLosses,penaltyMinutes,playerId,points,savePct,saves,seasonId,shootsCatches,shotsAgainst,shutouts,teamAbbrevs,ties,timeOnIce,wins
1,46,44,Billy Smith,0,133,2.97345,Smith,9,,24,8451525,1,0.89792,1170,19811982,L,1303,0,NYI,4,161025,32
6,48,48,Grant Fuhr,0,157,3.3145,Fuhr,5,,6,8446991,6,0.89785,1380,19811982,R,1537,0,EDM,14,170523,28
2,64,63,Mike Liut,0,250,4.07011,Liut,28,,2,8448865,2,0.87684,1780,19811982,L,2030,2,STL,7,221124,28
3,60,60,Dan Bouchard,0,230,3.8676,Bouchard,22,,36,8445609,3,0.86651,1493,19811982,L,1723,1,QUE,11,214086,27
1,51,51,Gilles Meloche,0,175,3.47509,Meloche,15,,6,8449550,1,0.89406,1477,19811982,R,1652,1,MNS,9,181290,26
2,62,59,Don Edwards,0,205,3.522,Edwards,23,,2,8446597,2,0.88218,1535,19811982,L,1740,0,BUF,9,209540,26
1,62,62,Michel Dion,0,226,3.79656,Dion,24,,4,8446429,1,0.87803,1627,19811982,L,1853,0,PIT,12,214299,25
2,38,37,Rick Wamsley,0,101,2.74879,Wamsley,7,,4,8452287,2,0.89278,841,19811982,L,942,2,MTL,7,132276,23
1,44,44,Pete Peeters,0,160,3.71809,Peeters,18,,19,8450343,1,0.87117,1082,19811982,L,1242,0,PHI,3,154918,23
3,49,47,Steve Weeks,0,179,3.77018,Weeks,16,,0,8452355,3,0.86809,1178,19811982,L,1357,1,NYR,9,170920,23
0,36,36,Roland Melanson,0,114,3.23827,Melanson,7,,14,8449547,0,0.89636,986,19811982,L,1100,0,NYI,6,126734,22
2,44,43,Marco Baron,0,144,3.43349,Baron,16,,35,8445272,2,0.86516,924,19811982,L,1068,1,BOS,4,150983,22
5,45,44,Ed Staniowski,0,174,3.95859,Staniowski,19,,4,8451655,5,0.87615,1231,19811982,L,1405,1,WIN,6,158238,20
2,52,51,Richard Brodeur,0,168,3.35802,Brodeur,18,,0,8445694,2,0.89333,1407,19811982,L,1575,2,VAN,12,180106,20
1,38,35,Rogie Vachon,0,132,3.66378,Vachon,11,,0,8452122,1,0.85867,802,19811982,L,934,1,BOS,6,129702,19
2,52,51,Tony Esposito,0,231,4.53306,Esposito,25,,0,8446720,2,0.86769,1515,19811982,R,1746,1,CHI,8,183452,19
5,52,49,Pat Riggin,0,207,4.24903,Riggin,19,,4,8450835,5,0.87086,1396,19811982,L,1603,2,CGY,11,175381,19
0,29,26,Ron Low,0,100,3.86141,Low,7,,2,8448891,0,0.87421,695,19811982,L,795,0,EDM,1,93230,17
0,55,53,Bob Sauve,0,200,3.84574,Sauve,26,,2,8451143,0,0.85704,1199,19811982,L,1399,0,"BUF,DET",9,187220,17
1,52,50,Dave Parro,0,206,4.20816,Parro,26,,4,8450209,1,0.87446,1435,19811982,L,1641,1,WSH,7,176229,16
2,61,59,Glenn Resch,0,230,4.03778,Resch,31,,8,8450802,2,0.87875,1667,19811982,L,1897,0,CLR,11,205063,16
0,25,25,Eddie Mio,0,89,3.56209,Mio,6,,4,8449618,0,0.88545,688,19811982,L,777,0,NYR,5,89947,13
1,29,28,Rick St. Croix,0,112,3.89426,St. Croix,9,,2,8451626,1,0.86991,749,19811982,L,861,0,PHI,6,103537,13
2,39,36,Doug Soetaert,0,155,4.31511,Soetaert,14,,14,8451595,2,0.86952,1033,19811982,L,1188,2,WIN,8,129313,13
2,52,49,Mario Lessard,0,214,4.39184,Lessard,28,,6,8448805,2,0.85149,1227,19811982,L,1441,2,LAK,8,175416,13
0,27,26,Denis Herron,0,68,2.64137,Herron,6,,4,8447755,0,0.91052,692,19811982,L,760,3,MTL,8,92679,12
0,19,17,Richard Sevigny,0,53,3.10057,Sevigny,4,,10,8451308,0,0.89205,438,19811982,L,491,0,MTL,2,61537,11
0,28,26,Don Beaupre,0,101,3.71217,Beaupre,8,,4,8445381,0,0.88852,805,19811982,L,906,0,MNS,9,97948,11
1,29,28,Murray Bannerman,0,116,4.17587,Bannerman,12,,0,8445249,1,0.86681,755,19811982,R,871,1,CHI,4,100003,11
4,55,53,Greg Millen,0,229,4.30159,Millen,30,,2,8449627,4,0.87256,1568,19811982,R,1797,0,HFD,12,191650,11
1,34,31,Rejean Lemelin,0,135,4.32188,Lemelin,15,,0,8448759,1,0.87335,931,19811982,L,1066,0,CGY,6,112451,10
2,40,34,Vincent Tremblay,0,153,4.52123,Tremblay,18,,2,8451958,2,0.87142,1037,19811982,L,1190,1,TOR,8,121825,10
3,50,44,Michel Larocque,0,207,4.69997,Larocque,24,,2,8448700,3,0.86245,1298,19811982,L,1505,0,TOR,8,158554,10
1,28,27,John Garrett,0,125,4.64094,Garrett,11,,2,8447066,1,0.85448,734,19811982,L,859,0,"HFD,QUE",7,96963,9
2,26,19,Al Jensen,0,81,3.82406,Jensen,8,,6,8448275,2,0.8851,624,19811982,L,705,0,WSH,4,76254,8
0,30,27,Glen Hanlon,0,114,4.0715,Hanlon,15,,22,8447505,0,0.85908,695,19811982,R,809,1,"VAN,STL",5,100798,8
0,31,25,Doug Keans,0,103,4.31855,Keans,10,,0,8448410,0,0.86447,657,19811982,L,760,0,LAK,7,85862,8
0,27,22,Gilles Gilbert,0,105,4.26737,Gilbert,10,,2,8447170,0,0.84848,588,19811982,L,693,0,DET,6,88579,6
0,7,5,Jacques Cloutier,0,13,2.51612,Cloutier,1,,0,8446089,0,0.91612,142,19811982,L,155,0,BUF,0,18600,5
1,13,12,Mike Veisor,0,53,4.5435,Veisor,5,,0,8452205,1,0.88036,390,19811982,R,443,0,HFD,2,41994,5
0,19,13,Paul Harrison,0,78,5.05108,Harrison,8,,2,8447663,0,0.82432,366,19811982,L,444,0,"PIT,BUF",1,55592,5
0,12,10,Rick Heinz,0,44,4.31972,Heinz,6,,0,8447725,0,0.84397,238,19811982,L,282,1,"STL,VAN",0,36669,4
1,16,13,Gary Edwards,0,67,4.79256,Edwards,7,,2,8446602,1,0.84841,375,19811982,L,442,1,"STL,PIT",2,50328,4
0,18,16,Corrado Micalef,0,63,4.68159,Micalef,10,,9,8449582,0,0.8425,337,19811982,R,400,0,DET,1,48445,4
0,7,6,Jim Rutherford,0,43,6.78947,Rutherford,3,,0,8451076,0,0.79227,164,19811982,L,207,0,LAK,0,22800,3
1,8,6,Andy Moog,0,32,4.82371,Moog,5,,2,8449681,1,0.84079,169,19811982,L,201,0,EDM,0,23882,3
0,2,2,Mike Moffat,0,6,3.0,Moffat,0,,0,8449651,0,0.88235,45,19811982,L,51,0,BOS,0,7200,2
