assists,gamesPlayed,gamesStarted,goalieFullName,goals,goalsAgainst,goalsAgainstAverage,lastName,losses,otLosses,penaltyMinutes,playerId,points,savePct,saves,seasonId,shootsCatches,shotsAgainst,shutouts,teamAbbrevs,ties,timeOnIce,wins
1,72,72,Martin Brodeur,0,166,2.31816,Brodeur,17,,14,8455710,1,0.90578,1596,20002001,L,1762,9,NJD,11,257790,42
5,62,60,Patrick Roy,0,132,2.20951,Roy,13,,10,8451033,5,0.91275,1381,20002001,L,1513,4,COL,7,215070,40
3,67,67,Dominik Hasek,0,137,2.10543,Hasek,24,,22,8447687,3,0.92062,1589,20002001,L,1726,11,BUF,4,234251,37
2,72,72,Olie Kolzig,0,177,2.482,Kolzig,26,,14,8448535,2,0.9088,1764,20002001,L,1941,5,WSH,8,256728,37
2,77,76,Arturs Irbe,0,180,2.45139,Irbe,29,,6,8456692,2,0.90755,1767,20002001,L,1947,6,CAR,9,264339,37
1,60,60,Patrick Lalime,0,141,2.34545,Lalime,19,,2,8459579,1,0.91402,1499,20002001,L,1640,7,OTT,5,216419,36
1,73,72,Tommy Salo,0,179,2.461,Salo,25,,4,8459541,1,0.90355,1677,20002001,L,1856,8,EDM,12,261844,36
1,59,57,Roman Cechmanek,0,115,2.01079,Cechmanek,15,,4,8468651,1,0.92144,1349,20002001,L,1464,10,PHI,6,205889,35
1,63,62,Ed Belfour,0,144,2.3431,Belfour,20,,4,8445386,1,0.9045,1364,20002001,L,1508,8,DAL,7,221245,35
1,68,68,Curtis Joseph,0,163,2.38532,Joseph,27,,8,8448382,1,0.91452,1744,20002001,L,1907,6,TOR,8,246004,33
2,66,65,Evgeni Nabokov,0,135,2.18946,Nabokov,21,,8,8460705,2,0.91466,1447,20002001,L,1582,6,SJS,7,221972,32
5,58,58,Felix Potvin,0,149,2.617,Potvin,22,,4,8457714,5,0.89966,1336,20002001,L,1485,6,"VAN,LAK",8,204967,27
3,66,65,Jocelyn Thibault,0,180,2.80926,Thibault,32,,2,8459432,3,0.89479,1531,20002001,L,1711,6,CHI,7,230665,27
0,52,48,Chris Osgood,0,127,2.68876,Osgood,19,,8,8458568,0,0.90305,1183,20002001,L,1310,1,DET,4,170041,25
1,62,60,Sean Burke,0,138,2.27235,Burke,22,,16,8445769,1,0.9219,1629,20002001,L,1767,4,PHX,13,218628,25
2,39,34,Manny Legace,0,73,2.05014,Legace,5,,4,8459308,2,0.91969,836,20002001,L,909,2,DET,5,128186,24
1,54,53,Roman Turek,0,123,2.28334,Turek,18,,6,8458266,1,0.90144,1125,20002001,R,1248,6,STL,10,193926,24
2,45,45,Byron Dafoe,0,101,2.38915,Dafoe,14,,6,8455994,2,0.90613,975,20002001,L,1076,2,BOS,7,152188,22
1,53,53,Ron Tugnutt,0,127,2.43532,Tugnutt,25,,2,8451837,1,0.91688,1401,20002001,L,1528,4,CBJ,5,187737,22
0,48,47,Mike Dunham,0,107,2.28437,Dunham,21,,2,8456137,0,0.92251,1274,20002001,L,1381,4,NSH,4,168624,21
1,36,35,Jean-Sebastien Aubin,0,107,3.13155,Aubin,14,,4,8462102,1,0.89003,866,20002001,R,973,0,PIT,1,123006,20
0,45,45,Mike Richter,0,144,3.27881,Richter,21,,0,8450833,0,0.89277,1199,20002001,L,1343,0,NYR,3,158106,20
0,59,55,Jose Theodore,1,141,2.56532,Theodore,29,,6,8460535,1,0.90879,1405,20002001,R,1546,2,MTL,5,197870,20
1,61,59,Kevin Weekes,0,177,3.14405,Weekes,33,,4,8459463,1,0.89839,1565,20002001,L,1742,4,TBL,3,202668,20
0,31,29,Brent Johnson,0,63,2.16736,Johnson,9,,2,8462161,0,0.9068,613,20002001,L,676,4,STL,2,104643,19
0,42,40,Manny Fernandez,0,92,2.2434,Fernandez,17,,6,8458988,0,0.91979,1055,20002001,L,1147,4,MIN,4,147633,19
0,45,41,Jamie Storr,0,114,2.73873,Storr,18,,4,8460497,0,0.8992,1017,20002001,L,1131,4,LAK,6,149850,19
0,39,33,Bob Essensa,0,92,2.68126,Essensa,12,,4,8446719,0,0.89227,762,20002001,L,854,1,VAN,3,123524,18
0,54,53,Guy Hebert,0,157,3.19305,Hebert,30,,0,8447715,0,0.89677,1364,20002001,L,1521,2,"ANA,NYR",5,177009,17
1,49,42,Fred Brathwaite,0,106,2.31989,Brathwaite,17,,2,8459252,1,0.91024,1075,20002001,L,1181,5,CGY,10,164490,15
0,35,34,Garth Snow,0,101,2.98269,Snow,15,,8,8458075,0,0.90039,913,20002001,L,1014,3,PIT,4,121903,14
0,48,46,John Vanbiesbrouck,0,126,2.87459,Vanbiesbrouck,25,,8,8452157,0,0.90078,1144,20002001,L,1270,2,"NYI,NJD",5,157796,14
0,26,20,Marty Turco,0,40,1.89643,Turco,6,,12,8460612,0,0.92481,492,20002001,L,532,3,DAL,1,75932,13
0,37,34,Tomas Vokoun,0,85,2.44233,Vokoun,17,,2,8460712,0,0.90957,855,20002001,R,940,2,NSH,5,125290,13
0,22,21,Jani Hurme,0,54,2.49954,Hurme,5,,0,8466192,0,0.90408,509,20002001,L,563,2,OTT,4,77774,12
1,26,22,David Aebischer,0,52,2.24044,Aebischer,7,,0,8466290,1,0.90334,486,20002001,L,538,3,COL,3,83555,12
0,36,31,Milan Hnilicka,0,105,3.35278,Hnilicka,19,,4,8458584,0,0.88958,846,20002001,L,951,2,ATL,2,112742,12
1,41,40,Mike Vernon,0,121,3.23236,Vernon,23,,16,8452217,1,0.88297,913,20002001,L,1034,3,CGY,5,134762,12
0,47,41,Roberto Luongo,0,107,2.44259,Luongo,24,,2,8466141,0,0.91972,1226,20002001,L,1333,5,FLA,7,157701,12
2,34,33,Jean-Sebastien Giguere,0,87,2.56993,Giguere,17,,8,8462044,2,0.91086,889,20002001,L,976,4,ANA,5,121871,11
3,25,22,Robert Esche,0,68,3.02278,Esche,8,,2,8465093,3,0.89649,589,20002001,L,657,2,PHX,4,80985,10
1,42,41,Trevor Kidd,0,130,3.31369,Kidd,23,,6,8456830,1,0.89317,1087,20002001,L,1217,1,FLA,6,141232,10
0,23,19,Kirk McLean,0,71,3.4907,McLean,10,,0,8449474,0,0.88888,568,20002001,L,639,0,NYR,1,73223,8
0,27,24,Brian Boucher,0,80,3.26612,Boucher,12,,2,8462052,0,0.87577,564,20002001,L,644,1,PHI,5,88178,8
0,9,9,Johan Hedberg,0,24,2.64268,Hedberg,1,,0,8460704,0,0.90513,229,20002001,L,253,0,PIT,1,32694,7
0,18,14,Martin Biron,0,39,2.54897,Biron,7,,0,8462047,0,0.90866,388,20002001,L,427,2,BUF,1,55081,7
0,38,35,Damian Rhodes,0,116,3.35912,Rhodes,19,,16,8457791,0,0.89725,1013,20002001,L,1129,0,ATL,7,124318,7
0,40,29,Dan Cloutier,0,96,3.00031,Cloutier,19,,4,8460516,0,0.89201,793,20002001,L,889,1,"TBL,VAN",8,115188,7
0,21,16,Steve Shields,0,47,2.48399,Shields,8,,2,8458615,0,0.91148,484,20002001,L,531,2,SJS,5,68116,6
0,22,16,Wade Flaherty,0,64,3.38241,Flaherty,12,,2,8456264,0,0.87809,461,20002001,L,525,1,"NYI,TBL",0,68117,6
