assists,gamesPlayed,gamesStarted,goalieFullName,goals,goalsAgainst,goalsAgainstAverage,lastName,losses,otLosses,penaltyMinutes,playerId,points,savePct,saves,seasonId,shootsCatches,shotsAgainst,shutouts,teamAbbrevs,ties,timeOnIce,wins
0,42,41,Niklas Backstrom,0,98,2.48296,Backstrom,15,3,2,8473404,0,0.90858,974,20122013,L,1072,2,MIN,,142088,24
1,43,43,Henrik Lundqvist,0,88,2.04976,Lundqvist,16,3,0,8468685,1,0.92605,1102,20122013,L,1190,2,NYR,,154554,24
1,43,43,Antti Niemi,0,93,2.16214,Niemi,12,6,2,8474550,1,0.92377,1127,20122013,L,1220,4,SJS,,154846,24
2,33,31,Marc-Andre Fleury,0,74,2.38998,Fleury,8,0,2,8470594,2,0.916,807,20122013,L,881,1,PIT,,111465,23
2,36,35,Braden Holtby,0,90,2.58468,Holtby,12,1,2,8474651,2,0.91985,1033,20122013,L,1123,4,WSH,,125354,23
4,41,41,Evgeni Nabokov,0,103,2.49656,Nabokov,11,7,6,8460705,4,0.90956,1036,20122013,L,1139,3,NYI,,148524,23
0,38,37,Sergei Bobrovsky,0,74,2.00094,Bobrovsky,11,6,0,8475683,0,0.93173,1010,20122013,L,1084,4,CBJ,,133137,21
0,39,38,Carey Price,0,97,2.5876,Price,13,4,0,8471679,0,0.90471,921,20122013,L,1018,3,MTL,,134951,21
1,42,42,Jimmy Howard,0,87,2.13432,Howard,13,7,0,8470657,1,0.92294,1042,20122013,L,1129,5,DET,,146744,21
0,44,43,Ondrej Pavelec,0,119,2.79702,Pavelec,20,3,2,8471715,0,0.90487,1132,20122013,L,1251,0,WPG,,153163,21
0,30,28,Corey Crawford,0,57,1.94261,Crawford,5,5,4,8470645,0,0.92587,712,20122013,L,769,3,CHI,,105631,19
1,33,31,James Reimer,0,76,2.45669,Reimer,8,5,0,8473503,1,0.92361,919,20122013,L,995,4,TOR,,111369,19
1,36,34,Tuukka Rask,0,70,1.99556,Rask,10,5,0,8471695,1,0.92857,910,20122013,L,980,5,BOS,,126280,19
3,40,40,Ilya Bryzgalov,0,107,2.79403,Bryzgalov,17,3,0,8468524,3,0.89962,959,20122013,L,1066,1,PHI,,137865,19
0,37,36,Jonathan Quick,0,87,2.44645,Quick,13,4,2,8471734,0,0.90213,802,20122013,L,889,1,LAK,,128022,18
0,21,19,Ray Emery,0,36,1.93548,Emery,1,0,0,8469548,0,0.92173,424,20122013,L,460,3,CHI,,66960,17
1,30,30,Cory Schneider,0,61,2.11155,Schneider,9,4,0,8471239,1,0.92694,774,20122013,L,835,5,VAN,,103999,17
0,40,39,Ryan Miller,0,108,2.81465,Miller,17,5,2,8468011,0,0.91496,1162,20122013,L,1270,0,BUF,,138134,17
0,25,23,Viktor Fasth,0,52,2.18441,Fasth,6,2,0,8476839,0,0.92133,609,20122013,L,661,4,ANA,,85698,15
1,26,25,Jonas Hiller,0,59,2.36265,Hiller,6,4,2,8473972,1,0.91259,616,20122013,R,675,1,ANA,,89899,15
0,34,34,Mike Smith,0,84,2.57728,Smith,12,5,0,8469608,0,0.91044,854,20122013,L,938,5,PHX,,117333,15
2,36,35,Kari Lehtonen,0,88,2.65836,Lehtonen,14,3,0,8470140,2,0.91619,962,20122013,L,1050,1,DAL,,119171,15
