assists,gamesPlayed,gamesStarted,goalieFullName,goals,goalsAgainst,goalsAgainstAverage,lastName,losses,otLosses,penaltyMinutes,playerId,points,savePct,saves,seasonId,shootsCatches,shotsAgainst,shutouts,teamAbbrevs,ties,timeOnIce,wins
14,45,44,Grant Fuhr,0,171,3.9113,Fuhr,10,,6,8446991,14,0.88303,1291,19831984,R,1462,1,EDM,4,157390,30
0,49,49,Pete Peeters,0,151,3.16281,Peeters,16,,16,8450343,0,0.87633,1070,19831984,L,1221,0,BOS,2,171872,29
3,57,57,Dan Bouchard,0,180,3.20655,Bouchard,18,,19,8445609,3,0.88173,1342,19831984,L,1522,1,QUE,8,202086,29
2,48,46,Bob Froese,0,150,3.15258,Froese,13,,10,8446982,2,0.8867,1174,19831984,L,1324,2,PHI,7,171288,28
2,50,48,Glen Hanlon,0,166,3.52227,Hanlon,14,,30,8447505,2,0.89042,1349,19831984,R,1515,1,NYR,4,169663,28
1,38,36,Andy Moog,0,139,3.77825,Moog,8,,4,8449681,1,0.8819,1038,19831984,L,1177,1,EDM,1,132442,27
2,42,41,Tom Barrasso,0,117,2.84619,Barrasso,12,,20,8445275,2,0.89324,979,19831984,R,1096,2,BUF,3,147987,26
0,43,42,Al Jensen,0,117,2.91508,Jensen,13,,22,8448275,0,0.88073,864,19831984,L,981,4,WSH,3,144490,25
4,58,57,Mike Liut,0,197,3.46536,Liut,29,,0,8448865,4,0.8835,1494,19831984,L,1691,3,STL,4,204654,25
2,42,38,Billy Smith,0,130,3.42714,Smith,13,,23,8451525,2,0.89624,1123,19831984,L,1253,2,NYI,2,136557,23
4,56,56,Murray Bannerman,0,188,3.39178,Bannerman,29,,17,8445249,4,0.88701,1476,19831984,R,1664,2,CHI,4,199541,23
0,40,39,Bob Sauve,0,138,3.49315,Sauve,13,,2,8451143,0,0.86844,911,19831984,L,1049,0,BUF,4,142221,22
0,41,36,Pat Riggin,0,102,2.66773,Riggin,14,,4,8450835,0,0.88949,821,19831984,L,923,4,WSH,2,137645,21
3,51,44,Rejean Lemelin,0,150,3.51647,Lemelin,12,,6,8448759,3,0.89331,1256,19831984,L,1406,0,CGY,9,153563,21
1,52,48,Gilles Meloche,0,201,4.18149,Meloche,17,,2,8449550,1,0.86785,1320,19831984,R,1521,2,MNS,8,173048,21
3,60,59,Greg Millen,0,221,3.70848,Millen,30,,10,8449627,3,0.87796,1590,19831984,R,1811,2,HFD,9,214535,21
2,37,34,Roland Melanson,0,110,3.2704,Melanson,11,,10,8449547,2,0.90248,1018,19831984,L,1128,0,NYI,2,121086,20
0,33,28,Doug Keans,0,92,3.10551,Keans,8,,2,8448410,0,0.88339,697,19831984,L,789,2,BOS,3,106649,19
3,42,41,Rick Wamsley,0,144,3.71471,Wamsley,17,,6,8452287,3,0.85261,833,19831984,L,977,2,MTL,3,139553,19
3,50,44,Greg Stefan,0,152,3.52148,Stefan,22,,14,8451701,3,0.8752,1066,19831984,L,1218,2,DET,2,155389,19
3,47,43,Doug Soetaert,0,181,4.29039,Soetaert,15,,14,8451595,3,0.86865,1197,19831984,L,1378,0,WIN,7,151874,18
0,33,29,Don Beaupre,0,123,4.15349,Beaupre,13,,17,8445381,0,0.87306,846,19831984,L,969,0,MNS,2,106609,16
1,36,34,Pelle Lindbergh,0,135,4.06939,Lindbergh,13,,6,8448853,1,0.85981,828,19831984,L,963,1,PHI,3,119428,16
0,40,34,Richard Sevigny,0,124,3.38764,Sevigny,18,,12,8451308,0,0.8685,819,19831984,L,943,1,MTL,2,131773,16
0,29,27,John Garrett,0,113,4.11753,Garrett,10,,9,8447066,0,0.85033,642,19831984,L,755,0,VAN,2,98797,14
2,41,36,Don Edwards,0,157,4.09559,Edwards,19,,2,8446597,2,0.87067,1057,19831984,L,1214,0,CGY,5,138002,13
0,32,31,Allan Bester,0,134,4.36351,Bester,16,,6,8445458,0,0.88276,1009,19831984,L,1143,0,TOR,4,110553,11
1,22,19,Clint Malarchuk,0,80,3.9653,Malarchuk,9,,9,8449096,1,0.86463,511,19831984,L,591,0,QUE,2,72630,10
0,26,22,Steve Weeks,0,90,3.97726,Weeks,11,,4,8452355,0,0.86425,573,19831984,L,663,0,NYR,2,81463,10
2,36,35,Richard Brodeur,0,141,4.03033,Brodeur,21,,0,8445694,2,0.8671,920,19831984,L,1061,1,VAN,5,125945,10
1,29,25,Mike Blake,0,118,4.34204,Blake,11,,6,8445551,1,0.86741,772,19831984,L,890,0,LAK,5,97834,9
2,34,30,Mike Palmateer,0,149,4.90647,Palmateer,17,,28,8450132,2,0.84842,834,19831984,R,983,0,TOR,4,109325,9
2,51,41,Glenn Resch,0,184,4.1946,Resch,31,,12,8450802,2,0.87069,1239,19831984,L,1423,1,NJD,3,157917,9
0,19,18,Frank Caprice,0,62,3.39989,Caprice,8,,2,8445919,0,0.88212,464,19831984,L,526,1,VAN,2,65649,8
0,38,34,Denis Herron,0,138,4.10415,Herron,24,,21,8447755,0,0.88432,1055,19831984,L,1193,1,PIT,2,121048,8
0,44,39,Ron Low,0,161,4.36922,Low,25,,4,8448891,0,0.85777,971,19831984,L,1132,0,NJD,4,132655,8
0,12,8,Kelly Hrudey,0,28,3.1566,Hrudey,2,,0,8448020,0,0.90311,261,19831984,L,289,0,NYI,0,31933,7
0,19,18,Markus Mattsson,0,79,4.32297,Mattsson,8,,0,8449291,0,0.85066,450,19831984,R,529,1,LAK,2,65788,7
0,22,18,Rick Heinz,0,80,4.30428,Heinz,7,,4,8447725,0,0.85157,459,19831984,L,539,0,STL,3,66910,7
1,24,22,Eddie Mio,0,95,4.42054,Mio,11,,6,8449618,1,0.85905,579,19831984,L,674,1,DET,3,77366,7
1,28,25,Brian Hayward,0,124,4.87352,Hayward,18,,2,8447701,1,0.85547,734,19831984,L,858,0,WIN,2,91597,7
0,18,17,Roberto Romano,0,78,4.59627,Romano,11,,0,8450993,0,0.87599,551,19831984,L,629,1,PIT,0,61093,6
1,19,17,Ed Staniowski,0,82,4.55836,Staniowski,9,,2,8451655,1,0.85886,499,19831984,L,581,0,"WIN,HFD",1,64760,6
0,12,10,Mike Veisor,0,46,4.18657,Veisor,4,,0,8452205,0,0.83916,240,19831984,R,286,0,"HFD,WIN",2,39555,5
1,14,13,Corrado Micalef,0,52,3.89189,Micalef,8,,2,8449582,1,0.85434,305,19831984,R,357,0,DET,1,48100,5
3,18,18,Tony Esposito,0,88,4.84285,Esposito,10,,0,8446720,3,0.85806,532,19831984,R,620,1,CHI,3,65416,5
0,20,15,Rick St. Croix,0,80,5.12793,St. Croix,10,,0,8451626,0,0.84877,449,19831984,L,529,0,TOR,0,56163,5
0,13,12,Gary Laskoski,0,55,4.97912,Laskoski,7,,0,8448715,0,0.82758,264,19831984,L,319,0,LAK,1,39766,4
2,21,20,Marco Baron,0,87,4.32985,Baron,14,,10,8445272,2,0.86146,541,19831984,L,628,0,LAK,4,72335,3
0,2,2,Bob Mason,0,3,1.5,Mason,0,,0,8449286,0,0.93478,43,19831984,R,46,0,WSH,0,7200,2
0,3,3,Mario Gosselin,0,3,1.21307,Gosselin,0,,2,8447303,0,0.95522,64,19831984,L,67,1,QUE,0,8903,2
0,3,3,John Vanbiesbrouck,0,10,3.35195,Vanbiesbrouck,1,,2,8452157,0,0.88095,74,19831984,L,84,0,NYR,0,10740,2
0,6,6,Marc Behrend,0,32,5.49539,Behrend,4,,0,8445457,0,0.82608,152,19831984,L,184,0,WIN,0,20963,2
0,8,6,Bob Janecyk,0,28,4.10006,Janecyk,3,,2,8448219,0,0.88185,209,19831984,L,237,0,CHI,1,24585,2
0,9,7,Ron Scott,0,29,3.59962,Scott,3,,0,8451236,0,0.88537,224,19831984,L,253,0,NYR,3,29003,2
1,30,25,Michel Dion,0,138,5.33986,Dion,19,,2,8446429,1,0.85209,795,19831984,L,933,0,PIT,4,93036,2
0,2,1,Jon Casey,0,6,4.30622,Casey,0,,0,8446011,0,0.8983,53,19831984,L,59,0,MNS,0,5016,1
0,3,2,Jim Craig,0,9,4.91728,Craig,1,,0,8446212,0,0.83928,47,19831984,L,56,0,MNS,0,6589,1
0,3,1,Brian Ford,0,13,6.34146,Ford,1,,0,8446899,0,0.81428,57,19831984,L,70,0,QUE,0,7380,1
0,3,3,Ken Wregget,0,14,5.0909,Wregget,1,,0,8452535,0,0.89062,114,19831984,L,128,0,TOR,1,9900,1
0,4,3,Mike Moffat,0,15,4.84044,Moffat,1,,0,8449651,0,0.81481,66,19831984,L,81,0,BOS,1,11156,1
0,1,1,Mark Holden,0,4,4.64067,Holden,1,,0,8447940,0,0.7647,13,19831984,L,17,0,MTL,0,3103,0
0,1,0,Dave Parro,0,0,0.0,Parro,0,,0,8450209,0,,0,19831984,L,0,0,WSH,0,6,0
0,1,0,Mike Vernon,0,4,21.88449,Vernon,1,,0,8452217,0,0.33333,2,19831984,L,6,0,CGY,0,658,0
0,2,1,Bruce Dowie,0,4,3.33487,Dowie,1,,0,8446473,0,0.90697,39,19831984,L,43,0,TOR,0,4318,0
0,3,1,Ken Holland,0,10,4.11616,Holland,1,,0,8447927,0,0.80392,41,19831984,L,51,0,DET,1,8746,0
0,4,4,Steve Penney,0,19,4.76389,Penney,4,,0,8450311,0,0.83478,96,19831984,R,115,0,MTL,0,14358,0
0,4,4,Vincent Tremblay,0,24,6.01922,Tremblay,4,,2,8451958,0,0.82978,117,19831984,L,141,0,PIT,0,14354,0
0,5,5,Michel Larocque,0,31,6.21657,Larocque,5,,2,8448700,0,0.80981,132,19831984,L,163,0,STL,0,17952,0
