assists,gamesPlayed,gamesStarted,goalieFullName,goals,goalsAgainst,goalsAgainstAverage,lastName,losses,otLosses,penaltyMinutes,playerId,points,savePct,saves,seasonId,shootsCatches,shotsAgainst,shutouts,teamAbbrevs,ties,timeOnIce,wins
4,52,47,Mike Vernon,0,130,2.6551,Vernon,6,,18,8452217,4,0.89707,1133,19881989,L,1263,0,CGY,5,176264,37
6,48,46,Patrick Roy,0,113,2.47089,Roy,5,,2,8451033,6,0.90783,1113,19881989,L,1226,4,MTL,6,164637,33
8,64,63,Ron Hextall,0,202,3.22703,Hextall,28,,113,8447775,8,0.8911,1653,19881989,L,1855,0,PHI,6,225346,30
2,56,54,John Vanbiesbrouck,0,197,3.68518,Vanbiesbrouck,21,,30,8452157,2,0.88146,1465,19881989,L,1662,0,NYR,4,192446,28
3,66,63,Kelly Hrudey,0,230,3.65674,Hrudey,28,,19,8448020,3,0.8815,1711,19881989,L,1941,1,"NYI,LAK",5,226431,28
1,48,47,Glenn Healy,0,192,4.26779,Healy,19,,28,8447709,1,0.87217,1310,19881989,L,1502,0,LAK,2,161957,25
1,59,56,Grant Fuhr,0,213,3.82569,Fuhr,26,,6,8446991,1,0.87543,1497,19881989,R,1710,1,EDM,6,200434,23
3,44,43,Peter Sidorkiewicz,0,133,3.02898,Sidorkiewicz,18,,0,8451369,3,0.88971,1073,19881989,L,1206,4,HFD,4,158073,22
0,52,51,Greg Millen,0,170,3.37877,Millen,20,,4,8449627,0,0.87926,1238,19881989,R,1408,6,STL,7,181131,22
3,62,61,Sean Burke,0,230,3.84415,Burke,31,,54,8445769,3,0.87334,1586,19881989,L,1816,3,NJD,9,215392,22
2,46,44,Greg Stefan,0,167,4.01037,Stefan,17,,41,8451701,2,0.87013,1119,19881989,L,1286,0,DET,3,149911,21
4,49,45,Alain Chevrier,0,170,3.82667,Chevrier,19,,2,8446052,4,0.86821,1120,19881989,L,1290,1,"WIN,CHI",4,159930,21
1,33,33,Pete Peeters,0,88,2.84797,Peeters,7,,8,8450343,1,0.8886,702,19881989,L,790,4,WSH,3,111237,20
0,36,34,Brian Hayward,0,101,2.89751,Hayward,13,,10,8447701,0,0.88677,791,19881989,L,892,1,MTL,3,125487,20
1,42,41,Kirk McLean,0,127,3.07632,McLean,17,,6,8449474,1,0.89108,1039,19881989,L,1166,4,VAN,3,148619,20
