assists,gamesPlayed,gamesStarted,goalieFullName,goals,goalsAgainst,goalsAgainstAverage,lastName,losses,otLosses,penaltyMinutes,playerId,points,savePct,saves,seasonId,shootsCatches,shotsAgainst,shutouts,teamAbbrevs,ties,timeOnIce,wins
3,70,69,Martin Brodeur,0,130,1.88935,Brodeur,17,,10,8455710,3,0.91714,1439,19971998,L,1569,10,NJD,8,247704,43
0,61,60,Ed Belfour,0,112,1.87666,Belfour,12,,18,8445386,0,0.9161,1223,19971998,L,1335,9,DAL,10,214849,37
1,64,63,Olie Kolzig,0,139,2.20167,Kolzig,18,,12,8448535,1,0.9196,1590,19971998,L,1729,5,WSH,10,227281,33
0,64,64,Chris Osgood,0,140,2.20666,Osgood,20,,31,8458568,0,0.91277,1465,19971998,L,1605,6,DET,11,228399,33
2,72,72,Dominik Hasek,0,147,2.09024,Hasek,23,,12,8447687,2,0.93159,2002,19971998,L,2149,13,BUF,13,253176,33
2,63,61,Tom Barrasso,0,122,2.06656,Barrasso,14,,14,8445275,2,0.92159,1434,19971998,R,1556,7,PIT,13,212527,31
3,65,63,Patrick Roy,0,153,2.39357,Roy,19,,39,8451033,3,0.91616,1672,19971998,L,1825,4,COL,13,230116,31
2,62,60,Mike Vernon,0,146,2.45782,Vernon,22,,24,8452217,2,0.89578,1255,19971998,L,1401,5,SJS,8,213848,30
3,65,63,Byron Dafoe,0,138,2.24234,Dafoe,25,,2,8455994,3,0.91385,1464,19971998,L,1602,6,BOS,9,221554,30
2,70,70,Nikolai Khabibulin,0,184,2.74218,Khabibulin,28,,22,8459140,2,0.89972,1651,19971998,L,1835,4,PHX,10,241559,30
2,58,56,Grant Fuhr,0,138,2.52865,Fuhr,21,,6,8446991,2,0.89807,1216,19971998,R,1354,3,STL,6,196468,29
2,71,71,Curtis Joseph,0,181,2.62805,Joseph,31,,4,8448382,2,0.90478,1720,19971998,L,1901,8,EDM,9,247940,29
1,60,59,Stephane Fiset,0,158,2.71111,Fiset,25,,8,8446831,1,0.90856,1570,19971998,L,1728,2,LAK,8,209803,26
0,67,65,Felix Potvin,0,176,2.73262,Potvin,33,,8,8457714,0,0.90648,1706,19971998,L,1882,5,TOR,7,231865,26
1,62,58,Tommy Salo,0,152,2.63522,Salo,29,,31,8459541,1,0.90599,1465,19971998,L,1617,4,NYI,5,207648,23
0,46,44,Ron Hextall,0,97,2.16548,Hextall,17,,10,8447775,0,0.91092,992,19971998,L,1089,4,PHI,7,161257,21
0,47,46,Trevor Kidd,0,97,2.16759,Kidd,21,,2,8456830,0,0.92158,1140,19971998,L,1237,3,CAR,3,161100,21
0,58,58,Jeff Hackett,0,126,2.19735,Hackett,25,,8,8447449,0,0.9171,1394,19971998,L,1520,8,CHI,11,206430,21
1,72,69,Mike Richter,0,184,2.66447,Richter,31,,2,8450833,1,0.90254,1704,19971998,L,1888,0,NYR,15,248604,21
2,47,42,Jocelyn Thibault,0,109,2.46609,Thibault,15,,0,8459432,2,0.90171,1000,19971998,L,1109,2,MTL,8,159118,19
1,50,46,Damian Rhodes,0,107,2.34058,Rhodes,19,,0,8457791,1,0.90679,1041,19971998,L,1148,5,OTT,7,164574,19
0,42,40,Andy Moog,0,97,2.4901,Moog,17,,4,8449681,0,0.90527,927,19971998,L,1024,3,MTL,5,140235,18
3,60,58,John Vanbiesbrouck,0,165,2.86871,Vanbiesbrouck,29,,6,8452157,3,0.89926,1473,19971998,L,1638,4,FLA,11,207061,18
0,41,35,Garth Snow,0,93,2.5893,Snow,15,,22,8458075,0,0.90148,851,19971998,L,944,1,"PHI,VAN",4,129301,17
0,30,26,Jamie McLennan,0,60,2.171,McLennan,8,,4,8458562,0,0.90291,558,19971998,L,618,2,STL,2,99493,16
2,52,47,Sean Burke,0,142,2.95351,Burke,23,,20,8445769,2,0.89574,1220,19971998,L,1362,2,"CAR,VAN,PHI",9,173082,16
0,42,36,Ron Tugnutt,0,84,2.254,Tugnutt,14,,0,8451837,0,0.90476,798,19971998,L,882,3,OTT,8,134161,15
0,41,32,Arturs Irbe,0,91,2.73161,Irbe,11,,2,8456692,0,0.90733,891,19971998,L,982,2,VAN,6,119929,14
1,44,43,Kirk McLean,0,141,3.53972,McLean,21,,0,8449474,1,0.88131,1047,19971998,L,1188,1,"VAN,CAR,FLA",5,143401,14
1,40,36,Mikhail Shtalenkov,0,110,3.2216,Shtalenkov,18,,0,8459365,1,0.8933,921,19971998,L,1031,1,ANA,5,122920,13
1,42,42,Rick Tabaracci,0,116,2.87759,Tabaracci,22,,14,8451834,1,0.89328,971,19971998,L,1087,0,CGY,6,145121,13
1,46,43,Guy Hebert,0,130,2.93205,Hebert,24,,4,8447715,1,0.90291,1209,19971998,L,1339,3,ANA,6,159615,13
0,23,21,Roman Turek,0,49,2.22132,Turek,10,,2,8458266,0,0.9012,447,19971998,R,496,1,DAL,1,79412,11
