assists,gamesPlayed,gamesStarted,goalieFullName,goals,goalsAgainst,goalsAgainstAverage,lastName,losses,otLosses,penaltyMinutes,playerId,points,savePct,saves,seasonId,shootsCatches,shotsAgainst,shutouts,teamAbbrevs,ties,timeOnIce,wins
0,49,48,Linus Ullmark,1,91,1.89438,Ullmark,6,1,2,8476999,1,0.93754,1366,20222023,L,1457,2,BOS,,172932,40
1,62,62,Alexandar Georgiev,0,156,2.5295,Georgiev,16,6,0,8480382,1,0.91859,1749,20222023,L,1904,5,COL,,222020,40
1,58,58,Igor Shesterkin,0,144,2.47651,Shesterkin,13,8,2,8478048,1,0.91623,1575,20222023,L,1719,3,NYR,,209326,37
1,62,61,Jake Oettinger,0,144,2.37044,Oettinger,11,11,2,8479979,1,0.91948,1633,20222023,L,1776,5,DAL,,218693,37
0,64,64,Connor Hellebuyck,0,157,2.49338,Hellebuyck,25,2,0,8476945,0,0.92006,1807,20222023,L,1964,4,WPG,,226680,37
2,60,60,Andrei Vasilevskiy,0,159,2.65264,Vasilevskiy,22,4,0,8476883,2,0.9152,1716,20222023,L,1875,4,TBL,,215785,34
3,52,48,Vitek Vanecek,0,119,2.44892,Vanecek,11,4,2,8477970,3,0.91072,1214,20222023,L,1333,3,NJD,,174934,33
1,64,63,Juuse Saros,0,171,2.69292,Saros,23,7,0,8477424,1,0.91853,1928,20222023,L,2099,2,NSH,,228599,33
1,62,60,Ilya Sorokin,0,140,2.34174,Sorokin,22,7,0,8478009,1,0.92437,1699,20222023,L,1838,6,NYI,,215224,31
2,50,48,Stuart Skinner,0,133,2.7488,Skinner,14,5,0,8479973,2,0.91406,1404,20222023,L,1536,1,EDM,,174185,29
2,42,40,Ilya Samsonov,0,96,2.3267,Samsonov,10,5,0,8478492,2,0.91891,1088,20222023,L,1184,4,TOR,,148536,27
0,48,42,Martin Jones,0,131,2.99354,Jones,13,3,0,8474889,0,0.88733,1016,20222023,L,1145,3,SEA,,157539,27
2,61,60,Jordan Binnington,0,194,3.31053,Binnington,27,6,29,8476412,2,0.89375,1632,20222023,L,1826,2,STL,,210963,27
0,56,56,Ville Husso,0,167,3.11157,Husso,22,7,0,8478024,0,0.89582,1436,20222023,L,1603,4,DET,,193214,26
1,37,35,Pheonix Copley,0,92,2.6418,Copley,6,3,19,8477831,1,0.90285,855,20222023,L,947,1,LAK,,125369,24
0,37,33,Jeremy Swayman,0,76,2.26529,Swayman,6,4,2,8480280,0,0.92025,877,20222023,L,953,4,BOS,,120779,24
1,46,45,Marc-Andre Fleury,0,126,2.84822,Fleury,16,4,2,8470594,1,0.90782,1241,20222023,L,1367,2,MIN,,159257,24
2,47,47,Tristan Jarry,0,128,2.89807,Jarry,13,7,2,8477465,2,0.90947,1286,20222023,L,1414,2,PIT,,159002,24
0,50,49,Sergei Bobrovsky,0,145,3.06946,Bobrovsky,20,3,2,8475683,0,0.90109,1321,20222023,L,1466,1,FLA,,170062,24
2,59,58,Jacob Markstrom,0,166,2.9201,Markstrom,21,12,14,8474593,2,0.89234,1376,20222023,L,1542,1,CGY,,204650,23
1,39,37,Filip Gustavsson,0,81,2.10304,Gustavsson,9,7,0,8479406,1,0.93094,1092,20222023,L,1173,3,MIN,,138656,22
0,55,54,Carter Hart,0,155,2.93953,Hart,23,10,0,8479394,0,0.9069,1510,20222023,L,1665,2,PHI,,189826,22
0,57,56,Darcy Kuemper,0,154,2.86619,Kuemper,26,7,4,8475311,0,0.9086,1521,20222023,L,1674,5,WSH,,193427,22
1,34,33,Frederik Andersen,0,82,2.4794,Andersen,11,1,0,8475883,1,0.90341,767,20222023,L,849,1,CAR,,119061,21
1,36,34,Jack Campbell,0,115,3.40508,Campbell,9,4,2,8475789,1,0.88802,912,20222023,L,1027,1,EDM,,121583,21
0,37,36,Logan Thompson,0,96,2.6527,Thompson,13,3,2,8480313,0,0.91519,1036,20222023,R,1132,2,VGK,,130282,21
0,27,26,Antti Raanta,0,58,2.22903,Raanta,3,3,0,8477293,0,0.90993,586,20222023,L,644,4,CAR,,93673,19
0,39,37,Joonas Korpisalo,0,104,2.87299,Korpisalo,14,4,0,8476914,0,0.91459,1103,20222023,L,1206,1,"CBJ,LAK",,130317,18
0,50,49,Karel Vejmelka,0,168,3.42759,Vejmelka,24,6,2,8478872,0,0.9,1503,20222023,R,1670,3,ARI,,176450,18
1,33,32,Ukko-Pekka Luukkonen,0,115,3.61215,Luukkonen,11,4,2,8480045,1,0.89184,940,20222023,L,1054,0,BUF,,114613,17
0,36,32,Cam Talbot,0,95,2.92758,Talbot,14,2,0,8475660,0,0.89839,840,20222023,L,935,1,OTT,,116820,17
1,39,36,Philipp Grubauer,0,98,2.8466,Grubauer,14,4,0,8475831,1,0.89462,832,20222023,L,930,0,SEA,,123937,17
1,27,25,Adin Hill,0,62,2.49513,Hill,7,1,2,8478499,1,0.91539,660,20222023,L,721,0,VGK,,89454,16
0,40,39,Samuel Montembeault,0,133,3.41924,Montembeault,19,3,0,8478470,0,0.90111,1212,20222023,L,1345,0,MTL,,140031,16
0,41,36,Jonathan Quick,0,127,3.40977,Quick,15,6,4,8471734,0,0.8824,953,20222023,L,1080,2,"LAK,VGK",,134085,16
0,38,33,Casey DeSmith,0,109,3.16561,DeSmith,16,4,2,8479193,0,0.90455,1033,20222023,L,1142,0,PIT,,123957,15
1,42,41,Jake Allen,0,145,3.55041,Allen,24,3,2,8474596,1,0.89138,1190,20222023,L,1335,1,MTL,,147025,15
0,26,26,Matt Murray,0,74,3.01391,Murray,8,2,0,8476899,0,0.90275,687,20222023,L,761,1,TOR,,88390,14
0,27,23,Dan Vladar,0,72,2.91121,Vladar,6,5,2,8478435,0,0.89505,597,20222023,L,667,0,CGY,,89035,14
1,32,32,Thatcher Demko,0,99,3.16206,Demko,14,4,4,8477967,1,0.90149,906,20222023,L,1005,1,VAN,,112711,14
2,53,52,John Gibson,0,200,3.99345,Gibson,31,8,12,8476434,2,0.89914,1783,20222023,L,1983,1,ANA,,180295,14
