assists,gamesPlayed,gamesStarted,goalieFullName,goals,goalsAgainst,goalsAgainstAverage,lastName,losses,otLosses,penaltyMinutes,playerId,points,savePct,saves,seasonId,shootsCatches,shotsAgainst,shutouts,teamAbbrevs,ties,timeOnIce,wins
8,75,73,Grant Fuhr,0,246,3.43162,Fuhr,24,,16,8446991,8,0.88064,1815,19871988,R,2061,4,EDM,9,258070,40
7,64,60,Mike Vernon,0,210,3.53793,Vernon,16,,47,8452217,7,0.87697,1497,19871988,L,1707,1,CGY,7,213684,39
6,62,61,Ron Hextall,1,208,3.50845,Hextall,22,,104,8447775,7,0.88546,1608,19871988,L,1816,0,PHI,7,213427,30
5,56,56,John Vanbiesbrouck,0,187,3.38461,Vanbiesbrouck,22,,46,8452157,5,0.8898,1510,19871988,L,1697,2,NYR,7,198900,27
1,54,51,Tom Barrasso,0,173,3.3177,Barrasso,18,,50,8445275,1,0.89559,1484,19871988,R,1657,2,BUF,8,187720,25
1,60,58,Mike Liut,0,187,3.18237,Liut,28,,4,8448865,1,0.88435,1430,19871988,L,1617,2,HFD,5,211540,25
0,49,49,Rejean Lemelin,0,138,2.93455,Lemelin,17,,2,8448759,0,0.88888,1104,19871988,L,1242,3,BOS,6,169293,24
2,54,47,Clint Malarchuk,0,154,3.16018,Malarchuk,20,,10,8449096,2,0.8849,1184,19871988,L,1338,4,WSH,4,175433,24
2,45,43,Patrick Roy,0,125,2.90412,Roy,12,,14,8451033,2,0.89983,1123,19871988,L,1248,3,MTL,9,154952,23
2,39,37,Brian Hayward,0,107,2.85852,Hayward,10,,14,8447701,2,0.89621,924,19871988,L,1031,2,MTL,4,134755,22
1,47,43,Glen Hanlon,0,141,3.23211,Hanlon,17,,30,8447505,1,0.89052,1147,19871988,R,1288,4,DET,5,157049,22
2,47,46,Kelly Hrudey,0,153,3.33884,Hrudey,17,,20,8448020,2,0.8957,1314,19871988,L,1467,3,NYI,5,164967,22
2,56,50,Daniel Berthiaume,0,176,3.51502,Berthiaume,19,,12,8445462,2,0.88179,1313,19871988,L,1489,2,WIN,7,180255,22
0,48,46,Greg Millen,0,167,3.52021,Millen,19,,4,8449627,0,0.88028,1228,19871988,R,1395,1,STL,7,170785,21
0,54,51,Mario Gosselin,0,189,3.78525,Gosselin,28,,8,8447303,0,0.8668,1230,19871988,L,1419,2,QUE,4,179750,20
