assists,gamesPlayed,gamesStarted,goalieFullName,goals,goalsAgainst,goalsAgainstAverage,lastName,losses,otLosses,penaltyMinutes,playerId,points,savePct,saves,seasonId,shootsCatches,shotsAgainst,shutouts,teamAbbrevs,ties,timeOnIce,wins
1,66,66,Carey Price,0,130,1.96149,Price,16,6,4,8471679,1,0.93343,1823,20142015,L,1953,9,MTL,,238593,44
1,64,64,Pekka Rinne,0,140,2.18137,Rinne,17,6,8,8471469,1,0.92252,1667,20142015,L,1807,4,NSH,,231047,41
2,73,72,Braden Holtby,0,157,2.21778,Holtby,20,10,2,8474651,2,0.92318,1887,20142015,L,2044,9,WSH,,254849,41
4,62,60,Ben Bishop,0,136,2.31884,Bishop,13,5,4,8471750,4,0.91604,1484,20142015,L,1620,4,TBL,,211140,40
1,59,59,Jaroslav Halak,0,144,2.43383,Halak,17,4,2,8470860,1,0.91392,1529,20142015,L,1673,6,NYI,,212997,38
2,58,55,Devan Dubnyk,0,115,2.07319,Dubnyk,14,4,2,8471227,2,0.92923,1510,20142015,L,1625,6,"ARI,MIN",,199692,36
1,72,71,Jonathan Quick,0,156,2.23696,Quick,22,13,18,8471734,1,0.91772,1740,20142015,L,1896,6,LAK,,251055,36
3,54,53,Frederik Andersen,0,123,2.37626,Andersen,12,5,4,8475883,3,0.91434,1313,20142015,L,1436,3,ANA,,186343,35
1,64,64,Marc-Andre Fleury,0,146,2.31931,Fleury,20,9,6,8470594,1,0.92026,1685,20142015,L,1831,10,PIT,,226619,34
3,65,65,Kari Lehtonen,0,181,2.93697,Lehtonen,17,10,2,8470140,3,0.90346,1694,20142015,L,1875,5,DAL,,221861,34
0,70,67,Tuukka Rask,0,156,2.3037,Rask,21,13,8,8471695,0,0.92242,1855,20142015,L,2011,3,BOS,,243781,34
1,57,57,Corey Crawford,0,126,2.268,Crawford,20,5,8,8470645,1,0.92414,1535,20142015,L,1661,2,CHI,,200000,32
3,61,61,Antti Niemi,0,155,2.59204,Niemi,23,7,0,8474550,3,0.91441,1656,20142015,L,1811,5,SJS,,215274,31
1,46,46,Henrik Lundqvist,0,103,2.25333,Lundqvist,13,3,0,8468685,1,0.92249,1226,20142015,L,1329,5,NYR,,164556,30
2,51,49,Sergei Bobrovsky,0,134,2.68498,Bobrovsky,17,3,4,8475683,2,0.91789,1498,20142015,L,1632,2,CBJ,,179666,30
0,45,45,Ryan Miller,0,107,2.52605,Miller,15,1,0,8468011,0,0.91068,1091,20142015,L,1198,6,VAN,,152491,29
0,57,57,Semyon Varlamov,0,141,2.55833,Varlamov,20,8,4,8473575,0,0.92127,1650,20142015,L,1791,5,COL,,198410,28
0,61,61,Roberto Luongo,0,138,2.34681,Luongo,19,12,0,8466141,0,0.92082,1605,20142015,L,1743,2,FLA,,211691,28
3,46,45,Brian Elliott,0,96,2.26255,Elliott,14,3,0,8470880,3,0.91652,1054,20142015,L,1150,5,STL,,152748,26
0,52,44,Jonas Hiller,0,113,2.36154,Hiller,19,4,0,8473972,0,0.91787,1263,20142015,R,1376,1,CGY,,172260,26
2,69,68,Cory Schneider,0,148,2.26304,Schneider,31,9,0,8471239,2,0.92532,1834,20142015,L,1982,5,NJD,,235435,26
