playerId,topShotSpeed,skatingSpeed,totalDistanceSkated,distanceMaxGame,longShots,longGoals,midShots,midGoals,highShots,highGoals,offensiveZonePctg,neutralZonePctg,defensiveZonePctg,Behind the Net Shots,Beyond Red Line Shots,Center Point Shots,Crease Shots,High Slot Shots,L Circle Shots,L Corner Shots,L Net Side Shots,L Point Shots,Low Slot Shots,Offensive Neutral Zone Shots,Outside L Shots,Outside R Shots,R Circle Shots,R Corner Shots,R Net Side Shots,R Point Shots
8480865,150.184,35.539,376.2308,5.8942,126,7,26,3,13,3,0.43241094,0.18146635,0.3861227,0,7,48,0,14,1,0,1,7,13,7,0,8,11,0,2,71
8476389,150.9243,36.965,377.961,5.8192,12,0,54,5,78,15,0.45557534,0.18052548,0.36389919,1,2,5,5,24,12,0,8,3,73,1,4,6,18,0,2,4
8476906,161.4816,35.135,389.5416,6.1074,80,6,36,7,11,1,0.40899797,0.17724913,0.4137529,0,9,28,0,15,14,0,1,41,11,1,9,4,7,0,0,11
8477021,130.4051,37.158,327.3713,5.3207,12,1,36,6,46,5,0.40973033,0.18146656,0.40880311,0,3,4,5,16,14,0,3,7,41,2,7,2,6,0,6,1
8476454,143.5213,35.841,308.5812,5.9715,17,1,65,5,51,4,0.44784238,0.17237152,0.3797861,0,5,7,2,32,25,0,2,8,49,4,5,2,8,0,3,2
8474715,147.1906,35.216,336.4661,5.6296,31,1,81,8,72,13,0.42031815,0.17601336,0.40366849,0,4,8,5,30,23,1,7,6,67,7,0,9,28,0,3,17
8477955,160.178,36.071,305.9473,5.1613,26,1,75,10,60,12,0.44275342,0.18019201,0.37705457,0,1,9,2,20,33,0,5,13,58,2,19,6,22,0,5,4
8478397,158.9227,36.232,436.6364,6.611,91,1,30,2,9,1,0.44709572,0.17805489,0.3748494,0,1,36,2,9,11,0,0,7,7,2,0,16,10,0,3,48
8481542,157.3938,35.061,431.8504,6.1898,114,3,30,1,7,1,0.42689629,0.17278676,0.40031694,0,8,50,0,12,3,0,1,13,7,10,3,13,15,0,1,51
8478042,148.9609,36.797,279.7815,5.5763,17,1,79,6,67,10,0.45221748,0.17940204,0.36838048,1,2,5,2,22,30,0,10,4,65,6,24,16,27,0,5,8
8477935,139.3209,36.081,346.4444,6.6428,26,0,93,6,97,20,0.44837773,0.19647118,0.35515109,2,2,8,6,37,30,0,3,12,91,7,6,2,26,0,3,6
8478109,140.029,34.377,280.8875,5.4792,29,1,84,12,19,4,0.42318352,0.18508797,0.39172851,0,2,4,1,21,18,0,2,10,18,5,10,10,45,0,3,15
8475726,150.1196,36.112,295.2257,5.0915,28,2,62,7,55,9,0.43006251,0.1769214,0.3930161,0,8,7,2,22,15,0,8,6,53,6,1,18,25,1,8,15
8476292,148.3976,35.418,327.4579,5.9111,5,0,58,6,58,12,0.43575488,0.18008348,0.38416163,0,1,0,0,29,17,0,1,4,58,1,7,8,12,0,4,1
8478493,144.503,35.615,344.1073,5.5677,27,0,48,3,108,22,0.43615082,0.17030114,0.39354804,0,1,7,15,22,19,0,1,11,93,8,13,13,7,0,4,9
8476438,140.2382,35.778,320.1123,5.6387,5,1,59,9,74,14,0.42886455,0.17855633,0.39257913,3,1,3,3,29,15,0,8,0,71,0,2,0,15,0,6,2
8475794,150.184,35.508,365.1626,5.9599,26,0,71,3,61,17,0.41433864,0.18007387,0.40558749,0,5,3,3,21,24,0,12,5,58,8,13,19,26,0,3,18
8478460,147.8987,36.902,406.4202,8.3055,86,4,60,4,24,3,0.42967594,0.17545014,0.39487392,0,7,31,2,19,24,0,7,34,22,2,16,8,17,0,6,21
8478440,142.089,35.693,309.9473,6.1599,7,1,41,5,59,14,0.44773381,0.17570826,0.37655794,0,1,3,2,16,13,0,3,0,57,9,0,2,12,0,4,4
8476826,156.1064,35.964,366.7164,6.2312,14,2,46,7,40,7,0.43168942,0.17631162,0.39199897,1,1,2,1,15,12,1,3,6,39,2,4,11,19,0,4,6
