playerId,topShotSpeed,skatingSpeed,totalDistanceSkated,distanceMaxGame,longShots,longGoals,midShots,midGoals,highShots,highGoals,offensiveZonePctg,neutralZonePctg,defensiveZonePctg,Behind the Net Shots,Beyond Red Line Shots,Center Point Shots,Crease Shots,High Slot Shots,L Circle Shots,L Corner Shots,L Net Side Shots,L Point Shots,Low Slot Shots,Offensive Neutral Zone Shots,Outside L Shots,Outside R Shots,R Circle Shots,R Corner Shots,R Net Side Shots,R Point Shots
8476453,154.9476,36.744,426.7702,7.0782,31,1,84,9,57,17,0.45731189,0.18199583,0.36069228,0,3,8,6,27,20,0,7,5,51,8,11,43,37,0,21,18
8477492,141.5096,38.35,469.7257,7.5132,26,1,138,16,69,8,0.47961458,0.17788214,0.34250328,0,3,6,3,34,62,0,21,15,66,6,27,19,42,1,10,5
8477934,140.6889,37.337,378.6271,6.2724,13,0,71,15,67,26,0.47960283,0.17420931,0.34618786,1,3,8,7,24,15,1,8,2,60,5,6,30,32,0,35,3
8477956,157.764,36.001,426.4866,6.6683,60,3,111,16,70,20,0.45705273,0.18074446,0.36220281,3,3,24,11,29,42,1,11,22,59,11,30,16,40,0,3,14
8478483,140.5118,37.915,433.5184,6.6208,31,0,59,12,40,11,0.42171878,0.17453102,0.4037502,0,4,11,4,20,11,0,6,8,36,4,9,16,28,1,3,12
8478402,141.6223,38.574,412.1523,7.6523,6,0,75,7,62,16,0.49282734,0.17138219,0.33579046,7,0,3,13,22,28,0,14,2,49,4,9,3,25,0,16,1
8478398,143.7305,36.431,454.3627,6.8411,14,2,119,18,64,16,0.44218157,0.1715353,0.38628313,3,1,8,3,23,36,0,4,2,61,1,25,25,60,0,11,4
8478403,151.4554,37.813,416.2768,6.3727,21,1,95,12,61,13,0.43454893,0.17568303,0.38976804,0,10,3,10,16,56,1,9,11,51,5,14,13,23,1,3,7
8480069,158.3916,38.022,488.8553,7.4732,90,11,97,11,30,6,0.45505685,0.17331538,0.37162777,0,12,60,0,35,16,0,1,6,30,2,5,6,46,0,3,24
8471675,152.0508,36.28,425.0392,6.5457,15,1,47,8,89,17,0.45881734,0.17635786,0.3648248,2,7,4,13,14,12,2,9,5,76,7,19,9,21,1,20,6
8479343,143.6822,37.285,384.871,6.0666,18,0,75,9,61,14,0.46207802,0.18326501,0.35465697,0,5,8,7,15,23,0,11,3,54,8,15,21,37,0,4,7
8479542,140.8659,37.343,400.4183,6.2008,21,3,82,8,82,18,0.42670546,0.1822528,0.39104174,1,3,8,11,35,23,1,6,8,71,4,12,12,24,0,4,5
8478550,144.9858,35.139,407.6622,6.4699,47,3,114,19,24,9,0.46608278,0.17318062,0.3607366,1,6,29,1,41,40,0,9,9,23,0,13,14,33,0,9,9
8480018,140.3831,36.84,421.7457,6.8208,14,0,79,14,45,15,0.43627815,0.16967715,0.3940447,2,3,8,4,35,18,0,8,1,41,3,5,6,26,2,5,5
8479407,146.9653,36.5,410.019,6.4762,19,2,76,10,48,7,0.44421494,0.17983757,0.37594749,4,3,9,8,29,22,0,1,7,40,2,10,10,25,0,7,3
8478420,148.2045,36.831,414.2234,6.4325,13,0,85,13,66,6,0.46530299,0.18028193,0.35441509,3,3,4,10,28,23,0,5,6,56,6,0,19,34,0,12,3
8476460,146.3055,35.903,447.6545,6.6282,11,1,56,10,84,25,0.44352022,0.17250826,0.38397153,2,2,1,9,17,25,0,6,4,75,1,8,3,14,1,7,6
8477939,150.9887,36.429,411.7064,6.0941,22,3,101,19,68,19,0.44166033,0.17598404,0.38235563,0,2,10,7,33,34,0,9,6,61,7,6,31,34,0,7,6
8480039,152.2761,39.415,409.9518,6.5838,21,1,83,11,41,12,0.4818531,0.17668768,0.34145923,0,1,7,7,29,37,0,9,8,34,2,23,12,17,0,2,6
8478010,131.9501,38.236,392.3412,6.4252,8,1,54,4,93,28,0.45171407,0.17971052,0.36857541,3,0,6,7,21,15,0,10,0,86,1,2,11,18,0,7,2
8478460,147.9309,37.145,515.375,8.3102,103,4,81,10,36,7,0.42853879,0.17969519,0.39176602,1,6,34,3,21,44,0,5,52,33,4,47,9,16,0,6,17
8475168,135.555,35.358,361.9644,5.631,17,1,45,8,45,15,0.42881414,0.19077014,0.38041572,4,2,5,3,14,11,0,9,1,42,0,4,16,20,1,9,11
8478440,137.6955,34.823,375.1812,5.6734,18,4,44,7,58,16,0.44165727,0.17399733,0.3843454,2,5,11,7,15,8,0,3,4,51,7,2,7,21,0,3,3
8480023,140.367,34.927,365.1251,6.5092,14,0,67,10,40,9,0.43800414,0.17569641,0.38629945,0,6,6,5,20,27,0,1,7,35,3,3,9,20,0,2,1
8477933,138.4036,35.016,403.6778,6.3817,17,0,63,12,91,20,0.47144325,0.16703818,0.36151857,0,1,3,8,19,20,0,6,5,83,7,5,17,24,1,5,9
8477404,134.3319,35.722,398.0337,6.457,6,2,56,6,114,27,0.45160895,0.17723188,0.37115918,0,3,2,21,20,19,0,6,2,93,2,11,7,17,2,10,2
8480027,145.3238,34.877,365.5507,5.7155,32,0,74,10,67,19,0.43099262,0.19031682,0.37869056,4,3,8,6,16,28,0,7,12,61,4,11,4,30,1,4,12
8482078,144.6317,36.849,389.6651,6.0974,18,0,84,17,48,7,0.45582669,0.17181061,0.37236271,5,4,7,8,27,28,0,9,2,40,5,8,8,29,0,3,9
8482116,145.6617,38.082,439.6354,6.8696,11,0,46,4,64,15,0.47613027,0.17063416,0.35323556,0,1,6,5,15,18,1,15,3,59,2,11,6,13,0,5,2
8479318,145.7422,36.218,368.9649,6.7077,20,2,94,8,83,17,0.42922879,0.17702545,0.39374576,1,4,10,16,26,33,0,9,6,67,2,9,20,35,0,19,4
8480800,153.8855,39.527,414.4989,7.9932,105,9,37,5,12,1,0.47214611,0.17033259,0.3575213,1,3,54,1,15,15,1,6,42,11,1,18,3,7,0,5,9
8476887,155.012,35.602,390.9189,5.5743,44,0,103,11,56,11,0.45605,0.18762661,0.35632339,3,7,16,8,27,30,1,8,11,48,5,16,31,46,1,6,17
8478439,148.6712,36.862,426.4166,6.2667,41,2,74,8,47,12,0.43333449,0.18025095,0.38641456,0,7,16,3,20,29,0,4,13,44,2,5,5,25,2,1,12
8475166,137.3414,35.493,343.2092,5.7134,9,1,54,13,106,18,0.43225579,0.17711011,0.39063411,1,3,5,10,25,20,0,8,3,96,3,7,4,9,0,5,1
8478427,147.7378,35.786,413.697,6.5312,25,1,98,15,47,11,0.50154907,0.17449326,0.32395767,0,0,10,7,31,36,1,7,8,40,2,12,13,31,0,2,7
8480893,140.8659,36.13,398.4043,6.8272,33,1,84,15,40,11,0.42002344,0.18654815,0.39342842,3,6,15,7,33,29,0,3,8,33,11,12,10,22,0,5,10
