playerId,topShotSpeed,skatingSpeed,totalDistanceSkated,distanceMaxGame,longShots,longGoals,midShots,midGoals,highShots,highGoals,offensiveZonePctg,neutralZonePctg,defensiveZonePctg,Behind the Net Shots,Beyond Red Line Shots,Center Point Shots,Crease Shots,High Slot Shots,L Circle Shots,L Corner Shots,L Net Side Shots,L Point Shots,Low Slot Shots,Offensive Neutral Zone Shots,Outside L Shots,Outside R Shots,R Circle Shots,R Corner Shots,R Net Side Shots,R Point Shots
8478402,132.0467,39.6089,531.4875,7.908,8,1,92,9,120,26,0.47687929,0.16919112,0.35392959,11,1,4,23,27,36,1,34,3,97,3,15,9,29,0,12,1
8476453,148.1562,36.1133,392.7248,7.2929,38,3,78,12,45,18,0.45680076,0.18594578,0.35725346,2,1,7,5,25,16,2,6,9,40,2,6,40,37,0,11,22
8477492,146.4342,39.8786,456.0059,7.8713,32,6,149,20,83,19,0.466145,0.18097045,0.35288455,3,3,16,11,42,77,1,19,11,72,5,38,12,30,0,5,5
8484801,157.5387,35.9208,472.6669,7.5709,28,3,159,25,59,13,0.44534213,0.18124043,0.37341743,2,2,20,5,66,52,0,4,3,54,5,17,6,41,0,5,5
8476460,139.8681,37.7198,467.6965,7.1238,4,1,70,18,66,11,0.43973647,0.17669334,0.38357019,3,1,3,6,20,31,1,11,0,60,2,7,8,19,1,1,1
8480018,138.4358,38.0149,437.0927,6.7465,11,0,66,9,52,10,0.45109381,0.17313744,0.37576876,2,3,5,6,20,29,1,8,3,46,3,18,14,17,2,3,3
8477956,149.7656,34.618,398.6906,6.855,41,5,102,9,57,10,0.4357081,0.18408065,0.38021125,3,3,14,8,29,29,0,13,15,49,7,19,11,44,2,3,12
8480039,150.2805,38.4498,466.3214,8.1924,25,2,84,14,54,12,0.45471506,0.18104245,0.36424249,0,3,11,5,14,37,0,8,7,49,2,10,16,33,0,4,7
8477934,138.822,37.4597,343.2309,6.738,10,0,49,12,53,15,0.46676374,0.17318793,0.36004833,1,2,5,5,21,5,1,5,0,48,3,7,26,23,0,29,5
8480027,145.1306,36.4681,413.6,6.4472,31,4,98,11,108,23,0.4554389,0.17591563,0.36864547,2,3,14,13,32,41,1,16,8,95,7,12,9,25,0,7,9
8480803,157.8445,35.3646,457.1322,7.2145,108,4,87,12,10,3,0.47621703,0.16932517,0.3544578,2,6,67,0,34,28,0,1,5,10,1,0,4,25,0,2,36
8478398,146.3055,35.6615,471.4884,7.1098,31,2,108,14,64,17,0.43411542,0.17539774,0.39048684,2,0,15,6,33,34,0,7,4,58,1,14,29,41,0,18,12
8478403,152.2761,37.0658,413.6403,7.4956,24,0,95,9,47,14,0.45249133,0.18124368,0.36626499,1,12,11,6,29,46,0,7,6,41,14,26,26,20,2,6,7
8478864,141.2682,36.0952,454.6585,7.1336,33,0,75,12,85,19,0.45915635,0.17973626,0.36110739,9,5,17,7,29,18,4,5,8,78,10,7,21,28,1,14,8
8477404,133.656,35.8189,405.772,6.8168,10,0,62,8,116,26,0.43965417,0.17798008,0.38236575,1,1,3,13,21,19,0,3,5,103,2,7,5,22,0,13,2
8481540,141.6223,36.3231,384.002,6.0741,13,0,81,18,79,22,0.46212775,0.17560011,0.36227214,6,3,6,14,15,32,3,28,2,65,3,14,15,34,2,11,5
8479343,146.8687,36.7151,391.6868,6.2328,24,1,82,6,59,12,0.46601402,0.18051237,0.35347362,0,0,9,7,23,24,4,9,5,52,7,12,24,35,0,4,10
8482740,136.6172,35.4823,428.1121,6.9325,9,1,58,12,111,30,0.44227196,0.1756325,0.38209553,2,2,2,10,35,9,0,5,1,101,1,3,9,14,1,5,6
8481557,150.6507,35.8404,384.1333,6.1528,30,1,69,14,84,22,0.44899952,0.17095882,0.38004166,6,7,11,10,25,15,1,5,8,74,10,15,12,29,0,15,11
8479337,141.8476,36.4346,405.722,6.3389,32,1,118,12,78,20,0.43496437,0.17782295,0.38721268,3,0,13,10,41,46,0,14,13,68,9,19,7,31,0,7,6
8478550,144.0041,35.219,415.7222,6.2695,51,4,104,15,31,6,0.46039038,0.18014221,0.35946741,1,1,23,1,33,43,0,6,21,30,1,15,13,28,0,1,7
