playerId,topShotSpeed,skatingSpeed,totalDistanceSkated,distanceMaxGame,longShots,longGoals,midShots,midGoals,highShots,highGoals,offensiveZonePctg,neutralZonePctg,defensiveZonePctg,Behind the Net Shots,Beyond Red Line Shots,Center Point Shots,Crease Shots,High Slot Shots,L Circle Shots,L Corner Shots,L Net Side Shots,L Point Shots,Low Slot Shots,Offensive Neutral Zone Shots,Outside L Shots,Outside R Shots,R Circle Shots,R Corner Shots,R Net Side Shots,R Point Shots
8480205,154.9798,37.081,162.9453,4.1697,16,0,28,4,14,2,0.41057389,0.18115307,0.40827304,2,0,5,1,4,13,0,4,2,13,2,4,9,11,0,4,9
8476917,155.5914,34.701,254.7745,5.5735,43,1,7,0,1,0,0.38278235,0.17880457,0.43841308,0,7,13,0,4,3,0,0,27,1,2,9,1,0,0,1,3
8479977,143.3926,35.361,181.6281,4.2546,0,0,18,1,30,6,0.4532475,0.17647475,0.37027774,0,0,0,4,10,4,0,2,0,26,1,4,5,4,0,1,0
8477979,149.0896,37.684,204.1668,5.0884,11,0,27,4,9,1,0.36754059,0.1877492,0.44471021,0,0,3,0,13,5,0,1,3,9,0,5,4,9,0,1,5
8482117,133.9779,35.938,260.6951,5.6947,10,0,23,1,32,4,0.37437206,0.1858011,0.43982684,0,1,4,7,14,5,1,1,6,25,4,10,1,4,0,1,0
8479293,131.5639,38.309,258.524,5.0371,4,0,22,1,26,5,0.36172071,0.1740246,0.46425469,0,4,1,2,5,12,0,4,2,24,3,5,1,5,0,4,1
8480796,150.4737,37.148,285.7221,5.761,32,2,9,1,7,0,0.37951576,0.17604483,0.44443941,0,1,12,0,1,4,0,0,18,7,2,8,2,4,0,0,2
8481568,145.6778,36.345,368.6274,6.5046,30,1,12,1,7,0,0.39584756,0.17880564,0.4253468,0,4,10,0,1,11,0,4,19,7,3,9,2,0,0,0,1
8475842,146.6434,35.792,245.2224,4.9231,11,0,19,2,32,7,0.37582947,0.16766625,0.45650428,2,8,7,3,6,6,0,1,3,29,6,5,7,7,0,1,1
8471677,157.7479,34.882,270.7677,5.017,43,1,12,1,4,0,0.4168765,0.17728482,0.40583867,0,3,12,0,4,5,0,2,24,4,1,8,3,3,0,0,7
8475208,138.307,35.132,301.2108,5.5801,30,2,24,4,3,0,0.42912008,0.1790958,0.39178411,0,4,12,0,7,13,0,0,16,3,1,6,1,4,0,0,2
8473453,132.8513,36.729,246.2403,4.0298,23,0,25,1,30,6,0.38991053,0.17875807,0.4313314,6,10,8,5,6,13,0,1,5,25,10,4,15,6,0,6,10
8476967,152.5819,36.766,294.7309,4.8794,46,1,13,1,6,1,0.42720993,0.18004659,0.39274348,0,6,15,0,1,11,0,1,27,6,1,16,4,1,0,1,4
8478042,146.6595,36.927,72.5979,5.004,8,0,19,2,16,1,0.45931625,0.17590757,0.36477618,0,2,4,2,4,9,0,2,2,14,2,5,4,6,0,1,2
8479423,144.0363,35.507,113.5725,5.7499,14,2,18,4,25,4,0.42184793,0.1756648,0.40248727,1,1,6,2,5,6,1,6,2,23,0,1,4,7,0,1,6
8481533,134.7343,34.726,137.6783,6.3366,10,0,22,3,18,2,0.43659068,0.17933775,0.38407157,1,0,4,0,5,8,1,2,2,18,2,8,5,9,0,4,4
8476873,131.2259,34.047,105.5883,4.3006,5,0,16,2,19,4,0.45117335,0.19270555,0.3561211,0,2,2,3,3,5,0,1,3,16,3,1,1,8,0,0,0
8483505,132.272,34.603,113.1641,4.7504,3,0,12,0,20,5,0.43376015,0.18205256,0.38418729,0,0,0,1,4,4,0,0,3,19,1,0,2,4,0,2,0
8475197,153.1935,32.42,179.2851,5.7924,34,0,13,1,4,0,0.45304087,0.18132691,0.36563222,1,2,21,1,2,4,0,0,4,3,1,2,7,7,0,1,9
8478109,143.634,35.022,149.0234,4.3226,12,0,23,4,13,1,0.41003416,0.18082154,0.4091443,0,0,0,0,8,2,1,1,6,13,1,8,4,13,0,3,6
8481560,153.5314,35.105,159.2919,4.4808,15,0,38,2,20,5,0.42579,0.18103218,0.39317782,1,0,5,1,7,8,0,0,4,19,1,11,6,23,0,9,6
8479368,146.7722,36.949,158.3568,4.5907,7,0,15,0,37,5,0.40520859,0.18336527,0.41142614,2,0,1,5,2,4,0,2,4,32,1,4,5,9,0,3,2
8477839,150.2966,36.085,160.201,3.9547,4,0,15,2,19,2,0.41792219,0.18100576,0.40107206,0,0,2,3,4,8,0,4,1,16,0,2,2,3,0,4,1
8481481,131.934,35.68,189.1739,4.6349,6,0,21,2,24,1,0.39677546,0.18376856,0.41945598,0,4,1,0,4,10,0,4,4,24,3,6,3,7,0,5,1
8474090,149.5563,36.625,227.4259,6.3791,24,2,7,0,8,3,0.38341092,0.18385774,0.43273134,0,13,12,0,2,2,0,1,4,8,3,3,1,3,0,0,8
8477919,146.3216,35.44,243.1595,5.0383,13,0,33,2,13,3,0.40453154,0.1703925,0.42507597,0,3,6,1,3,11,0,4,3,12,3,8,16,19,0,12,4
8476393,124.7724,35.042,226.8844,4.4173,10,0,30,4,28,3,0.45975474,0.17942396,0.3608213,1,1,6,0,9,12,1,6,0,28,5,16,9,9,1,3,4
8470604,157.1042,36.742,229.5219,4.402,9,0,17,1,37,9,0.39447305,0.17034077,0.43518617,0,2,0,4,5,4,0,5,4,33,2,4,11,8,1,2,5
8477330,146.9653,35.072,214.3347,4.6313,12,1,37,4,26,5,0.41269469,0.17422498,0.41308033,0,0,5,2,15,16,0,2,2,24,8,3,3,6,0,0,5
8483466,150.007,35.572,372.7828,6.5014,57,3,9,0,3,2,0.41471181,0.18013309,0.4051551,0,4,16,1,3,6,0,0,33,2,2,16,2,0,0,0,8
8478831,146.9009,34.719,265.1333,4.5494,11,0,19,4,22,5,0.40006615,0.16893084,0.43100301,1,5,5,3,8,6,0,1,2,19,2,4,9,5,0,7,4
8476467,160.0975,35.994,368.0866,6.4183,51,1,15,1,14,0,0.38427675,0.16978519,0.44593806,0,6,8,0,7,5,0,1,40,14,2,12,5,3,0,2,3
8482702,135.3458,35.328,95.9514,5.0369,7,0,10,1,23,4,0.45477964,0.18441535,0.36080501,0,0,4,0,3,4,0,3,0,23,2,0,5,3,0,1,3
8477392,125.1587,35.401,137.3694,4.4364,1,0,8,1,21,3,0.40082056,0.18848329,0.41069615,0,2,0,5,0,6,0,1,1,16,5,2,0,2,0,1,0
8480003,129.0694,36.002,145.7328,4.2516,2,0,19,3,18,3,0.40854311,0.18120006,0.41025683,0,2,1,3,6,8,0,1,0,15,0,1,5,5,0,3,1
8480011,146.1123,35.942,144.5584,4.6073,5,0,19,3,14,5,0.39144385,0.18575209,0.42280406,0,0,1,1,10,5,0,0,3,13,0,3,2,4,0,0,1
8479661,139.7715,36.202,169.7358,4.103,5,0,11,1,31,5,0.41926078,0.18166555,0.39907367,0,0,2,3,2,5,0,1,2,28,1,5,4,4,0,1,1
8480887,136.7621,35.281,226.8934,5.4543,23,1,13,2,1,0,0.40228765,0.17150563,0.42620672,0,1,6,0,1,4,0,0,10,1,0,4,1,8,0,0,7
8477473,144.1328,37.861,165.5131,4.061,18,1,13,2,14,2,0.39188013,0.17896662,0.42915325,2,0,5,0,4,3,0,3,6,14,4,5,8,6,0,3,7
8480727,148.9931,33.785,241.2475,5.3385,32,0,9,1,5,0,0.70663589,0.08950097,0.20386314,0,1,8,1,1,1,0,0,4,4,0,1,2,7,0,1,20
8476878,138.2105,36.819,193.2306,4.6423,7,0,18,3,27,4,0.39879783,0.17631229,0.42488988,0,2,2,1,5,11,1,1,4,26,4,7,3,2,0,3,1
8477220,156.5248,37.171,241.6508,4.7909,41,0,13,2,2,0,0.44134731,0.18204226,0.37661044,0,6,16,0,7,2,0,0,5,2,5,3,3,4,1,1,20
8474567,160.0975,38.554,259.7692,6.0626,58,1,10,1,2,1,0.42010431,0.1758442,0.40405149,0,0,11,0,2,0,0,2,4,2,0,0,10,8,0,1,43
8480001,147.2228,35.519,260.0633,5.5058,37,0,10,0,0,0,0.39285724,0.1776998,0.42944296,0,5,7,0,0,8,0,1,28,0,3,10,0,2,0,1,2
8477435,155.2534,33.536,289.5169,5.6691,53,1,13,1,2,0,0.40549292,0.18164642,0.41286066,1,4,11,0,4,7,0,0,40,2,0,2,2,2,0,0,2
8477845,144.7605,35.72,290.3563,5.3108,37,0,7,0,1,0,0.38304963,0.17752797,0.4394224,0,6,12,0,1,2,0,0,6,1,3,2,17,4,0,2,19
8480879,136.8586,33.934,245.9893,5.6242,35,4,5,0,1,0,0.39209338,0.17775057,0.43015605,0,3,11,0,2,0,0,0,0,1,0,0,7,3,0,0,24
8479390,144.6317,35.374,293.6731,5.2182,13,0,39,1,43,2,0.40728319,0.17066729,0.42204953,0,6,2,7,14,8,0,2,1,36,2,3,11,17,0,1,10
8477070,131.5961,35.245,188.6442,3.5646,8,0,18,2,21,3,0.3770551,0.19133843,0.43160646,1,0,2,4,9,4,0,6,3,17,3,7,5,5,0,3,3
8478443,152.2439,35.291,326.9252,5.3513,48,2,10,1,3,1,0.38480273,0.17949689,0.43570038,0,7,12,1,2,1,0,0,0,2,2,0,8,7,0,1,36
8475324,147.5447,36.678,367.4189,6.2486,44,0,7,0,5,1,0.36024022,0.18008788,0.4596719,0,4,12,0,4,0,0,1,5,5,0,2,7,3,0,1,27
8478468,163.8795,35.721,321.2403,5.1689,47,2,27,2,7,1,0.42475261,0.1839281,0.39131929,0,3,12,2,9,14,0,3,35,5,1,13,2,4,0,0,0
8479996,137.7277,35.274,145.078,4.619,10,0,15,1,37,4,0.45485781,0.18499024,0.36015196,1,2,2,6,6,6,0,3,1,31,0,2,7,3,2,3,7
8482511,137.5828,33.982,157.7717,5.1997,12,0,10,1,3,1,0.43117399,0.17465229,0.39417372,2,0,2,0,3,6,1,1,8,3,1,11,1,1,0,1,2
8477573,144.6317,35.577,124.3532,3.9563,9,0,16,2,12,4,0.39905425,0.17960553,0.42134022,0,2,0,2,4,7,0,0,5,10,0,2,0,5,0,2,4
8482222,131.9179,35.586,191.1766,6.5251,2,0,14,1,33,3,0.42120244,0.17447439,0.40432318,1,0,2,0,5,4,0,3,0,33,2,9,2,5,0,1,0
8482111,140.2221,36.843,206.9976,5.5851,22,0,17,3,9,3,0.42075142,0.17025589,0.4089927,0,3,5,2,4,2,0,0,1,7,0,3,3,11,0,3,16
8476871,145.2111,35.76,168.2393,4.2597,5,0,22,2,27,3,0.39296381,0.16964224,0.43739394,0,1,0,3,4,9,0,2,3,24,4,13,2,9,0,1,2
8479371,150.4737,33.564,211.3708,4.914,39,1,13,2,1,0,0.43918231,0.18743066,0.37338703,0,4,14,1,3,5,0,0,7,0,0,2,6,5,0,0,18
8479383,155.5431,36.065,173.7921,4.1523,9,0,27,2,18,5,0.39956188,0.17238554,0.42805258,1,0,3,3,13,7,0,1,3,15,0,7,7,7,0,0,3
8480192,153.0969,34.384,221.2764,5.0323,25,1,8,2,6,2,0.39094358,0.17429224,0.43476419,0,4,7,0,3,1,0,0,2,6,2,0,1,4,0,0,16
8481477,137.0839,36.322,232.0545,4.5887,7,0,26,1,24,3,0.35371936,0.16808055,0.47820009,0,3,4,2,7,9,0,2,2,22,2,4,1,10,0,0,1
8478416,143.3604,35.194,295.7838,5.5553,30,1,6,1,1,0,0.39381033,0.17667899,0.42951069,0,6,7,0,1,2,0,0,1,1,0,0,10,3,0,0,22
8477488,135.3458,35.24,322.5779,5.4537,53,0,24,2,5,0,0.44894458,0.18773289,0.36332253,0,8,12,0,10,4,0,0,3,5,1,1,14,10,0,1,38
8476372,144.841,34.891,263.551,4.8126,63,0,12,1,1,0,0.42166439,0.18060485,0.39773076,0,6,10,0,4,8,0,3,48,1,1,13,0,0,0,1,5
