assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
96,18,72,0.51279,6,81,29,Thornton,1,61,8466138,31,125,1.5432,C,11,51,20052006,0,2,0.14871,L,195,Joe Thornton,"BOS,SJS",1280.1975
69,30,71,0.16666,9,82,54,Jagr,2,72,8448208,34,123,1.5,R,24,52,20052006,0,0,0.14673,L,368,Jaromir Jagr,NYR,1324.5
54,28,51,0.125,5,81,52,Ovechkin,2,52,8471214,2,106,1.30864,L,21,52,20052006,3,3,0.12235,R,425,Alex Ovechkin,WSH,1297.3086
60,22,49,0.20454,8,77,43,Alfredsson,0,50,8460621,29,103,1.33766,R,16,48,20052006,5,6,0.17269,R,249,Daniel Alfredsson,OTT,1301.4415
53,25,56,0.53614,7,82,50,Heatley,0,86,8468482,29,103,1.25609,L,23,43,20052006,2,4,0.16666,L,300,Dany Heatley,OTT,1269.1097
63,23,53,0.45485,5,81,39,Crosby,3,110,8471675,-1,102,1.25925,C,16,47,20052006,0,2,0.14028,L,278,Sidney Crosby,PIT,1207.6049
55,22,56,0.42551,4,82,45,Staal,0,81,8470595,-8,100,1.21951,C,19,40,20052006,4,4,0.16129,L,279,Eric Staal,CAR,1178.6585
46,25,41,0.40425,7,78,52,Kovalchuk,0,68,8469454,-6,98,1.25641,L,27,56,20052006,0,1,0.16099,R,323,Ilya Kovalchuk,ATL,1331.2564
69,13,44,0.51602,4,82,28,Savard,2,100,8462118,7,97,1.18292,C,14,50,20052006,1,3,0.13207,L,212,Marc Savard,ATL,1230.4878
37,30,50,0.2,11,82,56,Cheechoo,0,58,8467357,23,93,1.13414,R,24,41,20052006,2,2,0.17665,R,317,Jonathan Cheechoo,SJS,1197.439
53,18,45,0.26666,7,80,39,Hossa,1,67,8466148,17,92,1.15,R,14,39,20052006,7,8,0.11436,L,341,Marian Hossa,ATL,1301.425
68,12,40,0.50232,0,82,23,Richards,0,32,8467389,0,91,1.10975,C,7,46,20052006,4,5,0.08156,L,282,Brad Richards,TBL,1365.1341
71,12,49,0.52622,5,68,19,Spezza,1,33,8469455,23,90,1.32352,C,7,41,20052006,0,0,0.12179,R,156,Jason Spezza,OTT,1140.1911
50,22,50,0.41626,5,80,40,Selanne,0,44,8457981,28,90,1.125,R,18,40,20052006,0,0,0.14981,R,267,Teemu Selanne,ANA,1067.8
51,23,51,0.4691,9,82,38,Jokinen,4,88,8466140,14,89,1.08536,C,14,37,20052006,1,1,0.10826,L,351,Olli Jokinen,FLA,1229.1341
41,23,54,0.38356,10,82,48,Gionta,3,46,8467407,18,89,1.08536,R,24,34,20052006,1,1,0.16494,R,291,Brian Gionta,NJD,1189.2317
59,17,48,0.53068,4,75,28,Datsyuk,1,22,8467514,26,87,1.16,C,11,39,20052006,0,0,0.1931,L,145,Pavel Datsyuk,DET,1073.4266
55,22,53,0.52486,6,82,32,Sakic,1,60,8451101,10,87,1.06097,C,10,34,20052006,0,0,0.12167,L,263,Joe Sakic,COL,1194.9024
52,13,41,0.46792,4,82,34,Marleau,2,26,8466139,-12,86,1.04878,C,20,44,20052006,1,1,0.13076,L,260,Patrick Marleau,SJS,1195.5487
46,21,49,0.50257,9,77,39,Zetterberg,0,30,8468083,29,85,1.10389,C,17,35,20052006,1,1,0.14444,L,270,Henrik Zetterberg,DET,1137.2727
54,17,39,0.11111,3,82,31,Kariya,1,40,8459426,-6,85,1.03658,L,14,46,20052006,0,0,0.12653,L,245,Paul Kariya,NSH,1144.8658
