assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
84,29,75,0.5,9,78,37,Kucherov,1,45,8476453,22,121,1.55128,R,8,46,20242025,0,0,0.13962,L,265,Nikita Kucherov,TBL,1271.3717
84,23,78,0.49933,5,79,32,MacKinnon,1,41,8477492,25,116,1.46835,C,9,38,20242025,0,0,0.1,R,320,Nathan MacKinnon,COL,1366.9493
54,36,73,0.54347,11,71,52,Draisaitl,6,34,8477934,32,106,1.49295,C,16,33,20242025,0,0,0.21666,L,240,Leon Draisaitl,EDM,1291.0422
63,34,83,0.375,4,82,43,Pastrnak,3,42,8477956,0,106,1.29268,R,9,23,20242025,0,0,0.13479,R,319,David Pastrnak,BOS,1211.1707
75,20,67,0.29411,7,81,27,Marner,3,14,8478483,18,102,1.25925,R,6,33,20242025,1,2,0.15606,R,173,Mitch Marner,TOR,1278.9259
74,17,69,0.4768,3,67,26,McDavid,0,37,8478402,20,100,1.49253,C,9,31,20242025,0,0,0.13265,L,196,Connor McDavid,EDM,1321.8805
56,30,67,0.125,8,82,41,Connor,2,25,8478398,17,97,1.18292,L,9,28,20242025,2,2,0.15355,L,267,Kyle Connor,WPG,1223.6829
66,22,58,0.45614,3,77,28,Eichel,0,8,8478403,32,94,1.22077,C,5,34,20242025,1,2,0.12017,R,233,Jack Eichel,VGK,1232.0129
62,16,54,,4,80,30,Makar,1,14,8480069,28,92,1.15,D,12,35,20242025,2,3,0.12195,R,246,Cale Makar,COL,1542.975
58,21,64,0.57014,10,80,33,Crosby,4,31,8471675,-20,91,1.1375,C,12,27,20242025,0,0,0.14537,L,227,Sidney Crosby,PIT,1222.475
60,20,53,0.33333,5,81,30,Keller,1,28,8479343,-12,90,1.11111,R,10,37,20242025,0,0,0.13761,L,218,Clayton Keller,UTA,1147.0864
55,32,72,0.34782,4,82,35,Hagel,0,58,8479542,33,90,1.09756,L,0,11,20242025,3,7,0.1535,L,228,Brandon Hagel,TBL,1244.5975
52,29,63,0.0,3,80,37,Panarin,0,16,8478550,-9,89,1.1125,L,8,26,20242025,0,0,0.15611,R,237,Artemi Panarin,NYR,1180.9875
59,24,60,0.51593,9,82,30,Suzuki,5,8,8480018,19,89,1.08536,C,4,27,20242025,2,2,0.17441,R,172,Nick Suzuki,MTL,1203.6341
67,15,50,0.0,2,81,21,Bratt,0,18,8479407,5,88,1.08641,L,4,34,20242025,2,4,0.11666,L,180,Jesper Bratt,NJD,1136.8888
