assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
78,19,70,0.42365,4,82,35,Malkin,2,80,8471215,17,113,1.37804,C,14,41,20082009,2,2,0.12068,L,290,Evgeni Malkin,PIT,1351.0243
54,36,63,0.25,10,79,56,Ovechkin,2,72,8471214,8,110,1.3924,L,19,46,20082009,1,1,0.10606,R,528,Alex Ovechkin,WSH,1380.2784
70,26,62,0.51331,3,77,33,Crosby,1,76,8471675,3,103,1.33766,C,7,40,20082009,0,1,0.13865,L,238,Sidney Crosby,PIT,1316.5324
65,20,59,0.56035,3,81,32,Datsyuk,0,22,8467514,34,97,1.19753,C,11,36,20082009,1,2,0.12903,L,248,Pavel Datsyuk,DET,1152.7777
49,31,61,0.44628,8,82,45,Parise,3,24,8470610,30,94,1.14634,L,14,30,20082009,0,3,0.12362,L,364,Zach Parise,NJD,1125.439
48,31,54,0.35714,6,79,43,Kovalchuk,1,50,8469454,-12,91,1.15189,L,12,36,20082009,0,1,0.15636,R,275,Ilya Kovalchuk,ATL,1308.3544
66,16,54,0.50177,2,81,25,Getzlaf,0,121,8470612,5,91,1.12345,C,9,37,20082009,0,0,0.11013,R,227,Ryan Getzlaf,ANA,1207.8271
54,25,57,0.52495,4,82,35,Iginla,0,37,8462042,-2,89,1.08536,R,10,32,20082009,0,0,0.1211,R,289,Jarome Iginla,CGY,1296.7682
63,16,56,0.49883,5,82,25,Savard,0,70,8462118,25,88,1.07317,C,9,30,20082009,0,2,0.11737,L,213,Marc Savard,BOS,1172.1097
66,8,46,0.48676,1,82,22,Backstrom,0,46,8473563,16,88,1.07317,C,14,42,20082009,0,0,0.12643,L,174,Nicklas Backstrom,WSH,1196.6219
61,14,51,0.55444,3,82,25,Thornton,1,56,8466138,16,86,1.04878,C,11,35,20082009,0,0,0.17985,L,139,Joe Thornton,SJS,1167.7439
38,29,56,0.48289,12,82,46,Carter,3,68,8470604,23,84,1.02439,C,13,24,20082009,4,4,0.1345,R,342,Jeff Carter,PHI,1257.2804
43,20,48,0.60326,6,81,39,Cammalleri,1,44,8469500,-2,82,1.01234,L,19,34,20082009,0,0,0.15294,L,255,Michael Cammalleri,CGY,1053.3827
51,22,58,0.4,7,82,31,Sedin,0,36,8467875,24,82,1.0,L,9,24,20082009,0,0,0.10877,L,285,Daniel Sedin,VAN,1127.5975
60,18,56,0.49633,8,82,22,Sedin,2,48,8467876,22,82,1.0,C,4,26,20082009,0,0,0.15384,L,143,Henrik Sedin,VAN,1171.4878
50,15,38,0.48975,4,79,30,Richards,2,63,8470617,22,80,1.01265,C,8,33,20082009,7,9,0.12605,L,238,Mike Richards,PHI,1304.0126
50,21,52,0.46666,3,82,30,St. Louis,1,14,8466378,4,80,0.9756,R,7,25,20082009,2,3,0.1145,L,262,Martin St. Louis,TBL,1277.1585
45,26,47,0.5,8,62,34,Semin,2,77,8470120,25,79,1.27419,R,8,30,20082009,0,2,0.15246,R,223,Alexander Semin,WSH,1154.4677
39,29,54,0.27777,5,78,40,Nash,2,52,8470041,11,79,1.01282,L,6,19,20082009,5,6,0.15209,L,263,Rick Nash,CBJ,1269.5
47,17,42,0.29885,6,77,31,Elias,1,32,8460542,18,78,1.01298,C,12,31,20082009,2,5,0.1255,L,247,Patrik Elias,NJD,1114.4285
56,15,55,0.45483,1,82,22,Ribeiro,0,52,8467371,-4,78,0.95121,C,7,23,20082009,0,0,0.13496,L,163,Mike Ribeiro,DAL,1257.0853
48,24,63,0.25,5,81,29,Havlat,2,30,8467899,29,77,0.95061,R,5,14,20082009,0,0,0.11646,L,249,Martin Havlat,CHI,1044.5802
53,17,47,0.5,2,82,24,Whitney,1,32,8458537,2,77,0.93902,L,7,30,20082009,0,0,0.10958,R,219,Ray Whitney,CAR,1104.6219
50,14,33,0.375,3,82,26,Kozlov,0,44,8456887,-14,76,0.92682,L,12,43,20082009,0,0,0.15757,L,165,Vyacheslav Kozlov,ATL,1034.1463
35,25,49,0.45271,8,82,40,Staal,1,50,8470595,15,75,0.91463,C,14,24,20082009,1,2,0.10752,L,372,Eric Staal,CAR,1262.7926
50,15,42,0.23529,3,79,24,Alfredsson,0,24,8460621,7,74,0.9367,R,8,28,20082009,1,4,0.11764,R,204,Daniel Alfredsson,OTT,1252.6075
40,18,41,0.3,3,79,34,Gagne,0,42,8467346,21,74,0.9367,L,12,25,20082009,4,8,0.15384,L,221,Simon Gagne,PHI,1141.4303
42,12,34,,4,68,31,Green,0,68,8471242,24,73,1.07352,D,18,38,20082009,1,1,0.12757,R,243,Mike Green,WSH,1545.8382
42,17,41,0.53322,5,77,31,Zetterberg,0,36,8468083,13,73,0.94805,C,12,30,20082009,2,2,0.10032,L,309,Henrik Zetterberg,DET,1192.6883
42,21,46,0.44198,4,82,31,Doan,0,72,8462038,5,73,0.89024,R,10,25,20082009,0,2,0.13478,R,230,Shane Doan,PHX,1214.5
51,9,38,0.50639,0,82,22,White,0,24,8466392,-9,73,0.89024,C,12,34,20082009,1,1,0.14666,L,150,Todd White,ATL,1083.5243
41,18,41,0.53283,3,82,32,Spezza,0,79,8469455,-14,73,0.89024,C,13,31,20082009,1,1,0.13008,R,246,Jason Spezza,OTT,1181.3658
51,15,50,0.50286,6,82,22,Krejci,1,26,8471276,37,73,0.89024,C,5,19,20082009,2,4,0.15068,R,146,David Krejci,BOS,1011.5
