assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
54,32,67,0.22222,5,63,42,Jagr,1,50,8448208,25,96,1.5238,R,10,29,19992000,0,0,0.14482,L,290,Jaromir Jagr,PIT,1362.9523
36,45,72,0.0,14,74,58,Bure,1,16,8455738,25,94,1.27027,R,11,20,19992000,2,2,0.16111,L,360,Pavel Bure,FLA,1413.3108
63,20,50,0.49575,5,82,28,Recchi,1,50,8450725,20,91,1.10975,R,7,39,19992000,1,2,0.12556,L,223,Mark Recchi,PHI,1303.4146
44,28,52,0.39393,3,74,42,Kariya,0,24,8459426,22,86,1.16216,L,11,31,19992000,3,3,0.12962,L,324,Paul Kariya,ANA,1449.1756
52,25,54,0.23076,6,79,33,Selanne,1,12,8457981,6,85,1.07594,R,8,31,19992000,0,0,0.13983,R,236,Teemu Selanne,ANA,1363.6329
40,22,43,0.507,6,78,44,Nolan,0,110,8449895,-1,84,1.07692,R,18,33,19992000,4,8,0.16858,R,261,Owen Nolan,SJS,1255.3333
41,27,59,0.22727,2,82,43,Amonte,0,48,8455429,10,84,1.02439,R,11,19,19992000,5,6,0.16538,L,260,Tony Amonte,CHI,1313.6463
53,22,58,0.53807,5,60,28,Sakic,1,28,8451101,30,81,1.35,C,5,22,19992000,1,1,0.1157,L,242,Joe Sakic,COL,1395.9666
43,26,49,0.51389,8,77,38,Modano,0,48,8449645,0,81,1.05194,C,11,27,19992000,1,5,0.20212,L,188,Mike Modano,DAL,1362.4155
44,18,46,0.56798,6,78,35,Yzerman,0,34,8452578,28,79,1.01282,C,15,29,19992000,2,4,0.14957,R,234,Steve Yzerman,DET,1266.5384
44,25,55,0.50054,12,75,34,Roenick,1,102,8450978,11,78,1.04,C,6,19,19992000,3,4,0.17708,R,192,Jeremy Roenick,PHX,1240.1733
37,27,46,0.5,9,78,41,Shanahan,1,105,8451302,24,78,1.0,L,13,29,19992000,1,3,0.14487,R,283,Brendan Shanahan,DET,1114.5897
37,27,53,0.28571,7,82,40,LeClair,1,36,8448622,8,77,0.93902,L,13,24,19992000,0,0,0.16064,L,249,John LeClair,PHI,1217.5
47,20,52,0.39024,4,71,28,Demitra,2,8,8459648,34,75,1.05633,R,8,23,19992000,0,0,0.11618,L,241,Pavol Demitra,STL,1153.4084
