assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
69,37,78,0.0,10,81,52,Jagr,0,42,8448208,19,121,1.49382,R,14,41,20002001,1,2,0.16403,L,317,Jaromir Jagr,PIT,1398.5432
64,32,66,0.52966,12,82,54,Sakic,2,30,8451101,45,118,1.43902,C,19,46,20002001,3,6,0.16265,L,332,Joe Sakic,COL,1381.0731
56,29,64,0.4129,6,82,40,Elias,3,51,8460542,45,96,1.17073,C,8,29,20002001,3,3,0.18181,L,220,Patrik Elias,NJD,1123.5121
51,30,55,0.4,9,79,44,Kovalev,2,96,8458529,12,95,1.20253,R,12,37,20002001,2,3,0.14332,L,307,Alex Kovalev,PIT,1403.1898
68,19,53,0.43202,4,82,27,Straka,0,38,8458955,19,95,1.15853,C,7,40,20002001,1,2,0.14594,L,185,Martin Straka,PIT,1381.3292
59,22,47,0.51924,6,82,36,Allison,0,85,8459439,-8,95,1.15853,C,11,44,20002001,3,4,0.19459,R,185,Jason Allison,BOS,1379.4756
33,35,59,0.2,8,82,59,Bure,2,58,8455738,-2,92,1.12195,R,19,28,20002001,5,5,0.15364,L,384,Pavel Bure,FLA,1394.4878
65,17,50,0.51321,3,82,25,Weight,2,91,8458361,12,90,1.09756,C,8,40,20002001,0,0,0.13297,L,188,Doug Weight,EDM,1316.3048
62,13,47,0.46622,5,73,27,Forsberg,2,54,8458520,23,89,1.21917,C,12,36,20002001,2,6,0.15168,L,178,Peter Forsberg,COL,1247.5479
51,22,45,0.8,8,73,38,Palffy,1,20,8458540,22,89,1.21917,R,12,40,20002001,4,4,0.17511,L,217,Ziggy Palffy,LAK,1186.1506
51,20,42,0.33333,4,82,37,Robitaille,0,66,8450941,10,88,1.07317,L,16,45,20002001,1,1,0.15744,L,235,Luc Robitaille,LAK,1122.3658
48,25,56,0.4314,10,82,40,Yashin,1,30,8458939,10,88,1.07317,C,13,30,20002001,2,2,0.15209,R,263,Alexei Yashin,OTT,1223.6463
45,28,56,0.41666,5,85,40,Guerin,0,140,8456464,7,85,1.0,R,11,28,20002001,1,1,0.1384,R,289,Bill Guerin,"EDM,BOS",1309.3529
51,22,56,0.51982,7,81,33,Modano,1,52,8449645,26,84,1.03703,C,8,25,20002001,3,3,0.15865,L,208,Mike Modano,DAL,1344.1481
40,31,54,0.36363,7,75,43,Mogilny,0,43,8449654,10,83,1.10666,R,12,29,20002001,0,0,0.17916,L,240,Alexander Mogilny,NJD,1012.9333
52,19,51,0.49649,6,79,30,Turgeon,2,37,8451991,14,82,1.03797,C,11,31,20002001,0,0,0.17543,L,171,Pierre Turgeon,STL,1129.7594
69,8,38,0.58877,4,81,13,Oates,1,28,8449951,-9,82,1.01234,C,5,42,20002001,0,2,0.18055,R,72,Adam Oates,WSH,1259.9012
46,24,54,0.33333,3,73,35,Sykora,0,32,8460465,36,81,1.10958,R,9,24,20002001,2,3,0.14056,L,249,Petr Sykora,NJD,1064.2328
36,19,43,0.5,8,82,45,Bondra,0,60,8445575,8,81,0.9878,R,22,33,20002001,4,5,0.14754,L,305,Peter Bondra,WSH,1247.7926
48,22,55,0.43916,2,82,32,Lang,0,28,8456966,20,80,0.9756,C,10,25,20002001,0,0,0.18079,R,177,Robert Lang,PIT,1224.1829
45,19,47,0.5,3,76,34,Audette,0,76,8445176,-2,79,1.03947,R,14,31,20002001,1,1,0.15111,R,225,Donald Audette,"ATL,BUF",1190.4342
44,18,48,0.52114,5,76,35,Tkachuk,0,122,8458229,3,79,1.03947,L,17,30,20002001,0,1,0.12915,L,271,Keith Tkachuk,"PHX,STL",1205.5657
40,28,46,0.3,8,79,39,Hull,1,18,8448091,10,79,1.0,R,11,33,20002001,0,0,0.17808,R,219,Brett Hull,DAL,1073.2151
38,28,49,0.33333,9,80,41,Hejduk,2,36,8460577,32,79,0.9875,R,12,27,20002001,1,3,0.19248,R,213,Milan Hejduk,COL,1191.75
58,10,37,,3,82,21,Leetch,1,34,8448769,-18,79,0.96341,D,10,37,20002001,1,5,0.08713,L,241,Brian Leetch,NYR,1526.7195
46,22,56,0.49666,5,79,32,Nedved,0,54,8449807,10,78,0.98734,C,9,21,20002001,1,1,0.13913,L,230,Petr Nedved,NYR,1216.443
50,19,51,0.42753,8,69,27,Recchi,1,33,8450725,15,77,1.11594,R,7,24,20002001,1,2,0.14136,L,191,Mark Recchi,PHI,1299.7246
50,19,58,0.43333,3,82,27,Tanguay,0,37,8467338,35,77,0.93902,L,7,18,20002001,1,1,0.2,L,135,Alex Tanguay,COL,1071.0
41,18,43,0.52112,5,43,35,Lemieux,1,18,8448782,15,76,1.76744,C,16,32,20002001,1,1,0.20467,R,171,Mario Lemieux,PIT,1439.0232
