assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
68,25,66,0.52517,5,80,36,Crosby,1,46,8471675,18,104,1.3,C,11,38,20132014,0,0,0.13899,L,259,Sidney Crosby,PIT,1318.3375
56,26,64,0.49043,7,77,31,Getzlaf,1,31,8470612,28,87,1.12987,C,5,23,20132014,0,0,0.15196,R,204,Ryan Getzlaf,ANA,1277.1168
58,21,49,0.52897,7,82,28,Giroux,1,46,8473512,7,86,1.04878,R,7,37,20132014,0,0,0.12556,R,223,Claude Giroux,PHI,1226.0731
47,26,59,0.41506,8,80,37,Seguin,0,18,8475794,16,84,1.05,C,11,25,20132014,0,0,0.12585,R,294,Tyler Seguin,DAL,1160.8625
39,35,64,0.36,9,81,43,Perry,1,65,8470621,32,82,1.01234,R,8,18,20132014,0,0,0.15357,R,280,Corey Perry,ANA,1168.8765
53,20,62,0.45679,1,75,27,Hall,1,44,8475791,-15,80,1.06666,L,7,17,20132014,0,1,0.108,L,250,Taylor Hall,EDM,1200.8266
43,29,60,0.14285,6,82,37,Kessel,0,27,8473548,-5,80,0.9756,R,8,20,20132014,0,0,0.12131,R,305,Phil Kessel,TOR,1239.9756
28,27,39,0.66666,10,78,51,Ovechkin,3,48,8471214,-35,79,1.01282,L,24,39,20132014,0,1,0.13212,R,386,Alex Ovechkin,WSH,1232.7179
45,28,57,0.52827,3,81,34,Benn,1,64,8473994,21,79,0.9753,L,5,19,20132014,1,3,0.12186,L,279,Jamie Benn,DAL,1149.1358
38,24,46,0.5597,3,82,41,Pavelski,0,32,8470794,23,79,0.96341,C,16,31,20132014,1,2,0.18222,R,225,Joe Pavelski,SJS,1191.0121
61,11,34,0.50459,1,82,18,Backstrom,0,54,8473563,-20,79,0.96341,C,6,44,20132014,1,1,0.09183,L,196,Nicklas Backstrom,WSH,1188.1219
44,24,53,0.54605,3,82,34,Sharp,1,40,8469544,13,78,0.95121,L,10,25,20132014,0,0,0.10862,R,313,Patrick Sharp,CHI,1133.1951
65,9,56,0.56141,3,82,11,Thornton,1,32,8466138,20,76,0.92682,C,2,19,20132014,0,1,0.09016,L,122,Joe Thornton,SJS,1135.8658
54,15,43,,1,82,20,Karlsson,0,36,8474578,-15,74,0.90243,D,5,31,20132014,0,0,0.07782,R,257,Erik Karlsson,OTT,1624.378
49,16,42,0.48792,3,60,23,Malkin,0,62,8471215,10,72,1.2,C,7,30,20132014,0,0,0.12041,L,191,Evgeni Malkin,PIT,1203.75
47,18,53,0.50283,6,71,23,Duchene,1,19,8475168,8,70,0.98591,C,5,17,20132014,0,0,0.10599,L,217,Matt Duchene,COL,1109.8028
37,20,45,0.52922,4,82,33,Marleau,0,18,8466139,0,70,0.85365,C,11,23,20132014,2,2,0.11578,L,285,Patrick Marleau,SJS,1231.317
41,19,47,0.53273,9,82,29,Kopitar,2,24,8471685,34,70,0.85365,C,10,23,20132014,0,0,0.145,L,200,Anze Kopitar,LAK,1253.2317
40,19,44,0.5,6,69,29,Kane,0,22,8474141,7,69,1.0,R,10,25,20132014,0,0,0.12775,L,227,Patrick Kane,CHI,1176.6086
