assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
63,23,62,0.23529,10,82,41,Sedin,0,32,8467875,30,104,1.26829,L,18,42,20102011,0,0,0.15413,L,266,Daniel Sedin,VAN,1113.1829
68,27,58,0.38167,7,82,31,St. Louis,1,12,8466378,0,99,1.20731,R,4,41,20102011,0,0,0.12204,L,254,Martin St. Louis,TBL,1258.7926
48,32,62,0.40909,11,82,50,Perry,2,104,8470621,9,98,1.19512,R,14,31,20102011,4,5,0.17241,R,290,Corey Perry,ANA,1338.7804
75,11,59,0.51982,4,82,19,Sedin,0,40,8467876,26,94,1.14634,C,8,35,20102011,0,0,0.12101,L,157,Henrik Sedin,VAN,1155.5731
46,28,55,0.46494,8,82,45,Stamkos,1,74,8474564,3,91,1.10975,C,17,36,20102011,0,0,0.16544,R,272,Steven Stamkos,TBL,1211.6585
43,29,56,0.54047,6,82,43,Iginla,1,40,8462042,0,86,1.04878,R,14,30,20102011,0,0,0.14878,R,289,Jarome Iginla,CGY,1256.1463
53,25,61,0.33333,11,79,32,Ovechkin,3,41,8471214,24,85,1.07594,L,7,24,20102011,0,0,0.08719,R,367,Alex Ovechkin,WSH,1281.962
49,15,46,0.44495,5,73,31,Selanne,0,49,8457981,6,80,1.09589,R,16,34,20102011,0,0,0.14553,R,213,Teemu Selanne,ANA,1076.3287
56,14,49,0.52439,3,80,24,Zetterberg,2,40,8468083,-1,80,1.0,C,10,30,20102011,0,1,0.07843,L,306,Henrik Zetterberg,DET,1175.025
49,21,48,0.50606,3,72,28,Richards,0,24,8467389,1,77,1.06944,C,7,29,20102011,0,0,0.10294,L,272,Brad Richards,DAL,1303.4722
57,12,49,0.45815,4,67,19,Getzlaf,2,35,8470612,14,76,1.13432,C,7,27,20102011,0,0,0.16239,R,117,Ryan Getzlaf,ANA,1311.1791
44,21,49,0.56684,8,80,32,Toews,1,26,8473604,25,76,0.95,C,10,25,20102011,1,2,0.13733,L,233,Jonathan Toews,CHI,1245.85
43,18,44,0.47972,8,81,33,Staal,0,72,8470595,-10,76,0.93827,C,12,29,20102011,3,3,0.11148,L,296,Eric Staal,CAR,1316.3703
51,14,50,0.50045,5,82,25,Giroux,0,47,8473512,20,76,0.92682,R,8,19,20102011,3,7,0.14792,R,169,Claude Giroux,PHI,1163.8658
46,22,49,0.14285,2,73,27,Kane,0,28,8474141,7,73,1.0,R,5,24,20102011,0,0,0.125,L,216,Patrick Kane,CHI,1157.0821
48,18,54,0.49913,6,75,25,Kopitar,1,20,8471685,25,73,0.97333,C,6,18,20102011,1,1,0.10729,L,233,Anze Kopitar,LAK,1295.24
46,16,45,0.25,6,79,27,Eriksson,2,8,8470626,10,73,0.92405,L,10,25,20102011,1,3,0.15083,L,179,Loui Eriksson,DAL,1234.1392
41,21,45,0.30769,5,80,32,Vanek,2,24,8470598,2,73,0.9125,L,11,28,20102011,0,0,0.13445,R,238,Thomas Vanek,BUF,1041.2125
36,24,44,0.52459,9,82,37,Marleau,3,16,8466139,-3,73,0.89024,C,11,26,20102011,2,3,0.13261,L,279,Patrick Marleau,SJS,1247.3902
32,23,39,0.57419,7,82,41,Kesler,1,66,8470616,24,73,0.89024,C,15,30,20102011,3,4,0.15769,R,260,Ryan Kesler,VAN,1229.6707
37,20,42,0.48031,6,74,34,Sharp,1,38,8469544,-1,71,0.95945,L,12,26,20102011,2,3,0.12686,R,268,Patrick Sharp,CHI,1164.7702
52,12,48,0.46578,4,82,19,Ribeiro,1,28,8467371,-4,71,0.86585,C,7,23,20102011,0,0,0.11801,L,161,Mike Ribeiro,DAL,1197.5121
