assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
52,23,59,0.51736,6,82,35,Benn,0,64,8473994,1,87,1.06097,L,10,23,20142015,2,5,0.13833,L,253,Jamie Benn,DAL,1196.878
48,25,54,0.52219,8,82,38,Tavares,4,46,8475166,5,86,1.04878,C,13,31,20142015,0,1,0.13669,L,278,John Tavares,NYI,1240.3902
56,18,53,0.49906,3,77,28,Crosby,1,47,8471675,5,84,1.0909,C,10,31,20142015,0,0,0.11814,L,237,Sidney Crosby,PIT,1198.2467
28,28,47,0.4,11,81,53,Ovechkin,0,58,8471214,10,81,1.0,L,25,34,20142015,0,0,0.13417,R,395,Alex Ovechkin,WSH,1219.5555
59,11,48,0.66666,3,82,22,Voracek,2,78,8474161,1,81,0.9878,R,11,33,20142015,0,0,0.09954,L,221,Jakub Voracek,PHI,1115.5853
60,15,45,0.53573,3,82,18,Backstrom,1,40,8473563,5,78,0.95121,C,3,33,20142015,0,0,0.11764,L,153,Nicklas Backstrom,WSH,1231.8048
40,24,48,0.53816,5,71,37,Seguin,0,22,8475794,-1,77,1.0845,C,13,29,20142015,0,0,0.13214,R,280,Tyler Seguin,DAL,1173.0704
45,25,60,0.45652,5,78,31,Hudler,1,14,8470201,17,76,0.97435,R,6,16,20142015,0,0,0.1962,L,158,Jiri Hudler,CGY,1080.5641
56,16,51,0.4,5,82,20,Sedin,3,18,8467875,5,76,0.92682,L,4,25,20142015,0,0,0.08849,L,226,Daniel Sedin,VAN,1101.4146
36,29,55,0.0,6,77,37,Tarasenko,2,31,8475765,27,73,0.94805,R,8,18,20142015,0,0,0.14015,L,264,Vladimir Tarasenko,STL,1057.4805
42,20,47,0.47528,3,79,31,Foligno,1,50,8473422,16,73,0.92405,L,11,26,20142015,0,0,0.17032,L,182,Nick Foligno,CBJ,1129.7848
48,11,36,0.56602,4,81,25,Giroux,2,36,8473512,-3,73,0.90123,R,14,37,20142015,0,0,0.0896,R,279,Claude Giroux,PHI,1233.9012
55,13,48,0.44984,0,82,18,Sedin,0,22,8467876,11,73,0.89024,C,5,25,20142015,0,0,0.17821,L,101,Henrik Sedin,VAN,1116.7073
43,21,55,0.48685,6,77,29,Johnson,2,24,8474870,33,72,0.93506,C,8,17,20142015,0,0,0.14285,R,203,Tyler Johnson,TBL,1034.2987
29,30,47,0.49734,6,82,43,Stamkos,0,49,8474564,2,72,0.87804,C,13,25,20142015,0,0,0.16044,R,268,Steven Stamkos,TBL,1162.0609
45,17,43,0.51953,0,82,26,Johansen,0,40,8475793,-6,71,0.86585,C,7,26,20142015,2,2,0.12871,R,202,Ryan Johansen,CBJ,1170.1341
42,19,44,0.42649,4,69,28,Malkin,1,60,8471215,-2,70,1.01449,C,9,26,20142015,0,0,0.13207,L,212,Evgeni Malkin,PIT,1138.4637
45,22,55,0.506,6,77,25,Getzlaf,2,62,8470612,15,70,0.90909,C,3,13,20142015,0,2,0.13089,R,191,Ryan Getzlaf,ANA,1205.935
33,18,39,0.55972,5,82,37,Pavelski,0,29,8470794,12,70,0.85365,C,19,31,20142015,0,0,0.14176,R,261,Joe Pavelski,SJS,1207.5
27,32,52,0.5,8,79,42,Nash,0,36,8470041,29,69,0.87341,L,6,12,20142015,4,5,0.13815,L,304,Rick Nash,NYR,1047.1772
30,27,51,0.22222,10,80,37,Pacioretty,2,32,8474157,38,67,0.8375,L,7,11,20142015,3,5,0.12251,L,302,Max Pacioretty,MTL,1163.6375
40,19,41,0.48181,4,82,27,Couture,0,12,8474053,-6,67,0.81707,C,6,24,20142015,2,2,0.10266,L,263,Logan Couture,SJS,1144.3414
49,13,38,0.50845,3,77,17,Zetterberg,1,32,8468083,-6,66,0.85714,C,4,28,20142015,0,0,0.07488,L,227,Henrik Zetterberg,DET,1146.6623
38,20,46,0.56537,7,81,28,Toews,1,36,8473604,30,66,0.81481,C,6,17,20142015,2,3,0.14583,L,192,Jonathan Toews,CHI,1173.7777
45,15,36,,3,82,21,Karlsson,1,42,8474578,7,66,0.80487,D,6,30,20142015,0,0,0.07191,R,292,Erik Karlsson,OTT,1635.3048
39,18,41,0.53565,5,63,26,Datsyuk,1,8,8467514,12,65,1.03174,C,8,24,20142015,0,0,0.15757,L,165,Pavel Datsyuk,DET,1143.0793
49,12,43,0.5801,0,78,16,Thornton,0,30,8466138,-4,65,0.83333,C,4,22,20142015,0,0,0.12213,L,131,Joe Thornton,SJS,1105.4487
36,27,50,0.0,2,82,29,Kucherov,0,37,8476453,38,65,0.79268,R,2,15,20142015,0,0,0.15183,L,191,Nikita Kucherov,TBL,897.0609
37,21,42,0.42857,5,61,27,Kane,0,10,8474141,10,64,1.04918,R,6,22,20142015,0,0,0.14516,L,186,Patrick Kane,CHI,1191.0491
40,16,40,0.50346,5,74,24,Steen,1,33,8470257,8,64,0.86486,L,8,24,20142015,0,0,0.10762,L,223,Alexander Steen,STL,1198.8378
48,10,40,0.52587,4,79,16,Kopitar,0,10,8471685,-2,64,0.81012,C,6,24,20142015,0,0,0.1194,L,134,Anze Kopitar,LAK,1163.405
38,20,50,0.38888,6,80,26,Stone,2,14,8475913,21,64,0.8,R,5,13,20142015,1,1,0.1656,R,157,Mark Stone,OTT,1021.275
40,16,43,0.375,4,80,24,Gaudreau,0,14,8476346,11,64,0.8,L,8,21,20142015,0,0,0.14371,L,167,Johnny Gaudreau,CGY,1063.0125
40,19,47,0.50067,6,82,24,Turris,1,36,8474068,5,64,0.78048,C,4,16,20142015,1,1,0.11162,R,215,Kyle Turris,OTT,1152.9756
35,20,45,0.46575,4,75,28,Schwartz,1,16,8475768,13,63,0.84,L,8,16,20142015,0,2,0.15217,L,184,Jaden Schwartz,STL,1094.76
47,12,50,0.28571,5,75,16,Palat,1,24,8476292,31,63,0.84,L,3,11,20142015,1,2,0.1151,L,139,Ondrej Palat,TBL,1045.88
32,19,40,0.55555,7,79,31,Vrbata,0,20,8468085,6,63,0.79746,R,12,23,20142015,0,0,0.1161,R,267,Radim Vrbata,VAN,996.7088
39,18,42,0.16666,2,81,24,Eberle,0,24,8474586,-16,63,0.77777,R,6,21,20142015,0,0,0.13114,R,183,Jordan Eberle,EDM,1142.5308
37,20,44,0.42857,6,82,26,Forsberg,2,24,8476887,15,63,0.76829,L,6,19,20142015,0,0,0.1097,R,237,Filip Forsberg,NSH,1039.8536
29,22,46,0.16666,3,74,33,Parise,0,41,8470610,21,62,0.83783,L,11,16,20142015,0,0,0.12741,L,259,Zach Parise,MIN,1151.3108
38,15,42,0.35,6,81,24,Ladd,1,72,8471217,9,62,0.76543,L,9,19,20142015,0,1,0.10714,L,224,Andrew Ladd,WPG,1204.3456
31,20,41,0.49289,8,81,31,Monahan,3,12,8477497,8,62,0.76543,C,10,19,20142015,1,2,0.1623,L,191,Sean Monahan,CGY,1177.2839
47,14,50,0.43175,3,82,15,Ribeiro,0,62,8467371,11,62,0.75609,C,1,12,20142015,0,0,0.15625,L,96,Mike Ribeiro,NSH,1124.7804
45,13,36,0.54041,1,82,17,Spezza,0,28,8469455,-7,62,0.75609,C,4,26,20142015,0,0,0.08333,R,204,Jason Spezza,DAL,1033.3536
34,17,45,0.52556,5,82,28,Carter,0,28,8470604,7,62,0.75609,C,10,15,20142015,1,2,0.12844,R,218,Jeff Carter,LAK,1078.2439
35,20,44,0.45833,6,79,26,Wheeler,0,73,8471218,26,61,0.77215,R,2,12,20142015,4,5,0.10655,R,244,Blake Wheeler,WPG,1179.6962
39,15,43,0.57142,2,82,22,Hossa,0,32,8466148,17,61,0.7439,R,6,17,20142015,1,1,0.08906,L,247,Marian Hossa,CHI,1113.2682
36,17,36,0.4,4,82,25,Kessel,1,30,8473548,-34,61,0.7439,R,8,25,20142015,0,0,0.08928,R,280,Phil Kessel,TOR,1127.5975
32,20,44,0.5,2,77,28,Hartnell,0,100,8468486,1,60,0.77922,L,8,16,20142015,0,0,0.13725,L,204,Scott Hartnell,CBJ,1037.8181
41,13,42,0.48764,3,80,19,Brassard,2,34,8473544,9,60,0.75,C,6,18,20142015,0,0,0.11309,L,168,Derick Brassard,NYR,1043.7
34,16,40,0.49903,5,82,26,Plekanec,0,46,8469521,8,60,0.7317,C,7,16,20142015,3,4,0.10483,L,248,Tomas Plekanec,MTL,1149.3414
43,10,36,,2,82,17,Burns,1,65,8470613,-9,60,0.7317,D,7,24,20142015,0,0,0.06938,R,245,Brent Burns,SJS,1437.3414
45,7,39,,5,82,15,Subban,1,74,8474056,21,60,0.7317,D,8,21,20142015,0,0,0.08823,R,170,P.K. Subban,MTL,1572.1951
30,21,46,0.44531,2,82,29,Iginla,0,42,8462042,0,59,0.71951,R,8,13,20142015,0,0,0.15343,R,189,Jarome Iginla,COL,1088.1341
36,15,42,0.35555,2,82,23,Landeskog,0,79,8476455,-2,59,0.71951,L,8,17,20142015,0,0,0.10747,L,214,Gabriel Landeskog,COL,1110.3292
32,16,42,0.54601,3,80,26,Backes,0,104,8470655,7,58,0.725,R,10,16,20142015,0,0,0.14207,R,183,David Backes,STL,1118.4625
38,12,33,0.48033,4,82,19,Marleau,0,12,8466139,-17,57,0.69512,C,7,24,20142015,0,0,0.08154,L,233,Patrick Marleau,SJS,1175.439
32,22,41,0.45722,2,76,24,Nugent-Hopkins,1,25,8476454,-12,56,0.73684,C,2,14,20142015,0,1,0.12698,L,189,Ryan Nugent-Hopkins,EDM,1238.4605
41,9,35,,2,80,15,Wideman,1,34,8469770,6,56,0.7,D,6,21,20142015,0,0,0.0867,R,173,Dennis Wideman,CGY,1478.55
29,17,36,0.38888,4,82,27,van Riemsdyk,1,43,8474037,-33,56,0.68292,L,9,19,20142015,1,1,0.10887,L,248,James van Riemsdyk,TOR,1145.0365
