assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
87,26,80,0.0,8,82,41,Kucherov,0,62,8476453,24,128,1.56097,R,15,48,20182019,0,0,0.16666,L,246,Nikita Kucherov,TBL,1197.9268
75,31,81,0.46623,9,78,41,McDavid,3,20,8478402,3,116,1.48717,C,9,33,20182019,1,2,0.17083,L,240,Connor McDavid,EDM,1370.2307
66,35,80,0.2,7,81,44,Kane,3,22,8474141,2,110,1.35802,R,9,30,20182019,0,0,0.12903,L,341,Patrick Kane,CHI,1349.3456
55,31,73,0.50522,5,82,50,Draisaitl,3,52,8477934,2,105,1.28048,C,16,29,20182019,3,3,0.21645,L,231,Leon Draisaitl,EDM,1355.4512
65,23,69,0.55421,3,79,35,Crosby,1,36,8471675,18,100,1.26582,C,12,29,20182019,0,2,0.15909,L,220,Sidney Crosby,PIT,1259.5063
64,23,59,0.42857,9,79,36,Marchand,3,96,8473419,15,100,1.26582,L,10,34,20182019,3,7,0.15584,L,231,Brad Marchand,BOS,1177.4177
63,30,72,0.33333,8,82,36,Gaudreau,3,24,8476346,18,99,1.20731,L,6,27,20182019,0,0,0.14693,L,245,Johnny Gaudreau,CGY,1204.4512
58,29,62,0.43702,6,82,41,MacKinnon,1,34,8477492,20,99,1.20731,C,12,37,20182019,0,0,0.11232,R,365,Nathan MacKinnon,COL,1325.4878
53,24,56,0.53095,6,82,45,Stamkos,0,37,8474564,4,98,1.19512,C,19,40,20182019,2,2,0.1923,R,234,Steven Stamkos,TBL,1098.0121
61,22,64,0.53687,5,82,35,Barkov,2,8,8477493,-3,96,1.17073,C,13,31,20182019,0,1,0.1699,L,206,Aleksander Barkov,FLA,1341.2317
68,22,70,0.63636,5,82,26,Marner,0,22,8478483,22,94,1.14634,R,3,21,20182019,1,3,0.11158,R,233,Mitch Marner,TOR,1189.3414
