assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
70,26,71,0.43176,6,82,30,McDavid,1,26,8478402,27,100,1.21951,C,3,27,20162017,1,2,0.11952,L,251,Connor McDavid,EDM,1267.8902
45,30,64,0.48169,5,75,44,Crosby,1,24,8471675,17,89,1.18666,C,14,25,20162017,0,0,0.17254,L,255,Sidney Crosby,PIT,1192.6666
55,27,66,0.13725,5,82,34,Kane,1,32,8474141,11,89,1.08536,R,7,23,20162017,0,0,0.11643,L,292,Patrick Kane,CHI,1283.6951
63,15,51,0.51387,5,82,23,Backstrom,2,38,8473563,17,86,1.04878,C,8,35,20162017,0,0,0.14197,L,162,Nicklas Backstrom,WSH,1095.5975
45,23,53,,7,74,40,Kucherov,1,38,8476453,13,85,1.14864,R,17,32,20162017,0,0,0.1626,L,246,Nikita Kucherov,TBL,1166.4864
46,27,56,0.36111,8,80,39,Marchand,1,81,8473419,18,85,1.0625,L,9,24,20162017,3,5,0.17256,L,226,Brad Marchand,BOS,1166.1875
50,25,65,0.43463,5,79,32,Scheifele,2,38,8476460,18,82,1.03797,C,7,15,20162017,0,2,0.2,R,160,Mark Scheifele,WPG,1233.5063
48,19,50,0.48971,5,82,29,Draisaitl,3,20,8477934,7,77,0.93902,C,10,27,20162017,0,0,0.1686,L,172,Leon Draisaitl,EDM,1133.0365
47,21,50,,6,82,29,Burns,3,40,8470613,19,76,0.92682,D,8,25,20162017,0,1,0.09062,R,320,Brent Burns,SJS,1491.756
36,30,53,0.5,8,82,39,Tarasenko,3,12,8475765,-1,75,0.91463,R,9,22,20162017,0,0,0.13636,L,286,Vladimir Tarasenko,STL,1108.1951
48,19,50,0.45744,4,82,26,Wheeler,0,47,8471218,6,74,0.90243,R,5,21,20162017,2,3,0.10038,R,259,Blake Wheeler,WPG,1208.5243
43,22,57,0.2,5,82,31,Panarin,1,21,8478550,18,74,0.90243,L,9,17,20162017,0,0,0.14691,R,211,Artemi Panarin,CHI,1168.2682
58,7,50,0.50296,3,74,15,Getzlaf,0,49,8470612,7,73,0.98648,C,6,20,20162017,2,3,0.10869,R,138,Ryan Getzlaf,ANA,1264.2297
39,22,49,0.43144,6,62,33,Malkin,1,77,8471215,18,72,1.16129,C,11,23,20162017,0,0,0.17277,L,191,Evgeni Malkin,PIT,1117.1451
56,12,39,,5,79,16,Hedman,2,47,8475167,3,72,0.91139,D,4,33,20162017,0,0,0.09638,L,166,Victor Hedman,TBL,1470.5696
46,15,43,0.51017,4,82,26,Seguin,1,22,8475794,-15,72,0.87804,C,11,29,20162017,0,0,0.08637,R,301,Tyler Seguin,DAL,1107.6341
54,13,42,,5,77,17,Karlsson,1,28,8474578,10,71,0.92207,D,4,27,20162017,0,2,0.07798,R,218,Erik Karlsson,OTT,1610.2467
36,24,46,0.66666,6,75,34,Pastrnak,2,34,8477956,11,70,0.93333,R,10,24,20162017,0,0,0.12977,R,262,David Pastrnak,BOS,1078.9466
47,15,40,0.33333,4,82,23,Kessel,1,20,8473548,3,70,0.85365,R,8,30,20162017,0,0,0.10043,R,229,Phil Kessel,PIT,1076.3292
43,13,42,0.51456,4,77,26,Benn,2,66,8473994,-9,69,0.8961,L,12,26,20162017,1,1,0.12935,L,201,Jamie Benn,DAL,1162.4285
43,16,45,0.48484,4,81,26,Granlund,1,12,8475798,23,69,0.85185,C,7,20,20162017,3,4,0.14689,L,177,Mikael Granlund,MIN,1129.4691
36,16,43,0.0,7,82,33,Ovechkin,2,50,8471214,6,69,0.84146,L,17,26,20162017,0,0,0.10543,R,313,Alex Ovechkin,WSH,1101.9634
29,32,48,0.46819,8,82,40,Matthews,1,14,8479318,2,69,0.84146,C,8,21,20162017,0,0,0.14336,L,279,Auston Matthews,TOR,1057.8658
39,21,45,0.52453,7,81,29,Pavelski,0,34,8470794,11,68,0.8395,C,7,22,20162017,1,1,0.12446,R,233,Joe Pavelski,SJS,1147.037
51,15,55,0.51762,0,82,17,Zetterberg,0,22,8468083,15,68,0.82926,C,2,13,20162017,0,0,0.08717,L,195,Henrik Zetterberg,DET,1183.0243
32,26,52,0.54,7,81,35,Pacioretty,2,38,8474157,15,67,0.82716,L,8,13,20162017,1,2,0.13059,L,268,Max Pacioretty,MTL,1150.5925
38,20,46,0.50614,3,77,28,Tavares,1,38,8475166,4,66,0.85714,C,7,18,20162017,1,2,0.10769,L,260,John Tavares,NYI,1225.1298
34,21,43,0.51943,9,82,32,Carter,4,41,8470604,2,66,0.80487,C,10,22,20162017,1,1,0.128,R,250,Jeff Carter,LAK,1081.9146
37,23,47,0.49148,8,82,28,Staal,0,34,8470595,17,65,0.79268,C,4,16,20162017,1,2,0.1327,L,211,Eric Staal,MIN,1116.439
28,27,50,0.0,5,73,36,Laine,1,26,8479339,7,64,0.87671,L,9,14,20162017,0,0,0.17647,R,204,Patrik Laine,WPG,1074.7534
39,20,52,0.0,4,82,25,Ehlers,0,38,8477940,1,64,0.78048,L,5,12,20162017,0,0,0.12254,L,204,Nikolaj Ehlers,WPG,1049.1707
26,30,48,0.37037,4,79,37,Skinner,0,28,8475784,-3,63,0.79746,L,7,15,20162017,0,0,0.13167,L,281,Jeff Skinner,CAR,1064.3164
33,23,43,0.2,5,82,29,van Riemsdyk,0,37,8474037,-2,62,0.75609,L,6,19,20162017,0,0,0.12184,L,238,James van Riemsdyk,TOR,953.4024
