playerId,goalsAgainstAvg,gamesAbove900,goalDifferentialPer60,goalSupportAvg,pointPctg,Behind the Net Saves,Behind the Net Save Pctg,Beyond Red Line Saves,Beyond Red Line Save Pctg,Center Point Saves,Center Point Save Pctg,Crease Saves,Crease Save Pctg,High Slot Saves,High Slot Save Pctg,L Circle Saves,L Circle Save Pctg,L Corner Saves,L Corner Save Pctg,L Net Side Saves,L Net Side Save Pctg,L Point Saves,L Point Save Pctg,Low Slot Saves,Low Slot Save Pctg,Offensive Neutral Zone Saves,Offensive Neutral Zone Save Pctg,Outside L Saves,Outside L Save Pctg,Outside R Saves,Outside R Save Pctg,R Circle Saves,R Circle Save Pctg,R Corner Saves,R Corner Save Pctg,R Net Side Saves,R Net Side Save Pctg,R Point Saves,R Point Save Pctg
8480382,3.01818,0.4677,0.59374,3.61192,0.6429,11,0.916667,48,1.0,117,0.936,41,0.745455,110,0.839695,110,0.887097,3,1.0,59,0.907692,142,0.965986,366,0.804396,51,0.980769,118,0.975207,123,0.991935,125,0.919118,3,1.0,61,0.897059,100,0.990099
8476945,2.38834,0.65,0.68959,3.07793,0.65,16,1.0,52,1.0,132,0.985075,22,0.611111,127,0.858108,131,0.909722,5,1.0,41,0.953488,142,1.0,389,0.845652,42,1.0,117,0.983193,110,0.964912,139,0.958621,1,0.5,52,0.945455,138,0.978723
8478048,2.58155,0.5636,0.4211,3.00265,0.6727,15,0.833333,46,1.0,104,0.981132,44,0.8,107,0.869919,137,0.931973,7,1.0,56,0.933333,114,0.982759,297,0.811475,36,1.0,122,0.983871,95,0.959596,137,0.931973,4,1.0,48,0.90566,97,0.979798
8475683,2.37242,0.6379,0.72051,3.09293,0.6552,18,0.947368,62,1.0,122,0.96063,28,0.666667,115,0.877863,125,0.899281,7,1.0,60,0.983607,115,0.991379,286,0.82659,45,1.0,90,0.989011,80,0.930233,112,0.949153,5,1.0,54,0.885246,125,0.976563
8479973,2.62394,0.614,0.8925,3.51644,0.6525,16,1.0,36,1.0,86,0.955556,27,0.771429,133,0.917241,147,0.924528,4,1.0,44,0.916667,117,1.0,310,0.809399,34,1.0,86,0.955556,99,0.951923,124,0.867133,4,1.0,40,0.909091,99,0.980198
8477967,2.44704,0.6275,1.05441,3.50146,0.7059,16,0.941176,42,1.0,90,0.957447,33,0.846154,93,0.885714,117,0.886364,2,1.0,41,0.97619,110,0.973451,311,0.845109,31,1.0,104,0.990476,85,0.977011,131,0.929078,4,1.0,58,0.892308,101,0.961905
8479979,2.72322,0.5283,0.73916,3.46238,0.6852,14,0.823529,38,1.0,121,0.968,24,0.75,94,0.878505,135,0.918367,3,1.0,37,0.860465,103,1.0,275,0.797101,38,1.0,88,0.946237,101,0.961905,127,0.92029,0,0.0,33,0.916667,105,0.990566
8477424,2.86374,0.5313,0.23175,3.09549,0.5859,25,0.961538,48,0.979592,93,0.920792,32,0.666667,109,0.851563,190,0.940594,4,1.0,54,0.915254,113,0.974138,322,0.81519,52,1.0,139,0.965278,132,0.963504,204,0.927273,4,1.0,52,0.881356,99,0.980198
8476883,2.89924,0.5192,0.60727,3.50652,0.5962,10,0.833333,40,1.0,83,0.976471,25,0.675676,104,0.832,120,0.882353,6,1.0,50,0.877193,103,0.980952,290,0.83815,36,1.0,98,0.989899,96,0.96,114,0.897638,6,0.857143,40,0.888889,108,0.947368
8476412,2.8437,0.6,-0.03646,2.80724,0.5351,14,0.875,37,1.0,100,0.952381,48,0.857143,107,0.823077,156,0.945455,6,1.0,46,0.901961,116,0.97479,366,0.831818,43,1.0,153,0.987097,113,0.974138,142,0.928105,2,1.0,64,0.876712,117,0.983193
