playerId,goalsAgainstAvg,gamesAbove900,goalDifferentialPer60,goalSupportAvg,pointPctg,Behind the Net Saves,Behind the Net Save Pctg,Beyond Red Line Saves,Beyond Red Line Save Pctg,Center Point Saves,Center Point Save Pctg,Crease Saves,Crease Save Pctg,High Slot Saves,High Slot Save Pctg,L Circle Saves,L Circle Save Pctg,L Corner Saves,L Corner Save Pctg,L Net Side Saves,L Net Side Save Pctg,L Point Saves,L Point Save Pctg,Low Slot Saves,Low Slot Save Pctg,Offensive Neutral Zone Saves,Offensive Neutral Zone Save Pctg,Outside L Saves,Outside L Save Pctg,Outside R Saves,Outside R Save Pctg,R Circle Saves,R Circle Save Pctg,R Corner Saves,R Corner Save Pctg,R Net Side Saves,R Net Side Save Pctg,R Point Saves,R Point Save Pctg
8476945,2.00461,0.7097,1.37917,3.38379,0.7698,5,1.0,58,1.0,135,0.957447,46,0.867925,139,0.926667,133,0.892617,0,0.0,32,0.941176,137,0.992754,299,0.844633,46,1.0,95,0.959596,84,0.965517,134,0.899329,1,1.0,40,0.952381,155,0.981013
8476883,2.18002,0.6191,1.23427,3.41429,0.6429,6,1.0,51,1.0,131,0.984962,48,0.872727,147,0.844828,151,0.89881,4,1.0,66,0.985075,124,0.976378,307,0.857542,43,0.977273,98,0.970297,97,0.95098,148,0.907975,1,1.0,44,0.956522,115,0.991379
8479979,2.58646,0.5862,0.72139,3.30785,0.6552,6,1.0,59,1.0,132,0.977778,21,0.567568,137,0.907285,108,0.878049,4,1.0,38,0.95,136,0.978417,294,0.798913,45,1.0,92,0.968421,77,0.974684,124,0.918519,5,1.0,49,0.924528,137,1.0
8475683,2.43751,0.5741,0.69375,3.13127,0.6296,9,1.0,54,1.0,130,0.962963,28,0.777778,94,0.895238,102,0.910714,3,0.75,21,0.84,110,0.982143,252,0.8,46,1.0,92,0.92,57,0.95,105,0.921053,1,1.0,31,0.861111,112,0.99115
8478499,2.4692,0.5,0.85708,3.32628,0.69,8,0.888889,35,1.0,85,0.955056,33,0.767442,91,0.834862,127,0.907143,0,0.0,28,0.903226,83,0.976471,212,0.80916,31,1.0,93,0.939394,77,0.9625,130,0.942029,2,1.0,29,0.90625,108,1.0
8480313,2.48506,0.5952,1.4437,3.92876,0.7907,7,0.875,33,1.0,82,0.901099,30,0.789474,93,0.939394,111,0.932773,2,0.666667,30,0.967742,81,0.987805,217,0.831418,22,1.0,69,0.945205,74,0.973684,94,0.87037,3,1.0,43,0.895833,76,0.987013
8475311,2.01772,0.68,1.04921,3.06694,0.69,9,1.0,33,1.0,80,0.963855,30,0.789474,109,0.900826,95,0.896226,2,1.0,28,0.823529,98,0.960784,264,0.871287,40,1.0,73,0.986486,72,0.972973,90,0.927835,3,1.0,48,0.941176,94,0.969072
8479406,2.55872,0.6379,-0.03505,2.52367,0.5862,9,0.9,43,1.0,138,0.971831,35,0.853659,144,0.883436,153,0.916168,3,1.0,35,0.833333,122,0.99187,287,0.82948,30,1.0,110,0.940171,97,0.979798,155,0.901163,4,1.0,33,0.846154,149,0.980263
8478470,2.81835,0.5333,0.13582,2.95417,0.5565,8,1.0,53,1.0,100,0.934579,44,0.698413,144,0.862275,158,0.88764,1,1.0,52,0.928571,87,0.945652,328,0.83038,37,1.0,114,0.982759,91,0.98913,146,0.929936,1,1.0,51,0.962264,98,0.960784
8478009,2.70946,0.6,0.08574,2.7952,0.541,8,0.888889,42,1.0,142,0.959459,53,0.854839,116,0.852941,155,0.861111,0,0.0,36,0.9,119,1.0,331,0.833753,29,1.0,109,0.981982,92,0.978723,141,0.94,2,1.0,45,0.833333,118,0.967213
8481692,2.63954,0.5472,0.13198,2.77152,0.6226,10,1.0,47,1.0,90,0.978261,33,0.767442,89,0.847619,172,0.910053,2,0.666667,26,0.928571,93,0.989362,313,0.834667,43,1.0,105,0.963303,89,0.956989,160,0.914286,2,1.0,39,0.928571,96,0.969697
8476412,2.68602,0.5185,0.18524,2.87127,0.5446,7,0.875,47,1.0,89,0.956989,35,0.7,92,0.87619,131,0.885135,6,1.0,40,0.888889,96,0.969697,260,0.820189,30,1.0,97,0.97,96,0.979592,140,0.89172,1,1.0,40,0.909091,105,0.963303
8478406,2.54992,0.5472,0.40947,2.95939,0.5536,11,1.0,48,1.0,123,0.97619,40,0.769231,112,0.817518,152,0.938272,2,1.0,33,0.942857,105,0.972222,309,0.837398,35,1.0,103,0.980952,81,0.952941,138,0.932432,2,1.0,27,0.870968,92,0.989247
8479361,2.7269,0.5854,0.5159,3.2428,0.6548,13,1.0,29,1.0,90,0.967742,31,0.688889,84,0.893617,112,0.941176,1,1.0,33,0.891892,89,0.946809,218,0.828897,31,1.0,75,0.974026,68,0.971429,109,0.908333,4,1.0,28,0.875,90,0.957447
