playerId,goalsAgainstAvg,gamesAbove900,goalDifferentialPer60,goalSupportAvg,pointPctg,Behind the Net Saves,Behind the Net Save Pctg,Beyond Red Line Saves,Beyond Red Line Save Pctg,Center Point Saves,Center Point Save Pctg,Crease Saves,Crease Save Pctg,High Slot Saves,High Slot Save Pctg,L Circle Saves,L Circle Save Pctg,L Corner Saves,L Corner Save Pctg,L Net Side Saves,L Net Side Save Pctg,L Point Saves,L Point Save Pctg,Low Slot Saves,Low Slot Save Pctg,Offensive Neutral Zone Saves,Offensive Neutral Zone Save Pctg,Outside L Saves,Outside L Save Pctg,Outside R Saves,Outside R Save Pctg,R Circle Saves,R Circle Save Pctg,R Corner Saves,R Corner Save Pctg,R Net Side Saves,R Net Side Save Pctg,R Point Saves,R Point Save Pctg
8476999,1.89438,0.875,1.37395,3.26834,0.8265,10,0.909091,57,1.0,97,0.989796,15,0.625,144,0.923077,134,0.971014,3,1.0,26,0.928571,119,0.97541,320,0.874317,52,1.0,50,0.980392,73,0.948052,106,0.963636,1,1.0,44,0.977778,115,0.974576
8480382,2.5295,0.6452,0.76209,3.2916,0.6936,12,1.0,51,1.0,161,0.964072,38,0.883721,165,0.906593,138,0.913907,2,1.0,58,0.935484,131,0.977612,421,0.845382,53,1.0,111,0.982301,105,0.954545,112,0.88189,4,1.0,53,0.913793,134,0.978102
8478048,2.47652,0.6035,0.8943,3.37082,0.7069,5,0.833333,41,1.0,110,0.973451,31,0.861111,167,0.878947,151,0.94375,1,1.0,42,0.976744,104,0.971963,412,0.85124,47,1.0,70,0.958904,107,0.963964,129,0.902098,1,1.0,38,0.904762,119,0.983471
8479979,2.37045,0.6393,0.90538,3.27582,0.6855,5,1.0,48,1.0,149,0.967532,14,0.777778,151,0.877907,133,0.886667,1,0.5,44,0.897959,122,1.0,397,0.848291,60,1.0,89,0.978022,89,0.936842,162,0.952941,1,1.0,41,0.953488,127,0.992188
8476945,2.49338,0.6719,0.47644,2.96982,0.5938,10,0.909091,53,1.0,161,0.98773,23,0.884615,237,0.915058,165,0.932203,2,1.0,33,0.970588,129,0.977273,426,0.827184,61,1.0,107,0.990741,80,0.952381,146,0.941935,1,1.0,44,0.862745,129,0.977273
8476883,2.65264,0.6,0.6006,3.25324,0.6,5,1.0,44,1.0,128,0.955224,23,0.69697,207,0.896104,154,0.922156,3,1.0,49,0.960784,128,0.977099,428,0.85259,28,1.0,85,0.988372,78,0.975,153,0.905325,5,1.0,50,0.909091,148,0.980132
8477970,2.44892,0.6458,1.07011,3.51904,0.6731,6,0.75,40,1.0,95,0.969388,13,0.722222,139,0.891026,105,0.929204,4,0.8,26,0.928571,107,0.990741,265,0.810398,47,1.0,60,0.983607,66,0.942857,101,0.926606,5,1.0,31,0.911765,104,0.981132
8477424,2.69292,0.6508,-0.12598,2.56694,0.5703,16,0.941176,42,1.0,116,0.983051,31,0.756098,242,0.899628,218,0.935622,1,1.0,61,0.953125,114,0.974359,445,0.836466,57,1.0,107,0.972727,105,0.972222,189,0.945,0,0.0,55,0.964912,129,0.969925
8478009,2.34175,0.7,0.61889,2.96063,0.5565,7,1.0,42,1.0,145,0.973154,40,0.869565,177,0.898477,169,0.933702,1,1.0,43,1.0,124,0.976378,420,0.843373,51,1.0,75,1.0,86,0.934783,138,0.951724,3,1.0,51,0.962264,127,0.992188
8479973,2.7488,0.5833,0.88871,3.63751,0.63,4,1.0,42,1.0,105,0.9375,30,0.789474,162,0.857143,123,0.924812,1,1.0,42,0.954545,91,1.0,334,0.847716,55,1.0,83,0.988095,80,0.952381,113,0.91129,1,1.0,42,0.954545,96,1.0
