playerId,goalsAgainstAvg,gamesAbove900,goalDifferentialPer60,goalSupportAvg,pointPctg,Behind the Net Saves,Behind the Net Save Pctg,Beyond Red Line Saves,Beyond Red Line Save Pctg,Center Point Saves,Center Point Save Pctg,Crease Saves,Crease Save Pctg,High Slot Saves,High Slot Save Pctg,L Circle Saves,L Circle Save Pctg,L Corner Saves,L Corner Save Pctg,L Net Side Saves,L Net Side Save Pctg,L Point Saves,L Point Save Pctg,Low Slot Saves,Low Slot Save Pctg,Offensive Neutral Zone Saves,Offensive Neutral Zone Save Pctg,Outside L Saves,Outside L Save Pctg,Outside R Saves,Outside R Save Pctg,R Circle Saves,R Circle Save Pctg,R Corner Saves,R Corner Save Pctg,R Net Side Saves,R Net Side Save Pctg,R Point Saves,R Point Save Pctg
8476883,2.30853,0.6035,1.08431,3.39284,0.7069,11,0.916667,42,1.0,118,0.951613,46,0.836364,137,0.878205,156,0.934132,3,1.0,29,0.90625,115,0.982906,306,0.845304,32,1.0,74,0.948718,61,0.953125,121,0.923664,0,0.0,27,0.870968,75,0.974026
8478872,2.74592,0.5238,0.8449,3.59082,0.6172,9,0.9,53,1.0,133,0.95,38,0.622951,127,0.888112,135,0.9,3,0.75,31,0.939394,92,0.978723,329,0.818408,47,1.0,70,0.933333,82,0.911111,147,0.913043,1,1.0,34,0.971429,127,1.0
8479979,2.59221,0.5,0.58231,3.17452,0.7037,7,1.0,43,1.0,129,0.969925,34,0.73913,107,0.823077,106,0.84127,4,1.0,15,0.833333,92,0.978723,257,0.834416,36,1.0,92,0.958333,75,1.0,121,0.896296,1,1.0,26,0.896552,89,0.978022
8483548,2.46525,0.4872,1.16909,3.63433,0.8205,8,1.0,33,1.0,51,0.962264,23,0.741935,90,0.873786,72,0.911392,2,1.0,27,0.870968,44,0.956522,220,0.839695,22,1.0,45,0.978261,43,0.934783,75,0.872093,5,1.0,16,0.842105,40,1.0
8475809,2.02427,0.7442,1.55351,3.57778,0.7556,7,0.636364,37,1.0,79,0.929412,35,0.921053,79,0.951807,83,0.912088,2,1.0,28,0.965517,94,1.0,221,0.824627,30,1.0,64,0.955224,71,0.972603,92,0.948454,1,1.0,21,0.875,63,1.0
8480280,2.70764,0.7037,0.31527,3.02292,0.6,11,0.846154,38,1.0,115,0.934959,43,0.754386,135,0.89404,142,0.946667,3,1.0,44,0.862745,101,0.95283,336,0.850633,30,1.0,78,0.975,83,0.882979,136,0.944444,2,1.0,41,1.0,88,0.946237
8480313,2.43828,0.6035,0.67923,3.11751,0.5862,9,1.0,47,1.0,108,0.931034,34,0.73913,123,0.87234,143,0.940789,3,1.0,39,0.928571,107,0.972727,348,0.842615,30,1.0,80,0.941176,81,0.987805,143,0.940789,5,1.0,40,0.869565,107,0.990741
8480843,3.10288,0.4364,-0.11016,2.99272,0.5714,15,0.9375,51,1.0,109,0.939655,30,0.810811,138,0.831325,157,0.907514,1,1.0,29,0.90625,68,0.985507,339,0.816867,22,1.0,83,0.965116,70,0.958904,121,0.876812,1,1.0,35,0.875,75,0.974026
8482487,2.77955,0.5952,0.49889,3.27845,0.7209,8,1.0,35,1.0,82,0.942529,32,0.761905,93,0.823009,112,0.949153,0,0.0,21,0.913043,88,0.977778,233,0.829181,23,1.0,67,0.957143,60,1.0,104,0.866667,1,1.0,24,0.827586,87,1.0
8478435,2.42386,0.6863,0.42067,2.84453,0.625,8,1.0,26,1.0,106,0.981481,24,0.774194,94,0.803419,120,0.909091,4,1.0,37,0.948718,87,0.988636,235,0.827465,35,1.0,70,0.921053,78,1.0,105,0.882353,2,1.0,33,0.916667,98,0.98
8478009,2.6781,0.4444,0.09299,2.77109,0.5455,9,0.818182,33,1.0,104,0.962963,59,0.830986,117,0.854015,131,0.89726,3,1.0,43,0.934783,84,0.954545,393,0.869469,37,1.0,77,0.974684,72,0.972973,110,0.88,0,0.0,30,0.833333,84,1.0
8476434,2.71593,0.4737,0.13202,2.84795,0.5439,7,0.875,37,1.0,107,0.946903,49,0.844828,123,0.842466,140,0.939597,2,1.0,33,0.970588,85,0.955056,271,0.808955,25,1.0,99,0.970588,82,0.964706,128,0.876712,1,1.0,29,1.0,99,0.970588
8476999,2.72588,0.4694,0.4994,3.22528,0.6531,10,0.909091,32,1.0,78,0.975,31,0.673913,100,0.826446,116,0.913386,3,1.0,33,0.916667,75,0.986842,223,0.796429,21,1.0,78,0.975,62,0.96875,92,0.87619,3,1.0,28,0.903226,82,1.0
8479406,2.68875,0.5102,0.78843,3.47719,0.62,7,1.0,30,1.0,90,0.957447,39,0.672414,125,0.862069,112,0.896,2,1.0,26,0.962963,86,0.977273,261,0.836538,43,1.0,81,0.975904,79,0.963415,128,0.948148,2,1.0,37,0.822222,97,0.979798
8477424,3.16383,0.3729,-0.33211,2.83171,0.5424,10,0.833333,45,1.0,108,0.93913,37,0.672727,153,0.894737,157,0.934524,6,0.857143,42,0.857143,103,0.971698,342,0.788018,22,1.0,91,0.98913,89,0.988889,163,0.931429,0,0.0,29,0.878788,122,0.968254
8475683,3.07012,0.3922,-0.23923,2.83089,0.5289,6,1.0,46,1.0,108,0.955752,34,0.790698,95,0.840708,84,0.913043,1,1.0,22,0.956522,87,0.977528,263,0.753582,35,1.0,65,0.955882,48,0.96,97,0.906542,1,1.0,17,0.68,87,0.977528
8482982,2.60065,0.6415,0.10989,2.71054,0.5546,13,1.0,46,1.0,143,0.94702,48,0.813559,142,0.881988,119,0.868613,1,0.5,33,0.942857,102,0.971429,309,0.848901,25,0.961538,70,0.972222,65,0.928571,122,0.910448,1,1.0,36,0.923077,122,0.983871
8478048,2.49982,0.6275,0.41664,2.91646,0.549,8,1.0,36,1.0,109,0.95614,28,0.717949,152,0.904762,124,0.892086,2,1.0,19,0.730769,79,0.963415,299,0.856734,29,1.0,65,0.970149,75,0.974026,129,0.921429,3,1.0,29,0.966667,113,0.974138
8480981,2.60606,0.6047,0.25146,2.85752,0.5761,5,1.0,33,1.0,118,0.983333,28,0.717949,115,0.864662,100,0.925926,0,0.0,25,0.925926,84,0.988235,225,0.795053,27,1.0,81,0.987805,55,0.964912,113,0.933884,2,1.0,17,1.0,109,0.981982
8478406,2.50501,0.6111,1.002,3.50701,0.6154,5,0.833333,22,1.0,62,0.96875,31,0.794872,88,0.916667,74,0.891566,2,1.0,23,0.92,60,0.983607,189,0.825328,22,1.0,57,0.966102,50,0.980392,80,0.888889,0,0.0,27,0.9,51,0.944444
