szn,winner,runner_up,finalist
1984-85,https://www.nhl.com/player/craig-ramsay-8450640,https://www.nhl.com/player/doug-jarvis-8448254,https://www.nhl.com/player/john-tonelli-8451917
,,,
1983-84,https://www.nhl.com/player/doug-jarvis-8448254,https://www.nhl.com/player/bryan-trottier-8451965,https://www.nhl.com/player/jari-kurri-8448569
,,,
1982-83,https://www.nhl.com/player/bobby-clarke-8446098,https://www.nhl.com/player/jari-kurri-8448569,https://www.nhl.com/player/bobby-gould-8447305
,,,
1981-82,https://www.nhl.com/player/steve-kasper-8448411,https://www.nhl.com/player/bob-gainey-8446998,https://www.nhl.com/player/craig-ramsay-8450640
,,,
1980-81,https://www.nhl.com/player/bob-gainey-8446998,https://www.nhl.com/player/craig-ramsay-8450640,https://www.nhl.com/player/larry-patey-8450215
,,,
1979-80,https://www.nhl.com/player/bob-gainey-8446998,https://www.nhl.com/player/craig-ramsay-8450640,https://www.nhl.com/player/don-luce-8448892
,,,
1978-79,https://www.nhl.com/player/bob-gainey-8446998,https://www.nhl.com/player/don-marcotte-8449138,https://www.nhl.com/player/craig-ramsay-8450640
,,,
1977-78,https://www.nhl.com/player/bob-gainey-8446998,https://www.nhl.com/player/craig-ramsay-8450640,https://www.nhl.com/player/don-marcotte-8449138
