szn,winner,runner_up,finalist
1983-84,https://www.nhl.com/player/rod-langway-8448651,https://www.nhl.com/player/paul-coffey-8446117,https://www.nhl.com/player/ray-bourque-8445621
,,,
1982-83,https://www.nhl.com/player/rod-langway-8448651,https://www.nhl.com/player/mark-howe-8448002,https://www.nhl.com/player/ray-bourque-8445621
,,,
1981-82,https://www.nhl.com/player/doug-wilson-8452489,https://www.nhl.com/player/ray-bourque-8445621,https://www.nhl.com/player/paul-coffey-8446117
,,,
1980-81,https://www.nhl.com/player/randy-carlyle-8445938,https://www.nhl.com/player/denis-potvin-8450505,https://www.nhl.com/player/larry-robinson-8450936
,,,
1979-80,https://www.nhl.com/player/larry-robinson-8450936,https://www.nhl.com/player/borje-salming-8451102,https://www.nhl.com/player/jim-schoenfeld-8451241
,,,
1978-79,https://www.nhl.com/player/denis-potvin-8450505,https://www.nhl.com/player/larry-robinson-8450936,https://www.nhl.com/player/borje-salming-8451102
,,,
1977-78,https://www.nhl.com/player/denis-potvin-8450505,https://www.nhl.com/player/brad-park-8450206,https://www.nhl.com/player/larry-robinson-8450936
,,,
1976-77,https://www.nhl.com/player/larry-robinson-8450936,https://www.nhl.com/player/borje-salming-8451102,https://www.nhl.com/player/denis-potvin-8450505
,,,
1975-76,https://www.nhl.com/player/denis-potvin-8450505,https://www.nhl.com/player/brad-park-8450206,https://www.nhl.com/player/borje-salming-8451102
,,,
1974-75,https://www.nhl.com/player/bobby-orr-8450070,https://www.nhl.com/player/denis-potvin-8450505,https://www.nhl.com/player/guy-lapointe-8448694
,,,
1973-74,https://www.nhl.com/player/bobby-orr-8450070,https://www.nhl.com/player/brad-park-8450206,https://www.nhl.com/player/bill-white-8449389
,,,
1972-73,https://www.nhl.com/player/bobby-orr-8450070,https://www.nhl.com/player/guy-lapointe-8448694,https://www.nhl.com/player/brad-park-8450206
,,,
1971-72,https://www.nhl.com/player/bobby-orr-8450070,https://www.nhl.com/player/brad-park-8450206,https://www.nhl.com/player/bill-white-8449389
,,,
1970-71,https://www.nhl.com/player/bobby-orr-8450070,https://www.nhl.com/player/brad-park-8450206,https://www.nhl.com/player/j-c-tremblay-8451960
,,,
1969-70,https://www.nhl.com/player/bobby-orr-8450070,https://www.nhl.com/player/brad-park-8450206,https://www.nhl.com/player/carl-brewer-8445696
,,,
1968-69,https://www.nhl.com/player/bobby-orr-8450070,https://www.nhl.com/player/tim-horton-8446917,https://www.nhl.com/player/ted-green-8447406
,,,
1967-68,https://www.nhl.com/player/bobby-orr-8450070,https://www.nhl.com/player/j-c-tremblay-8451960,https://www.nhl.com/player/tim-horton-8446917
,,,
1966-67,https://www.nhl.com/player/harry-howell-8446926,https://www.nhl.com/player/pierre-pilote-8448152,https://www.nhl.com/player/bobby-orr-8450070
,,,
1965-66,https://www.nhl.com/player/jacques-laperriere-8447325,https://www.nhl.com/player/pierre-pilote-8448152,https://www.nhl.com/player/pat-stapleton-8449159
,,,
1964-65,https://www.nhl.com/player/pierre-pilote-8448152,https://www.nhl.com/player/jacques-laperriere-8447325,https://www.nhl.com/player/bill-gadsby-8446513
,,,
1963-64,https://www.nhl.com/player/pierre-pilote-8448152,https://www.nhl.com/player/tim-horton-8446917,https://www.nhl.com/player/moose-vasko-8449303
,,,
1962-63,https://www.nhl.com/player/pierre-pilote-8448152,https://www.nhl.com/player/carl-brewer-8445696,https://www.nhl.com/player/tim-horton-8446917
,,,
1961-62,https://www.nhl.com/player/doug-harvey-8446728,https://www.nhl.com/player/pierre-pilote-8448152,https://www.nhl.com/player/jean-guy-talbot-8449214
,,,
1960-61,https://www.nhl.com/player/doug-harvey-8446728,https://www.nhl.com/player/marcel-pronovost-8448214,https://www.nhl.com/player/allan-stanley-8449155
,,,
1959-60,https://www.nhl.com/player/doug-harvey-8446728,https://www.nhl.com/player/allan-stanley-8449155,https://www.nhl.com/player/marcel-pronovost-8448214
,,,
1958-59,https://www.nhl.com/player/tom-johnson-8447101,https://www.nhl.com/player/bill-gadsby-8446513,https://www.nhl.com/player/marcel-pronovost-8448214
,,,
1957-58,https://www.nhl.com/player/doug-harvey-8446728,https://www.nhl.com/player/bill-gadsby-8446513,https://www.nhl.com/player/fern-flaman-8446318
,,,
1956-57,https://www.nhl.com/player/doug-harvey-8446728,https://www.nhl.com/player/red-kelly-8447149,https://www.nhl.com/player/fern-flaman-8446318
,,,
1955-56,https://www.nhl.com/player/doug-harvey-8446728,https://www.nhl.com/player/bill-gadsby-8446513,https://www.nhl.com/player/red-kelly-8447149
,,,
1954-55,https://www.nhl.com/player/doug-harvey-8446728,https://www.nhl.com/player/red-kelly-8447149,https://www.nhl.com/player/fern-flaman-8446318
,,,
1953-54,https://www.nhl.com/player/red-kelly-8447149,https://www.nhl.com/player/doug-harvey-8446728,https://www.nhl.com/player/bill-gadsby-8446513
