szn,winner,runner_up
1989-90,"['https://www.nhl.com/player/rejean-lemelin-8448759', 'https://www.nhl.com/player/andy-moog-8449681']","['https://www.nhl.com/player/brian-hayward-8447701', 'https://www.nhl.com/player/patrick-roy-8451033']"
,,
1988-89,"['https://www.nhl.com/player/brian-hayward-8447701', 'https://www.nhl.com/player/patrick-roy-8451033']","['https://www.nhl.com/player/mike-vernon-8452217', 'https://www.nhl.com/player/rick-wamsley-8452287']"
,,
1987-88,"['https://www.nhl.com/player/brian-hayward-8447701', 'https://www.nhl.com/player/patrick-roy-8451033']","['https://www.nhl.com/player/clint-malarchuk-8449096', 'https://www.nhl.com/player/pete-peeters-8450343']"
,,
1986-87,"['https://www.nhl.com/player/brian-hayward-8447701', 'https://www.nhl.com/player/patrick-roy-8451033']",https://www.nhl.com/player/ron-hextall-8447775
,,
1985-86,"['https://www.nhl.com/player/bob-froese-8446982', 'https://www.nhl.com/player/darren-jensen-8448269']","['https://www.nhl.com/player/al-jensen-8448275', 'https://www.nhl.com/player/pete-peeters-8450343']"
,,
1984-85,"['https://www.nhl.com/player/tom-barrasso-8445275', 'https://www.nhl.com/player/bob-sauve-8451143']",https://www.nhl.com/player/pat-riggin-8450835
,,
1983-84,"['https://www.nhl.com/player/al-jensen-8448275', 'https://www.nhl.com/player/pat-riggin-8450835']","['https://www.nhl.com/player/tom-barrasso-8445275', 'https://www.nhl.com/player/bob-sauve-8451143']"
,,
1982-83,"['https://www.nhl.com/player/roland-melanson-8449547', 'https://www.nhl.com/player/billy-smith-8451525']",https://www.nhl.com/player/pete-peeters-8450343
,,
1981-82,"['https://www.nhl.com/player/denis-herron-8447755', 'https://www.nhl.com/player/rick-wamsley-8452287']","['https://www.nhl.com/player/roland-melanson-8449547', 'https://www.nhl.com/player/billy-smith-8451525']"
